M,N,K
4,128,1536
14,128,1536
17,128,1536
224,128,1536
384,128,1536
2048,128,1536
6,128,6144
7,128,6144
12,128,6144
96,128,6144
160,128,6144
192,128,6144
3072,128,6144
10000,128,6144
20000,128,6144
49152,128,6144
65536,128,6144
5,128,7168
11,128,7168
20,128,7168
33,128,7168
56,256,512
1000,256,512
6000,256,512
24,256,1024
48,256,1024
80,256,1024
128,256,1024
200,256,1024
224,256,1024
320,256,1024
2560,256,1024
9,256,1280
13,256,1280
320,256,1280
448,256,1280
768,256,1280
3072,256,1280
10000,256,1280
12,512,256
1536,512,256
2560,512,256
3072,512,256
40000,512,256
4,512,384
11,512,384
20,512,384
32,512,384
64,512,384
300,512,384
333,512,384
3333,512,384
49152,512,384
20,512,512
28,512,512
224,512,512
6144,512,512
40,512,1024
100,512,1024
3,512,2048
5,512,2048
10,512,2048
14,512,2048
15,512,2048
20,512,2048
40,512,2048
48,512,2048
1536,512,2048
10240,512,2048
20000,512,2048
5,512,7168
15,512,7168
28,512,7168
1000,512,7168
40000,512,7168
2,576,7168
5,576,7168
8,576,7168
11,576,7168
24,576,7168
448,576,7168
5,768,1536
192,768,1536
300,768,1536
7,768,7168
13,768,7168
14,768,7168
20,768,7168
2,768,16384
5,768,16384
15,768,16384
17,768,16384
20,768,16384
128,768,16384
160,768,16384
512,768,16384
6000,768,16384
11,1024,256
17,1024,256
24,1024,256
28,1024,256
112,1024,256
640,1024,256
896,1024,256
5120,1024,256
10,1024,512
14,1024,512
20,1024,512
24,1024,512
33,1024,512
12,1024,1024
15,1024,1024
333,1024,1024
448,1024,1024
896,1024,1024
3,1024,2048
6,1024,2048
13,1024,2048
17,1024,2048
500,1024,2048
2560,1024,2048
6144,1024,2048
1,1024,2304
3,1024,2304
9,1024,2304
13,1024,2304
20,1024,2304
40,1024,2304
48,1024,2304
64,1024,2304
384,1024,2304
1536,1024,2304
3072,1024,2304
7,1024,4096
14,1024,4096
80,1024,4096
96,1024,4096
112,1024,4096
384,1024,4096
3072,1024,4096
65536,1024,4096
7,1024,7168
16,1024,7168
17,1024,7168
20,1024,7168
32,1024,7168
40,1024,7168
128,1024,7168
192,1024,7168
333,1024,7168
1536,1024,7168
3333,1024,7168
5,1152,2048
14,1152,2048
20,1152,2048
224,1152,2048
20480,1152,2048
4,1152,2304
8,1152,2304
13,1152,2304
15,1152,2304
32,1152,2304
40,1152,2304
56,1152,2304
192,1152,2304
3333,1152,2304
4,1152,3072
11,1152,3072
12,1152,3072
17,1152,3072
40,1152,3072
160,1152,3072
256,1152,3072
384,1152,3072
768,1152,3072
896,1152,3072
3000,1152,3072
1,1152,8192
200,1152,8192
1000,1152,8192
6144,1152,8192
32768,1152,8192
65536,1152,8192
4,1280,2304
40,1280,2304
48,1280,2304
64,1280,2304
128,1280,2304
224,1280,2304
256,1280,2304
6144,1280,2304
8192,1280,2304
5,1280,4096
7,1280,4096
13,1280,4096
15,1280,4096
160,1280,4096
1536,1280,4096
13,1536,2048
33,1536,2048
1000,1536,2048
10240,1536,2048
3,1536,7168
4,1536,7168
5,1536,7168
24,1536,7168
112,1536,7168
224,1536,7168
2560,1536,7168
3,2048,256
4,2048,256
9,2048,256
13,2048,256
28,2048,256
40,2048,256
48,2048,256
192,2048,256
4096,2048,256
7,2048,384
9,2048,384
24,2048,384
28,2048,384
80,2048,384
96,2048,384
256,2048,384
6000,2048,384
24576,2048,384
5,2048,512
7,2048,512
13,2048,512
24,2048,512
28,2048,512
80,2048,512
224,2048,512
5120,2048,512
5,2048,1024
28,2048,1024
40,2048,1024
48,2048,1024
192,2048,1024
640,2048,1024
896,2048,1024
49152,2048,1024
13,2048,2048
17,2048,2048
24,2048,2048
40,2048,2048
6,2048,4096
12,2048,4096
13,2048,4096
15,2048,4096
17,2048,4096
2560,2048,4096
49152,2048,4096
1,2048,6144
13,2048,6144
15,2048,6144
28,2048,6144
896,2048,6144
2560,2048,6144
20,2048,7168
1234,2048,7168
24576,2048,7168
1,2112,256
8,2112,256
11,2112,256
14,2112,256
17,2112,256
32,2112,256
56,2112,256
80,2112,256
3000,2112,256
2,2112,4608
6,2112,4608
28,2112,4608
56,2112,4608
3,2112,7168
20480,2112,7168
24576,2112,7168
2,2112,8192
6,2112,8192
7,2112,8192
10,2112,8192
17,2112,8192
48,2112,8192
64,2112,8192
80,2112,8192
384,2112,8192
640,2112,8192
2560,2112,8192
10000,2112,8192
32768,2112,8192
7,2176,4096
15,2176,4096
40,2176,4096
80,2176,4096
2,2176,6144
9,2176,6144
11,2176,6144
13,2176,6144
14,2176,6144
24,2176,6144
28,2176,6144
128,2176,6144
320,2176,6144
448,2176,6144
1536,2176,6144
4096,2176,6144
7,2176,7168
8,2176,7168
10,2176,7168
28,2176,7168
32,2176,7168
56,2176,7168
256,2176,7168
777,2176,7168
896,2176,7168
1024,2176,7168
2,2176,16384
5,2176,16384
15,2176,16384
32,2176,16384
448,2176,16384
512,2176,16384
3000,2176,16384
24576,2176,16384
4,2240,1024
5,2240,1024
11,2240,1024
48,2240,1024
20480,2240,1024
6,2240,7168
14,2240,7168
28,2240,7168
7,2240,16384
16,2240,16384
17,2240,16384
28,2240,16384
128,2240,16384
192,2240,16384
1536,2240,16384
7,2304,2048
20,2304,2048
24,2304,2048
160,2304,2048
6144,2304,2048
28,2304,4096
40,2304,4096
192,2304,4096
384,2304,4096
5,2304,6144
8,2304,6144
32,2304,6144
256,2304,6144
6144,2304,6144
3,2560,512
13,2560,512
48,2560,512
112,2560,512
160,2560,512
224,2560,512
256,2560,512
49152,2560,512
14,2560,2048
20,2560,2048
96,2560,2048
6,2560,4096
11,2560,4096
12,2560,4096
17,2560,4096
1280,2560,4096
3072,2560,4096
20000,2560,4096
2,2560,8192
5,2560,8192
11,2560,8192
16,2560,8192
17,2560,8192
20,2560,8192
32,2560,8192
56,2560,8192
333,2560,8192
768,2560,8192
8,2624,2304
17,2624,2304
48,2624,2304
64,2624,2304
224,2624,2304
3072,2624,2304
20480,2624,2304
112,2624,6144
384,2624,6144
768,2624,6144
9,3072,1024
