M,N,K
5,64,256
10,64,256
112,64,256
12288,64,256
32768,64,256
5,64,3200
8,64,3200
15,64,3200
20,64,3200
32,64,3200
112,64,3200
768,64,3200
7,64,7168
9,64,7168
13,64,7168
14,64,7168
28,64,7168
56,64,7168
224,64,7168
2,64,12800
6,64,12800
9,64,12800
48,64,12800
320,64,12800
896,64,12800
1024,64,12800
3,128,512
5,128,512
12,128,512
33,128,512
48,128,512
256,128,512
4096,128,512
6144,128,512
5,128,7168
14,128,7168
1234,128,7168
1280,128,7168
17,256,512
24,256,512
32,256,512
56,256,512
200,256,512
1000,256,512
1280,256,512
16384,256,512
14,256,1280
64,256,1280
224,256,1280
320,256,1280
640,256,1280
768,256,1280
1000,256,1280
1280,256,1280
24576,256,1280
28,256,2048
192,256,2048
1536,256,2048
65536,256,2048
12,256,4096
128,256,4096
777,256,4096
9,256,4352
10,256,4352
17,256,4352
24,256,4352
32,256,4352
48,256,4352
224,256,4352
320,256,4352
768,256,4352
1280,256,4352
1536,256,4352
5,256,7168
20,256,7168
80,256,7168
448,256,7168
3072,256,7168
1,256,12800
3,256,12800
64,256,12800
96,256,12800
384,256,12800
448,256,12800
768,256,12800
1536,256,12800
17,256,18432
224,256,18432
384,256,18432
1024,256,18432
65536,256,18432
14,512,5120
40,512,5120
48,512,5120
160,512,5120
320,512,5120
6144,512,5120
10,512,6144
14,512,6144
17,512,6144
28,512,6144
160,512,6144
3,512,7168
768,512,7168
896,512,7168
5,576,1536
56,576,1536
80,576,1536
128,576,1536
160,576,1536
192,576,1536
320,576,1536
3072,576,1536
20480,576,1536
24576,576,1536
15,576,7168
112,576,7168
896,576,7168
1,768,1280
7,768,1280
10,768,1280
14,768,1280
15,768,1280
20,768,1280
24,768,1280
28,768,1280
1280,768,1280
2000,768,1280
3072,768,1280
3,768,4608
7,768,4608
9,768,4608
11,768,4608
32,768,4608
56,768,4608
64,768,4608
1280,768,4608
10,768,7168
1,768,12800
2,768,12800
5,768,12800
200,768,12800
1536,768,12800
8192,768,12800
20,1024,256
28,1024,256
96,1024,256
160,1024,256
300,1024,256
1500,1024,256
3072,1024,256
8192,1024,256
20480,1024,256
24576,1024,256
56,1024,2048
384,1024,2048
896,1024,2048
2,1024,4096
4,1024,4096
15,1024,4096
28,1024,4096
24576,1024,4096
5,1024,7168
28,1024,7168
80,1024,7168
768,1024,7168
1,1024,18432
3,1024,18432
9,1024,18432
16,1024,18432
17,1024,18432
56,1024,18432
64,1024,18432
1234,1024,18432
3072,1024,18432
65536,1024,18432
10,1280,4096
15,1280,4096
17,1280,4096
160,1280,4096
49152,1280,4096
2,1280,5120
3,1280,5120
32,1280,5120
56,1280,5120
96,1280,5120
777,1280,5120
1234,1280,5120
2,1280,8192
6,1280,8192
11,1280,8192
15,1280,8192
128,1280,8192
160,1280,8192
320,1280,8192
1280,1280,8192
3072,1280,8192
65536,1280,8192
7,1536,256
8,1536,256
12,1536,256
13,1536,256
14,1536,256
17,1536,256
384,1536,256
640,1536,256
4096,1536,256
15,1536,4096
448,1536,4096
640,1536,4096
10,1536,4352
17,1536,4352
40,1536,4352
320,1536,4352
2048,1536,4352
16384,1536,4352
2,1536,7168
40,1536,7168
96,1536,7168
320,1536,7168
