M,N,K
129,64,128
232,64,128
334,64,128
337,64,128
951,64,128
1314,64,128
1608,64,128
2532,64,128
2731,64,128
2858,64,128
3109,64,128
3350,64,128
3417,64,128
3615,64,128
3814,64,128
3940,64,128
5147,64,128
5249,64,128
5914,64,128
6475,64,128
6491,64,128
6698,64,128
6786,64,128
7536,64,128
8073,64,128
8215,64,128
8590,64,128
8881,64,128
8993,64,128
9343,64,128
9376,64,128
9389,64,128
9686,64,128
9967,64,128
10017,64,128
10040,64,128
10064,64,128
10345,64,128
10555,64,128
10791,64,128
11308,64,128
11427,64,128
11473,64,128
11476,64,128
11632,64,128
11949,64,128
12033,64,128
12070,64,128
12346,64,128
12422,64,128
12443,64,128
12661,64,128
12684,64,128
12952,64,128
13349,64,128
13778,64,128
14584,64,128
15292,64,128
15325,64,128
16044,64,128
16763,64,128
17179,64,128
17299,64,128
17516,64,128
18756,64,128
19034,64,128
19201,64,128
20055,64,128
20703,64,128
21284,64,128
21476,64,128
23133,64,128
24191,64,128
25000,64,128
25953,64,128
27009,64,128
27947,64,128
28700,64,128
29058,64,128
29267,64,128
29465,64,128
29500,64,128
29973,64,128
30663,64,128
31357,64,128
33024,64,128
193,128,4608
246,128,4608
1910,128,4608
2008,128,4608
2315,128,4608
2360,128,4608
2490,128,4608
2916,128,4608
3013,128,4608
3031,128,4608
3079,128,4608
3098,128,4608
3144,128,4608
3764,128,4608
3894,128,4608
3933,128,4608
4134,128,4608
4272,128,4608
4469,128,4608
5343,128,4608
5996,128,4608
6679,128,4608
6950,128,4608
7090,128,4608
7903,128,4608
8212,128,4608
8563,128,4608
9016,128,4608
9058,128,4608
9194,128,4608
9740,128,4608
9984,128,4608
10159,128,4608
10274,128,4608
10485,128,4608
10517,128,4608
10627,128,4608
10745,128,4608
10796,128,4608
10801,128,4608
11296,128,4608
11581,128,4608
11745,128,4608
12018,128,4608
12047,128,4608
12123,128,4608
12601,128,4608
12806,128,4608
15186,128,4608
15305,128,4608
16142,128,4608
16258,128,4608
16304,128,4608
16874,128,4608
17743,128,4608
18086,128,4608
18188,128,4608
18571,128,4608
18858,128,4608
18930,128,4608
19194,128,4608
19908,128,4608
20636,128,4608
21233,128,4608
21491,128,4608
23207,128,4608
23220,128,4608
23688,128,4608
24561,128,4608
24592,128,4608
25481,128,4608
26687,128,4608
27417,128,4608
27849,128,4608
28866,128,4608
29596,128,4608
30091,128,4608
31156,128,4608
31253,128,4608
31749,128,4608
33024,128,4608
137,2048,8192
161,2048,8192
190,2048,8192
360,2048,8192
1230,2048,8192
1437,2048,8192
1520,2048,8192
1699,2048,8192
1867,2048,8192
1918,2048,8192
1971,2048,8192
2020,2048,8192
2626,2048,8192
3382,2048,8192
3401,2048,8192
3576,2048,8192
3585,2048,8192
4230,2048,8192
4288,2048,8192
4644,2048,8192
4830,2048,8192
5142,2048,8192
5208,2048,8192
5628,2048,8192
5776,2048,8192
5873,2048,8192
6382,2048,8192
6451,2048,8192
7153,2048,8192
7740,2048,8192
8547,2048,8192
8985,2048,8192
9130,2048,8192
9291,2048,8192
9544,2048,8192
9624,2048,8192
9626,2048,8192
9771,2048,8192
9989,2048,8192
10364,2048,8192
10447,2048,8192
10567,2048,8192
10596,2048,8192
10736,2048,8192
10817,2048,8192
11121,2048,8192
11590,2048,8192
12333,2048,8192
12349,2048,8192
12959,2048,8192
13164,2048,8192
13518,2048,8192
14314,2048,8192
14746,2048,8192
15161,2048,8192
15579,2048,8192
