M,N,K
1,5120,8192
2,5120,8192
4,5120,8192
5,5120,8192
6,5120,8192
8,5120,8192
9,5120,8192
11,5120,8192
12,5120,8192
13,5120,8192
15,5120,8192
16,5120,8192
17,5120,8192
39,5120,8192
60,5120,8192
82,5120,8192
104,5120,8192
126,5120,8192
147,5120,8192
169,5120,8192
191,5120,8192
213,5120,8192
234,5120,8192
256,5120,8192
257,5120,8192
656,5120,8192
1019,5120,8192
1362,5120,8192
1704,5120,8192
2046,5120,8192
2387,5120,8192
2729,5120,8192
3071,5120,8192
3413,5120,8192
3754,5120,8192
4096,5120,8192
4097,5120,8192
6668,5120,8192
9250,5120,8192
11819,5120,8192
14408,5120,8192
17029,5120,8192
19614,5120,8192
22222,5120,8192
24890,5120,8192
27553,5120,8192
30200,5120,8192
33024,5120,8192
1,5120,25600
2,5120,25600
4,5120,25600
5,5120,25600
6,5120,25600
8,5120,25600
9,5120,25600
11,5120,25600
12,5120,25600
13,5120,25600
15,5120,25600
16,5120,25600
17,5120,25600
39,5120,25600
60,5120,25600
82,5120,25600
104,5120,25600
126,5120,25600
147,5120,25600
169,5120,25600
191,5120,25600
213,5120,25600
234,5120,25600
256,5120,25600
257,5120,25600
656,5120,25600
1019,5120,25600
1362,5120,25600
1704,5120,25600
2046,5120,25600
2387,5120,25600
2729,5120,25600
3071,5120,25600
3413,5120,25600
3754,5120,25600
4096,5120,25600
4097,5120,25600
6668,5120,25600
9250,5120,25600
11819,5120,25600
14408,5120,25600
17029,5120,25600
19614,5120,25600
22222,5120,25600
24890,5120,25600
27553,5120,25600
30200,5120,25600
33024,5120,25600
1,10240,5120
2,10240,5120
4,10240,5120
5,10240,5120
6,10240,5120
8,10240,5120
9,10240,5120
11,10240,5120
12,10240,5120
13,10240,5120
15,10240,5120
16,10240,5120
17,10240,5120
39,10240,5120
60,10240,5120
82,10240,5120
104,10240,5120
126,10240,5120
147,10240,5120
169,10240,5120
191,10240,5120
213,10240,5120
234,10240,5120
256,10240,5120
257,10240,5120
656,10240,5120
1019,10240,5120
1362,10240,5120
1704,10240,5120
2046,10240,5120
2387,10240,5120
2729,10240,5120
3071,10240,5120
3413,10240,5120
3754,10240,5120
4096,10240,5120
4097,10240,5120
6668,10240,5120
9250,10240,5120
11819,10240,5120
14408,10240,5120
17029,10240,5120
19614,10240,5120
22222,10240,5120
24890,10240,5120
27553,10240,5120
30200,10240,5120
33024,10240,5120
1,51200,5120
2,51200,5120
4,51200,5120
5,51200,5120
6,51200,5120
8,51200,5120
9,51200,5120
11,51200,5120
12,51200,5120
13,51200,5120
15,51200,5120
16,51200,5120
17,51200,5120
39,51200,5120
60,51200,5120
82,51200,5120
104,51200,5120
126,51200,5120
147,51200,5120
169,51200,5120
191,51200,5120
213,51200,5120
234,51200,5120
256,51200,5120
257,51200,5120
656,51200,5120
1019,51200,5120
1362,51200,5120
1704,51200,5120
2046,51200,5120
2387,51200,5120
2729,51200,5120
3071,51200,5120
3413,51200,5120
3754,51200,5120
4096,51200,5120
4097,51200,5120
6668,51200,5120
9250,51200,5120
11819,51200,5120
14408,51200,5120
17029,51200,5120
19614,51200,5120
22222,51200,5120
24890,51200,5120
27553,51200,5120
30200,51200,5120
33024,51200,5120
