M,N,K
5,2048,3072
9,2048,3072
10,2048,3072
11,2048,3072
21,2048,3072
330,2048,3072
667,2048,3072
692,2048,3072
802,2048,3072
854,2048,3072
991,2048,3072
1109,2048,3072
1138,2048,3072
1469,2048,3072
1593,2048,3072
1638,2048,3072
1754,2048,3072
1848,2048,3072
2116,2048,3072
2168,2048,3072
2513,2048,3072
2541,2048,3072
2551,2048,3072
2580,2048,3072
2941,2048,3072
3025,2048,3072
3094,2048,3072
3407,2048,3072
3440,2048,3072
3487,2048,3072
4229,2048,3072
4513,2048,3072
4539,2048,3072
4571,2048,3072
4584,2048,3072
4598,2048,3072
4616,2048,3072
4698,2048,3072
4788,2048,3072
5012,2048,3072
5082,2048,3072
5184,2048,3072
5297,2048,3072
5586,2048,3072
5629,2048,3072
5705,2048,3072
5789,2048,3072
5916,2048,3072
6061,2048,3072
6255,2048,3072
6730,2048,3072
7240,2048,3072
7765,2048,3072
7917,2048,3072
8228,2048,3072
8274,2048,3072
8347,2048,3072
8525,2048,3072
8537,2048,3072
8590,2048,3072
8679,2048,3072
8723,2048,3072
9644,2048,3072
9900,2048,3072
10216,2048,3072
11448,2048,3072
11540,2048,3072
12805,2048,3072
13729,2048,3072
13837,2048,3072
13920,2048,3072
13962,2048,3072
14105,2048,3072
14360,2048,3072
14423,2048,3072
14924,2048,3072
15005,2048,3072
15786,2048,3072
6,3072,3072
11,3072,3072
15,3072,3072
18,3072,3072
20,3072,3072
22,3072,3072
378,3072,3072
510,3072,3072
610,3072,3072
651,3072,3072
716,3072,3072
814,3072,3072
834,3072,3072
880,3072,3072
885,3072,3072
952,3072,3072
1153,3072,3072
1185,3072,3072
1190,3072,3072
1216,3072,3072
1267,3072,3072
1369,3072,3072
1438,3072,3072
1525,3072,3072
1563,3072,3072
1608,3072,3072
1621,3072,3072
1827,3072,3072
1888,3072,3072
1983,3072,3072
2043,3072,3072
2107,3072,3072
2260,3072,3072
2326,3072,3072
2626,3072,3072
2855,3072,3072
3004,3072,3072
3015,3072,3072
3204,3072,3072
3286,3072,3072
3499,3072,3072
3545,3072,3072
3636,3072,3072
3842,3072,3072
3851,3072,3072
3862,3072,3072
3922,3072,3072
3987,3072,3072
4056,3072,3072
4058,3072,3072
4106,3072,3072
4173,3072,3072
4419,3072,3072
4452,3072,3072
4759,3072,3072
4802,3072,3072
4877,3072,3072
4952,3072,3072
4956,3072,3072
4991,3072,3072
5087,3072,3072
5111,3072,3072
5224,3072,3072
5305,3072,3072
5562,3072,3072
5612,3072,3072
5660,3072,3072
5686,3072,3072
5763,3072,3072
5768,3072,3072
5796,3072,3072
5864,3072,3072
6075,3072,3072
6173,3072,3072
6233,3072,3072
6325,3072,3072
6388,3072,3072
6428,3072,3072
7252,3072,3072
7434,3072,3072
7524,3072,3072
7968,3072,3072
8102,3072,3072
8239,3072,3072
8346,3072,3072
8496,3072,3072
8652,3072,3072
9013,3072,3072
9177,3072,3072
9199,3072,3072
9228,3072,3072
9308,3072,3072
9756,3072,3072
9912,3072,3072
10618,3072,3072
10825,3072,3072
10890,3072,3072
10896,3072,3072
11293,3072,3072
11416,3072,3072
11707,3072,3072
11763,3072,3072
11775,3072,3072
11913,3072,3072
11941,3072,3072
12203,3072,3072
12328,3072,3072
12765,3072,3072
13046,3072,3072
13180,3072,3072
13275,3072,3072
13382,3072,3072
13718,3072,3072
13957,3072,3072
13990,3072,3072
14844,3072,3072
14850,3072,3072
15028,3072,3072
15281,3072,3072
15343,3072,3072
15522,3072,3072
15622,3072,3072
15917,3072,3072
16502,3072,3072
16880,3072,3072
18208,3072,3072
18979,3072,3072
9,3072,6144
12,3072,6144
21,3072,6144
204,3072,6144
380,3072,6144
420,3072,6144
878,3072,6144
943,3072,6144
1215,3072,6144
1294,3072,6144
1436,3072,6144
1578,3072,6144
1663,3072,6144
1686,3072,6144
1787,3072,6144
1807,3072,6144
1889,3072,6144
1933,3072,6144
2120,3072,6144
2335,3072,6144
2839,3072,6144
3583,3072,6144
4022,3072,6144
4033,3072,6144
4079,3072,6144
4142,3072,6144
4208,3072,6144
4228,3072,6144
4284,3072,6144
4285,3072,6144
4321,3072,6144
4439,3072,6144
4610,3072,6144
4641,3072,6144
4855,3072,6144
4872,3072,6144
4916,3072,6144
4917,3072,6144
4977,3072,6144
4996,3072,6144
5048,3072,6144
5066,3072,6144
5143,3072,6144
5204,3072,6144
5420,3072,6144
5460,3072,6144
5477,3072,6144
5530,3072,6144
5532,3072,6144
5607,3072,6144
5625,3072,6144
5716,3072,6144
6018,3072,6144
6203,3072,6144
6542,3072,6144
6795,3072,6144
7842,3072,6144
7865,3072,6144
8337,3072,6144
8359,3072,6144
8736,3072,6144
9080,3072,6144
9192,3072,6144
9271,3072,6144
9435,3072,6144
