M,N,K
43,512,7168
121,512,7168
136,512,7168
152,512,7168
1109,512,7168
1374,512,7168
1381,512,7168
1460,512,7168
1529,512,7168
1628,512,7168
1646,512,7168
1703,512,7168
1957,512,7168
2063,512,7168
2065,512,7168
2169,512,7168
2318,512,7168
2325,512,7168
2335,512,7168
3108,512,7168
3168,512,7168
3174,512,7168
3254,512,7168
3310,512,7168
3332,512,7168
3349,512,7168
3366,512,7168
3419,512,7168
3717,512,7168
4107,512,7168
4244,512,7168
4315,512,7168
5106,512,7168
6138,512,7168
6290,512,7168
7744,512,7168
8516,512,7168
8577,512,7168
8766,512,7168
9110,512,7168
9307,512,7168
9454,512,7168
9611,512,7168
9793,512,7168
9875,512,7168
9944,512,7168
10096,512,7168
10147,512,7168
10414,512,7168
10418,512,7168
10543,512,7168
10633,512,7168
10768,512,7168
10958,512,7168
11028,512,7168
11035,512,7168
11231,512,7168
11431,512,7168
11577,512,7168
11652,512,7168
11701,512,7168
11885,512,7168
11945,512,7168
12054,512,7168
12132,512,7168
12204,512,7168
12687,512,7168
12890,512,7168
13559,512,7168
13578,512,7168
13645,512,7168
13997,512,7168
14163,512,7168
14291,512,7168
14314,512,7168
14729,512,7168
16283,512,7168
16725,512,7168
16871,512,7168
17137,512,7168
17602,512,7168
17814,512,7168
17821,512,7168
18806,512,7168
19186,512,7168
19328,512,7168
20146,512,7168
20712,512,7168
20839,512,7168
20840,512,7168
20929,512,7168
21713,512,7168
22450,512,7168
23230,512,7168
23500,512,7168
23742,512,7168
25695,512,7168
26269,512,7168
26751,512,7168
26821,512,7168
27989,512,7168
28250,512,7168
28383,512,7168
29089,512,7168
29094,512,7168
29877,512,7168
30527,512,7168
30556,512,7168
31348,512,7168
32819,512,7168
32851,512,7168
33024,512,7168
116,576,7168
791,576,7168
918,576,7168
1333,576,7168
1361,576,7168
1707,576,7168
1974,576,7168
2115,576,7168
2249,576,7168
2304,576,7168
2318,576,7168
2348,576,7168
2372,576,7168
2400,576,7168
2401,576,7168
2632,576,7168
2713,576,7168
2762,576,7168
2979,576,7168
3095,576,7168
3119,576,7168
3441,576,7168
3566,576,7168
3764,576,7168
3866,576,7168
3929,576,7168
4027,576,7168
4408,576,7168
4667,576,7168
4808,576,7168
4835,576,7168
4868,576,7168
5063,576,7168
5072,576,7168
5103,576,7168
5195,576,7168
5274,576,7168
5633,576,7168
5862,576,7168
6118,576,7168
6154,576,7168
6419,576,7168
6486,576,7168
6663,576,7168
7077,576,7168
7193,576,7168
7218,576,7168
8448,576,7168
8577,576,7168
8897,576,7168
9078,576,7168
9327,576,7168
9398,576,7168
9444,576,7168
9450,576,7168
9632,576,7168
9633,576,7168
9732,576,7168
9898,576,7168
9971,576,7168
10219,576,7168
10253,576,7168
10297,576,7168
10308,576,7168
10436,576,7168
10471,576,7168
10546,576,7168
10630,576,7168
10646,576,7168
10715,576,7168
10977,576,7168
11079,576,7168
11186,576,7168
11318,576,7168
11439,576,7168
11693,576,7168
11844,576,7168
12195,576,7168
12345,576,7168
12571,576,7168
12670,576,7168
12865,576,7168
13565,576,7168
13662,576,7168
14428,576,7168
15306,576,7168
15791,576,7168
16391,576,7168
17033,576,7168
17173,576,7168
17471,576,7168
17565,576,7168
17580,576,7168
17664,576,7168
17828,576,7168
17911,576,7168
18068,576,7168
18257,576,7168
18447,576,7168
18836,576,7168
18848,576,7168
18946,576,7168
18999,576,7168
19012,576,7168
19261,576,7168
19487,576,7168
19834,576,7168
19981,576,7168
20000,576,7168
20732,576,7168
20885,576,7168
21233,576,7168
21550,576,7168
21576,576,7168
22199,576,7168
23467,576,7168
23492,576,7168
23949,576,7168
24483,576,7168
26001,576,7168
26103,576,7168
27058,576,7168
27061,576,7168
28374,576,7168
28457,576,7168
28653,576,7168
29558,576,7168
29822,576,7168
30675,576,7168
31371,576,7168
31396,576,7168
31628,576,7168
33024,576,7168
1189,1024,4096
3191,1024,4096
4105,1024,4096
8399,1024,4096
9609,1024,4096
10359,1024,4096
10387,1024,4096
12882,1024,4096
192,1536,7168
196,1536,7168
197,1536,7168
237,1536,7168
264,1536,7168
355,1536,7168
937,1536,7168
1007,1536,7168
1803,1536,7168
1832,1536,7168
1882,1536,7168
2131,1536,7168
2274,1536,7168
2406,1536,7168
2579,1536,7168
2598,1536,7168
2949,1536,7168
3026,1536,7168
3276,1536,7168
3423,1536,7168
3457,1536,7168
3486,1536,7168
3528,1536,7168
3567,1536,7168
3589,1536,7168
3594,1536,7168
3619,1536,7168
3700,1536,7168
3776,1536,7168
3820,1536,7168
4083,1536,7168
4573,1536,7168
4580,1536,7168
4610,1536,7168
4743,1536,7168
4757,1536,7168
4869,1536,7168
5073,1536,7168
5276,1536,7168
5346,1536,7168
5729,1536,7168
5738,1536,7168
5797,1536,7168
5807,1536,7168
6053,1536,7168
6100,1536,7168
6116,1536,7168
6205,1536,7168
6784,1536,7168
7203,1536,7168
7647,1536,7168
7721,1536,7168
7761,1536,7168
7775,1536,7168
8463,1536,7168
8558,1536,7168
8604,1536,7168
8623,1536,7168
8763,1536,7168
8994,1536,7168
9117,1536,7168
9427,1536,7168
9428,1536,7168
9546,1536,7168
10057,1536,7168
10252,1536,7168
10286,1536,7168
10297,1536,7168
10356,1536,7168
10377,1536,7168
10585,1536,7168
10652,1536,7168
10655,1536,7168
10684,1536,7168
10739,1536,7168
10935,1536,7168
10970,1536,7168
11000,1536,7168
11012,1536,7168
11041,1536,7168
11168,1536,7168
11217,1536,7168
11256,1536,7168
11405,1536,7168
11585,1536,7168
11620,1536,7168
12023,1536,7168
12043,1536,7168
12208,1536,7168
12554,1536,7168
12624,1536,7168
12842,1536,7168
12876,1536,7168
13128,1536,7168
13545,1536,7168
13567,1536,7168
13583,1536,7168
14671,1536,7168
14731,1536,7168
15038,1536,7168
15232,1536,7168
15234,1536,7168
