M,N,K,q_dtype_w
13,64,7168,torch.float8_e4m3fn
17,64,7168,torch.float8_e4m3fn
64,64,7168,torch.float8_e4m3fn
768,64,7168,torch.float8_e4m3fn
20480,64,7168,torch.float8_e4m3fn
7,64,16384,torch.float8_e4m3fn
10,64,16384,torch.float8_e4m3fn
17,64,16384,torch.float8_e4m3fn
48,64,16384,torch.float8_e4m3fn
64,64,16384,torch.float8_e4m3fn
96,64,16384,torch.float8_e4m3fn
112,64,16384,torch.float8_e4m3fn
320,64,16384,torch.float8_e4m3fn
20480,64,16384,torch.float8_e4m3fn
5,128,5120,torch.float8_e4m3fn
8,128,5120,torch.float8_e4m3fn
16,128,5120,torch.float8_e4m3fn
17,128,5120,torch.float8_e4m3fn
256,128,5120,torch.float8_e4m3fn
640,128,5120,torch.float8_e4m3fn
2000,128,5120,torch.float8_e4m3fn
2560,128,5120,torch.float8_e4m3fn
2,128,7168,torch.float8_e4m3fn
14,128,7168,torch.float8_e4m3fn
256,128,7168,torch.float8_e4m3fn
768,128,7168,torch.float8_e4m3fn
2048,128,7168,torch.float8_e4m3fn
4096,128,7168,torch.float8_e4m3fn
5,128,8192,torch.float8_e4m3fn
7,128,8192,torch.float8_e4m3fn
15,128,8192,torch.float8_e4m3fn
17,128,8192,torch.float8_e4m3fn
20,128,8192,torch.float8_e4m3fn
64,128,8192,torch.float8_e4m3fn
96,128,8192,torch.float8_e4m3fn
224,128,8192,torch.float8_e4m3fn
500,128,8192,torch.float8_e4m3fn
2048,128,8192,torch.float8_e4m3fn
8192,128,8192,torch.float8_e4m3fn
1,192,1024,torch.float8_e4m3fn
12,192,1024,torch.float8_e4m3fn
16,192,1024,torch.float8_e4m3fn
20,192,1024,torch.float8_e4m3fn
32,192,1024,torch.float8_e4m3fn
224,192,1024,torch.float8_e4m3fn
256,192,1024,torch.float8_e4m3fn
300,192,1024,torch.float8_e4m3fn
333,192,1024,torch.float8_e4m3fn
512,192,1024,torch.float8_e4m3fn
2000,192,1024,torch.float8_e4m3fn
4096,192,1024,torch.float8_e4m3fn
7,256,7168,torch.float8_e4m3fn
12,256,7168,torch.float8_e4m3fn
14,256,7168,torch.float8_e4m3fn
56,256,7168,torch.float8_e4m3fn
384,256,7168,torch.float8_e4m3fn
1,256,18432,torch.float8_e4m3fn
10,256,18432,torch.float8_e4m3fn
20,256,18432,torch.float8_e4m3fn
40,256,18432,torch.float8_e4m3fn
64,256,18432,torch.float8_e4m3fn
768,256,18432,torch.float8_e4m3fn
1024,256,18432,torch.float8_e4m3fn
40000,256,18432,torch.float8_e4m3fn
13,384,7168,torch.float8_e4m3fn
24,384,7168,torch.float8_e4m3fn
56,384,7168,torch.float8_e4m3fn
80,384,7168,torch.float8_e4m3fn
128,384,7168,torch.float8_e4m3fn
1280,384,7168,torch.float8_e4m3fn
24576,384,7168,torch.float8_e4m3fn
49152,384,7168,torch.float8_e4m3fn
3,512,2304,torch.float8_e4m3fn
14,512,2304,torch.float8_e4m3fn
20,512,2304,torch.float8_e4m3fn
56,512,2304,torch.float8_e4m3fn
384,512,2304,torch.float8_e4m3fn
65536,512,2304,torch.float8_e4m3fn
1,512,3584,torch.float8_e4m3fn
9,512,3584,torch.float8_e4m3fn
12,512,3584,torch.float8_e4m3fn
24,512,3584,torch.float8_e4m3fn
333,512,3584,torch.float8_e4m3fn
6144,512,3584,torch.float8_e4m3fn
6,512,4096,torch.float8_e4m3fn
10,512,4096,torch.float8_e4m3fn
11,512,4096,torch.float8_e4m3fn
20,512,4096,torch.float8_e4m3fn
24,512,4096,torch.float8_e4m3fn
33,512,4096,torch.float8_e4m3fn
40,512,4096,torch.float8_e4m3fn
96,512,4096,torch.float8_e4m3fn
333,512,4096,torch.float8_e4m3fn
512,512,4096,torch.float8_e4m3fn
1536,512,4096,torch.float8_e4m3fn
3072,512,4096,torch.float8_e4m3fn
3333,512,4096,torch.float8_e4m3fn
6000,512,4096,torch.float8_e4m3fn
65536,512,4096,torch.float8_e4m3fn
1,512,7168,torch.float8_e4m3fn
16,512,7168,torch.float8_e4m3fn
28,512,7168,torch.float8_e4m3fn
56,512,7168,torch.float8_e4m3fn
200,512,7168,torch.float8_e4m3fn
224,512,7168,torch.float8_e4m3fn
256,512,7168,torch.float8_e4m3fn
448,512,7168,torch.float8_e4m3fn
7,576,6400,torch.float8_e4m3fn
20,576,6400,torch.float8_e4m3fn
24,576,6400,torch.float8_e4m3fn
40,576,6400,torch.float8_e4m3fn
