M,N,K,q_dtype_w
3,100,5120,torch.float8_e4m3fn
11,100,5120,torch.int8
12,100,5120,torch.int8
20,100,5120,torch.int8
28,100,5120,torch.int8
56,100,5120,torch.int8
512,100,5120,torch.float8_e4m3fn
1234,100,5120,torch.int8
1536,100,5120,torch.float8_e4m3fn
20000,100,5120,torch.int8
4,128,128,torch.int8
14,128,128,torch.int8
80,128,128,torch.int8
100,128,128,torch.int8
3333,128,128,torch.int8
8192,128,128,torch.int8
1,128,3200,torch.int8
6,128,3200,torch.int8
13,128,3200,torch.int8
14,128,3200,torch.int8
48,128,3200,torch.int8
192,128,3200,torch.int8
1234,128,3200,torch.int8
1280,128,3200,torch.float8_e4m3fn
24,128,4096,torch.int8
40,128,4096,torch.float8_e4m3fn
3072,128,4096,torch.int8
3,128,6400,torch.float8_e4m3fn
6,128,6400,torch.float8_e4m3fn
20,128,6400,torch.float8_e4m3fn
24,128,6400,torch.int8
32,128,6400,torch.int8
56,128,6400,torch.int8
192,128,6400,torch.int8
384,128,6400,torch.float8_e4m3fn
896,128,6400,torch.float8_e4m3fn
1280,128,6400,torch.int8
3000,128,6400,torch.int8
3072,128,6400,torch.int8
8192,128,6400,torch.int8
20000,128,6400,torch.float8_e4m3fn
65536,128,6400,torch.int8
8,128,16384,torch.float8_e4m3fn
8,128,16384,torch.int8
10,128,16384,torch.float8_e4m3fn
11,128,16384,torch.int8
17,128,16384,torch.int8
32,128,16384,torch.float8_e4m3fn
1280,128,16384,torch.float8_e4m3fn
1536,128,16384,torch.int8
2000,128,16384,torch.int8
20000,128,16384,torch.int8
5,128,49920,torch.int8
6,128,49920,torch.int8
11,128,49920,torch.int8
12,128,49920,torch.float8_e4m3fn
14,128,49920,torch.int8
56,128,49920,torch.int8
96,128,49920,torch.int8
200,128,49920,torch.float8_e4m3fn
65536,128,49920,torch.int8
8,192,640,torch.int8
11,192,640,torch.int8
20,192,640,torch.int8
384,192,640,torch.float8_e4m3fn
2000,192,640,torch.int8
24576,192,640,torch.float8_e4m3fn
2,192,1024,torch.int8
5,192,1024,torch.int8
20,192,1024,torch.float8_e4m3fn
20,192,1024,torch.int8
192,192,1024,torch.float8_e4m3fn
448,192,1024,torch.int8
3000,192,1024,torch.int8
3072,192,1024,torch.int8
4096,192,1024,torch.int8
6000,192,1024,torch.float8_e4m3fn
40000,192,1024,torch.int8
6,192,1280,torch.int8
17,192,1280,torch.float8_e4m3fn
20,192,1280,torch.int8
384,192,1280,torch.int8
512,192,1280,torch.int8
896,192,1280,torch.int8
4096,192,1280,torch.int8
6144,192,1280,torch.int8
17,192,28672,torch.int8
56,192,28672,torch.int8
96,192,28672,torch.int8
224,192,28672,torch.float8_e4m3fn
640,192,28672,torch.int8
7,200,5120,torch.float8_e4m3fn
9,200,5120,torch.int8
15,200,5120,torch.int8
16,200,5120,torch.float8_e4m3fn
28,200,5120,torch.float8_e4m3fn
48,200,5120,torch.int8
56,200,5120,torch.int8
80,200,5120,torch.int8
112,200,5120,torch.float8_e4m3fn
192,200,5120,torch.int8
448,200,5120,torch.float8_e4m3fn
1536,200,5120,torch.float8_e4m3fn
3,256,128,torch.int8
20,256,128,torch.float8_e4m3fn
64,256,128,torch.int8
80,256,128,torch.int8
128,256,128,torch.int8
224,256,128,torch.float8_e4m3fn
4,256,256,torch.int8
8,256,256,torch.int8
28,256,256,torch.float8_e4m3fn
48,256,256,torch.float8_e4m3fn
80,256,256,torch.int8
384,256,256,torch.int8
1000,256,256,torch.int8
1280,256,256,torch.int8
3072,256,256,torch.int8
6000,256,256,torch.float8_e4m3fn
5,256,640,torch.int8
15,256,640,torch.int8
28,256,640,torch.float8_e4m3fn
384,256,640,torch.int8
768,256,640,torch.int8
12288,256,640,torch.int8
2,256,768,torch.int8
5,256,768,torch.float8_e4m3fn
9,256,768,torch.int8
16,256,768,torch.int8
20,256,768,torch.int8
40,256,768,torch.float8_e4m3fn
40,256,768,torch.int8
64,256,768,torch.float8_e4m3fn
333,256,768,torch.float8_e4m3fn
1024,256,768,torch.int8
2560,256,768,torch.int8
3000,256,768,torch.int8
10240,256,768,torch.int8
6,256,1024,torch.int8
9,256,1024,torch.int8
20,256,1024,torch.int8
96,256,1024,torch.int8
224,256,1024,torch.int8
384,256,1024,torch.int8
1280,256,1024,torch.int8
7,256,8192,torch.int8
11,256,8192,torch.float8_e4m3fn
13,256,8192,torch.int8
15,256,8192,torch.float8_e4m3fn
15,256,8192,torch.int8
40,256,8192,torch.int8
56,256,8192,torch.int8
777,256,8192,torch.int8
2000,256,8192,torch.float8_e4m3fn
3333,256,8192,torch.int8
8192,256,8192,torch.int8
5,256,19968,torch.int8
6,256,19968,torch.int8
40,256,19968,torch.float8_e4m3fn
64,256,19968,torch.float8_e4m3fn
80,256,19968,torch.int8
160,256,19968,torch.int8
192,256,19968,torch.int8
320,256,19968,torch.int8
1234,256,19968,torch.int8
8192,256,19968,torch.int8
5,384,128,torch.int8
9,384,128,torch.int8
14,384,128,torch.int8
