M,N,K,kernelId,tile_MxNxK,xdl,wave,pipe,splitK,us,tflops,errRatio,status,name
2048,2048,3072,0,128x128x128,32x32,2x2,intrawave_v3,0,36.436,707.3,0.0,ok,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
2048,2048,3072,1,128x64x128,32x32,2x1,intrawave_v3,0,42.576,605.3,0.0,ok,a8w8_blockscale_1x128x128_256x128x64x128_16x16_32x32_2x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
2048,2048,3072,2,64x128x128,32x32,1x2,intrawave_v3,0,38.738,665.2,0.0,ok,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
2048,2048,3072,3,64x64x128,32x32,1x1,intrawave_v3,0,44.604,577.7,0.0,ok,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
2048,2048,3072,4,16x256x128,16x16,1x4,intrawave_v1,0,63.815,403.8,0.0,ok,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1
2048,2048,3072,5,16x128x128,16x16,1x2,intrawave_v1,0,73.731,349.5,0.0,ok,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1
2048,2048,3072,6,16x64x128,16x16,1x1,intrawave_v1,0,98.683,261.1,0.0,ok,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1
2048,2048,3072,7,16x128x256,16x16,1x2,intrawave_v1,0,83.665,308.0,0.0,ok,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1
2048,2048,3072,8,16x64x256,16x16,1x1,intrawave_v1,0,112.509,229.0,0.0,ok,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1
2048,2048,3072,9,32x256x128,32x32,1x2,intrawave_v1,0,59.305,434.5,0.0,ok,a8w8_blockscale_1x128x128_256x32x256x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
2048,2048,3072,10,32x128x128,32x32,1x1,intrawave_v1,0,77.623,332.0,0.0,ok,a8w8_blockscale_1x128x128_256x32x128x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
2048,2048,3072,11,32x64x128,16x16,2x1,intrawave_v1,0,114.251,225.6,0.0,ok,a8w8_blockscale_1x128x128_256x32x64x128_16x16_16x16_2x1_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1
2048,2048,3072,12,32x128x256,32x32,1x1,intrawave_v1,0,58.231,442.5,0.0,ok,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
2048,2048,3072,13,32x64x256,16x16,2x1,intrawave_v1,0,75.769,340.1,0.0,ok,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1
2048,2048,3072,14,64x256x128,32x32,2x2,intrawave_v1,0,47.754,539.6,0.0,ok,a8w8_blockscale_1x128x128_256x64x256x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
2048,2048,3072,15,64x128x128,32x32,2x1,intrawave_v1,0,56.217,458.4,0.0,ok,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_2x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
2048,2048,3072,16,64x64x128,32x32,1x1,intrawave_v1,0,74.133,347.6,0.0,ok,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
2048,2048,3072,17,64x128x256,32x32,2x1,intrawave_v1,0,66.281,388.8,0.0,ok,a8w8_blockscale_1x128x128_256x64x128x256_16x16_32x32_2x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
2048,2048,3072,18,64x64x256,32x32,1x1,intrawave_v1,0,50.982,505.5,0.0,ok,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
