run_order,campaign_id,shape_id,arm_id,start_kind,M,N,K,source_kernel_id,oracle_kernel_id,prior_origami_speedup,returncode,elapsed_sec,experiment_id,baseline_ms,best_ms,improved,speedup_from_start,final_over_oracle,iterations_recorded,kept_iterations,source_guard_ok,initial_template_name,final_slot0_sha256,final_slot0
1,s01-v,s01,v,default,10,4352,2304,7,8,1.1283901468,0,3845.155,be9857ee,0.0154,0.0154,False,1.0,0.9579497387409803,0,0,True,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,45a8e260d75fe17f910454dfea0c2768ab6487cdf7abff7c96c72d692ebe7d6d,"0:   KernelInstance(256,     1,   128,   128,    16,   128,   256,  16,  16,  16,   16,    1,    2,     [16, 16, 1],     [16, 16, 1],           1,           2,                   [1, 16, 1, 16],             [8],     ""Intrawave"",                  1,),"
2,s01-u,s01,u,origami,10,4352,2304,8,8,1.1283901468,0,7074.329,32fb4e59,0.016,0.0155,True,1.032258064516129,0.9641701915899478,1,1,True,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4a0b1773dd93780f09cd5b643f246453d82dc2054ad825f96eebd13bd0c1d1a6,"0:   KernelInstance(256,     1,   128,   128,    32,    32,   128,  16,  16,  16,   16,    1,    1,     [ 8, 32, 1],     [ 8, 32, 1],           1,           1,                   [1, 32, 1,  8],             [4],     ""Intrawave"",                  3,),"
3,s02-u,s02,u,origami,55,2112,768,8,18,1.014300572,0,5382.079,c6268dfe,0.0144,0.0144,False,1.0,,1,0,True,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,51032fef6bdfd339aa7c23b603bd5367a91e686e54a9783b151d18b4f7eab3be,"0:   KernelInstance(256,     1,   128,   128,    16,    64,   256,  16,  16,  16,   16,    1,    1,     [16, 16, 1],     [16, 16, 1],           1,           1,                   [1, 16, 1, 16],             [4],     ""Intrawave"",                  1,),"
4,s02-v,s02,v,default,55,2112,768,7,18,1.014300572,0,6722.483,107813d6,0.0145,0.0145,False,1.0,,1,0,True,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,45a8e260d75fe17f910454dfea0c2768ab6487cdf7abff7c96c72d692ebe7d6d,"0:   KernelInstance(256,     1,   128,   128,    16,   128,   256,  16,  16,  16,   16,    1,    2,     [16, 16, 1],     [16, 16, 1],           1,           2,                   [1, 16, 1, 16],             [8],     ""Intrawave"",                  1,),"
5,s03-v,s03,v,default,86,20480,2048,7,3,1.2213865958,0,4002.876,dda51b4e,0.0328,0.0236,True,1.3898305084745763,,2,2,True,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,f1c23e2bba63db9b7dbb986086fd1987fb9dfb5b58192bf7c51fe8a7259d94f5,"0:   KernelInstance(256,     1,   128,   128,    32,   128,   128,  16,  16,  16,   16,    2,    2,     [ 8, 32, 1],     [ 8, 32, 1],           2,           2,                   [1, 16, 1, 16],             [8],     ""Intrawave"",                  3,),"
6,s03-u,s03,u,origami,86,20480,2048,9,3,1.2213865958,0,6706.545,a60dfbe1,0.0264,0.0216,True,1.222222222222222,,2,2,True,a8w8_blockscale_1x128x128_256x32x256x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1,126a8fcf3a995b875ae13cf469c5a445a1dfe2f37f1941ef95835ae11cc14a45,"0:   KernelInstance(256,     1,   128,   128,    32,   128,   128,  16,  16,  32,   32,    1,    1,     [ 8, 32, 1],     [ 8, 32, 1],           1,           1,                   [1, 32, 1,  8],             [8],     ""Intrawave"",                  3,),"
7,s04-u,s04,u,origami,887,4352,2304,0,0,2.0575241754,0,5669.951,cbb31a63,0.0266,0.0266,False,1.0,0.8809113789905947,1,0,True,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,532fa30d962dea52c9f07ec435dfc07ed973415dde42856931987b083587d688,"0:   KernelInstance(256,     1,   128,   128,   128,   128,   128,  16,  16,  32,   32,    2,    2,     [ 8, 32, 1],     [ 8, 32, 1],           1,           1,                   [1, 32, 1,  8],             [8],     ""Intrawave"",                  3,),"
8,s04-v,s04,v,default,887,4352,2304,7,0,2.0575241754,0,5727.282,f303641f,0.0617,0.0268,True,2.3022388059701493,0.8875347728175917,2,1,True,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,532fa30d962dea52c9f07ec435dfc07ed973415dde42856931987b083587d688,"0:   KernelInstance(256,     1,   128,   128,   128,   128,   128,  16,  16,  32,   32,    2,    2,     [ 8, 32, 1],     [ 8, 32, 1],           1,           1,                   [1, 32, 1,  8],             [8],     ""Intrawave"",                  3,),"
9,s05-v,s05,v,default,1741,4352,2304,7,0,2.478495973,0,5767.803,95b13c5f,0.1159,0.0402,True,2.883084577114428,0.9172009400168838,1,1,True,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,532fa30d962dea52c9f07ec435dfc07ed973415dde42856931987b083587d688,"0:   KernelInstance(256,     1,   128,   128,   128,   128,   128,  16,  16,  32,   32,    2,    2,     [ 8, 32, 1],     [ 8, 32, 1],           1,           1,                   [1, 32, 1,  8],             [8],     ""Intrawave"",                  3,),"
10,s05-u,s05,u,origami,1741,4352,2304,0,0,2.478495973,0,5743.156,ba2be22d,0.0402,0.0402,False,1.0,0.9172009400168838,1,0,True,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,532fa30d962dea52c9f07ec435dfc07ed973415dde42856931987b083587d688,"0:   KernelInstance(256,     1,   128,   128,   128,   128,   128,  16,  16,  32,   32,    2,    2,     [ 8, 32, 1],     [ 8, 32, 1],           1,           1,                   [1, 32, 1,  8],             [8],     ""Intrawave"",                  3,),"
