campaign_id,shape_id,start_kind,M,N,K,rounds,median_ms,min_ms,max_ms
s01-v,s01,default,10,4352,2304,3,0.01624,0.01526,0.0168805
s01-u,s01,origami,10,4352,2304,3,0.0156405,0.01546,0.01568
s02-u,s02,origami,55,2112,768,3,0.01464,0.0144605,0.01486
s02-v,s02,default,55,2112,768,3,0.01442,0.0142,0.01448
s03-v,s03,default,86,20480,2048,3,0.02324,0.0232,0.02352
s03-u,s03,origami,86,20480,2048,3,0.02132,0.02124,0.02136
s04-u,s04,origami,887,4352,2304,3,0.0265005,0.0262005,0.0266
s04-v,s04,default,887,4352,2304,3,0.0264205,0.0264,0.02644
s05-v,s05,default,1741,4352,2304,3,0.041161,0.04108,0.0429805
s05-u,s05,origami,1741,4352,2304,3,0.0415605,0.04132,0.04186
s06-u,s06,origami,19048,2112,768,3,0.0866005,0.0865805,0.087061
s06-v,s06,default,19048,2112,768,3,0.085821,0.085601,0.088541
