family,gfx,M,N,K,q_dtype_w,prod_us,prod_tflops,prod_bw,prod_status,origami_kernelId,origami_kernelName,origami_splitK,origami_us,origami_tflops,origami_status,origami_err_ratio,origami_correct,winner,origami_speedup_vs_prod,sweep_best_kernelId,sweep_best_kernelName,sweep_best_us,sweep_best_tflops,sweep_status
a8w8,gfx950,12,100,5120,torch.int8,13.7069,0.9,42.01,ok,58,a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_intrawave_v2,0,11.4389,1.07,ok,0.0,True,origami,1.198,,,,,
a8w8,gfx950,20000,100,5120,torch.int8,,,,error:RuntimeError:This GEMM is not supported!,52,a8w8_rowwise_256x256x16x128_16x16_4x1_8x32x1_8x16x1_1x32x1x8_2x2x1_1x1_intrawave_v2,0,106.0342,193.15,check_error:RuntimeError:This GEMM is not supported!,,False,,,,,,,
a8w8,gfx950,80,128,128,torch.int8,13.1016,0.2,3.6,ok,,,,,,error:RuntimeError:This GEMM is not supported!,,,,,,,,,
a8w8,gfx950,1234,128,3200,torch.int8,69.8814,14.47,66.89,ok,56,a8w8_rowwise_128x64x16x128_16x16_2x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_intrawave_v2,0,9.8002,103.15,ok,0.0,True,origami,7.131,,,,,
a8w8,gfx950,3072,128,4096,torch.int8,84.159,38.28,165.09,ok,54,a8w8_rowwise_128x128x16x128_16x16_4x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_intrawave_v2,0,16.1523,199.43,ok,0.0,True,origami,5.21,,,,,
a8w8,gfx950,20,128,6400,torch.float8_e4m3fn,14.1376,2.32,67.36,ok,58,a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_intrawave_v2,0,14.639,2.24,ok,0.0,True,prod_default,0.966,,,,,
a8w8,gfx950,24,128,6400,torch.int8,13.7363,2.86,71.27,ok,58,a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_intrawave_v2,0,13.8803,2.83,ok,0.0,True,prod_default,0.99,,,,,
a8w8,gfx950,32,128,6400,torch.int8,13.8323,3.79,74.62,ok,58,a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_intrawave_v2,0,10.3829,5.05,ok,0.0,True,origami,1.332,,,,,
a8w8,gfx950,896,128,6400,torch.float8_e4m3fn,26.7739,54.83,253.34,ok,56,a8w8_rowwise_128x64x16x128_16x16_2x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_intrawave_v2,0,12.8696,114.07,ok,0.0,True,origami,2.08,,,,,
a8w8,gfx950,10,128,16384,torch.float8_e4m3fn,25.6232,1.64,88.34,ok,58,a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_intrawave_v2,0,33.47,1.25,ok,0.0,True,prod_default,0.766,,,,,
a8w8,gfx950,384,192,640,torch.float8_e4m3fn,13.8349,6.82,37.3,ok,48,a8w8_rowwise_128x32x16x128_16x16_1x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_intrawave_v1,0,8.9589,10.53,ok,0.0,True,origami,1.544,,,,,
a8w8,gfx950,96,192,28672,torch.int8,112.101,9.43,73.99,ok,61,a8w8_rowwise_128x16x64x128_16x16_1x2_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v2,0,65.1707,16.22,ok,0.0,True,origami,1.72,,,,,
a8w8,gfx950,48,200,5120,torch.int8,13.2749,7.41,97.1,ok,49,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v1,0,10.4309,9.42,ok,0.0,True,origami,1.273,,,,,
a8w8,gfx950,1536,200,5120,torch.float8_e4m3fn,13.7123,229.41,693.01,ok,30,a8w8_rowwise_256x32x64x512_16x16_1x2_32x8x1_32x8x1_1x32x1x8_8x8x1_1x2_intrawave_v3,0,12.1536,258.83,ok,0.0,True,origami,1.128,,,,,
a8w8,gfx950,20,256,128,torch.float8_e4m3fn,13.5603,0.1,3.36,ok,,,,,,error:RuntimeError:This GEMM is not supported!,,,,,,,,,
a8w8,gfx950,8,256,256,torch.int8,13.5909,0.08,5.27,ok,,,,,,error:RuntimeError:This GEMM is not supported!,,,,,,,,,
a8w8,gfx950,15,256,640,torch.int8,12.9723,0.38,13.96,ok,58,a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_intrawave_v2,0,9.2468,0.53,ok,0.0,True,origami,1.403,,,,,
a8w8,gfx950,768,256,640,torch.int8,13.3523,18.85,78.53,ok,56,a8w8_rowwise_128x64x16x128_16x16_2x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_intrawave_v2,0,9.2269,27.27,ok,0.0,True,origami,1.447,,,,,
a8w8,gfx950,10240,256,768,torch.int8,13.5056,298.14,985.06,ok,22,a8w8_rowwise_256x64x96x256_16x16_2x3_16x16x1_16x16x1_1x64x1x4_8x8x1_2x1_intrawave_v3,0,10.5242,382.6,ok,0.0,True,origami,1.283,,,,,
a8w8,gfx950,9,384,128,torch.int8,13.1669,0.07,4.35,ok,,,,,,error:RuntimeError:This GEMM is not supported!,,,,,,,,,
a8w8,gfx950,160,384,128,torch.int8,13.2536,1.19,14.53,ok,,,,,,error:RuntimeError:This GEMM is not supported!,,,,,,,,,
a8w8,gfx950,1280,384,128,torch.int8,13.2336,9.51,90.38,ok,,,,,,error:RuntimeError:This GEMM is not supported!,,,,,,,,,
a8w8,gfx950,80,384,2048,torch.int8,14.3763,8.75,70.37,ok,34,a8w8_rowwise_256x16x64x512_16x16_1x1_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v3,0,9.2375,13.62,ok,0.0,True,origami,1.556,,,,,
a8w8,gfx950,2,768,256,torch.int8,13.8603,0.06,14.44,ok,,,,,,error:RuntimeError:This GEMM is not supported!,,,,,,,,,
