family,gfx,M,N,K,q_dtype_w,prod_us,prod_tflops,prod_bw,prod_status,origami_kernelId,origami_kernelName,origami_splitK,origami_us,origami_tflops,origami_status,origami_err_ratio,origami_correct,winner,origami_speedup_vs_prod,sweep_best_kernelId,sweep_best_kernelName,sweep_best_us,sweep_best_tflops,sweep_status
a8w8_blockscale,gfx950,112,64,256,,11.3656,0.32,5.23,ok,6,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,0,6.9495,0.53,ok,0.0,True,origami,1.635,,,,,
a8w8_blockscale,gfx950,32,64,3200,,19.5417,0.67,15.93,ok,6,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,0,8.3175,1.58,ok,0.0,True,origami,2.349,,,,,
a8w8_blockscale,gfx950,7,64,7168,,22.0178,0.29,23.16,ok,,,,,,no_pick,,,,,,,,,
a8w8_blockscale,gfx950,48,64,12800,,66.5801,1.18,21.62,ok,6,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,0,27.1699,2.89,ok,0.0,True,origami,2.451,,,,,
a8w8_blockscale,gfx950,3,128,512,,11.0456,0.04,6.14,ok,,,,,,no_pick,,,,,,,,,
a8w8_blockscale,gfx950,33,128,512,,10.9762,0.39,8.28,ok,8,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0,6.9721,0.62,ok,0.0,True,origami,1.574,,,,,
a8w8_blockscale,gfx950,48,128,512,,10.9909,0.57,9.32,ok,8,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0,7.0868,0.89,ok,0.0,True,origami,1.551,,,,,
a8w8_blockscale,gfx950,256,128,512,,11.4816,2.92,22.83,ok,8,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0,7.1188,4.71,ok,0.0,True,origami,1.613,,,,,
a8w8_blockscale,gfx950,14,128,7168,,22.4285,1.15,45.54,ok,,,,,,no_pick,,,,,,,,,
a8w8_blockscale,gfx950,1280,256,512,,10.8349,30.97,133.07,ok,13,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,0,6.7922,49.4,ok,0.0,True,origami,1.595,,,,,
a8w8_blockscale,gfx950,17,256,4352,,17.275,2.19,69.28,ok,,,,,,no_pick,,,,,,,,,
a8w8_blockscale,gfx950,384,256,18432,,64.1654,56.48,186.91,ok,18,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,0,63.8387,56.77,ok,0.0,True,origami,1.005,,,,,
a8w8_blockscale,gfx950,6144,512,5120,,93.5207,344.44,431.67,ok,0,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,0,36.5128,882.22,ok,0.0,True,origami,2.561,,,,,
a8w8_blockscale,gfx950,3,512,7168,,22.1191,1.0,167.03,ok,,,,,,no_pick,,,,,,,,,
a8w8_blockscale,gfx950,896,512,7168,,27.2659,241.2,403.8,ok,18,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,0,26.6259,247.0,ok,0.0,True,origami,1.024,,,,,
a8w8_blockscale,gfx950,192,576,1536,,10.8856,31.21,128.69,ok,8,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0,7.1588,47.46,ok,0.0,True,origami,1.521,,,,,
a8w8_blockscale,gfx950,10,768,1280,,11.5602,1.7,87.47,ok,,,,,,no_pick,,,,,,,,,
a8w8_blockscale,gfx950,20,768,1280,,10.7696,3.65,96.51,ok,,,,,,no_pick,,,,,,,,,
a8w8_blockscale,gfx950,10,768,7168,,26.5432,4.15,210.68,ok,,,,,,no_pick,,,,,,,,,
a8w8_blockscale,gfx950,3,1024,18432,,64.6934,1.75,292.7,ok,,,,,,no_pick,,,,,,,,,
a8w8_blockscale,gfx950,64,1024,18432,,64.1147,37.68,314.83,ok,7,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,0,63.888,37.81,ok,0.0,True,origami,1.004,,,,,
a8w8_blockscale,gfx950,3072,1024,18432,,321.2909,360.93,254.56,ok,0,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,0,105.8823,1095.22,ok,0.0,True,origami,3.034,,,,,
a8w8_blockscale,gfx950,15,1280,4096,,13.455,11.69,397.08,ok,,,,,,no_pick,,,,,,,,,
a8w8_blockscale,gfx950,11,1280,8192,,29.614,7.79,358.08,ok,,,,,,no_pick,,,,,,,,,
a8w8_blockscale,gfx950,320,1280,8192,,29.7326,225.71,468.39,ok,18,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,0,29.2433,229.48,ok,0.0,True,origami,1.017,,,,,
a8w8_blockscale,gfx950,384,1536,256,,11.0376,27.36,151.41,ok,,,,,,error:RuntimeError:This GEMM is not supported!,,,,,,,,,
a8w8_blockscale,gfx950,2048,1536,4352,,79.8644,342.84,274.08,ok,0,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,0,29.3513,932.85,ok,0.0,True,origami,2.721,,,,,
a8w8_blockscale,gfx950,777,1536,7168,,51.0971,334.85,371.19,ok,17,a8w8_blockscale_1x128x128_256x64x128x256_16x16_32x32_2x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,0,159.1074,107.54,ok,0.0,True,prod_default,0.321,,,,,
a8w8_blockscale,gfx950,20,2048,128,,11.1136,0.94,31.19,ok,,,,,,no_pick,,,,,,,,,
a8w8_blockscale,gfx950,17,2048,512,,11.1042,3.21,101.48,ok,,,,,,no_pick,,,,,,,,,
a8w8_blockscale,gfx950,9,2048,1024,,10.8696,3.47,197.18,ok,,,,,,no_pick,,,,,,,,,
a8w8_blockscale,gfx950,40,2048,1024,,11.0042,15.25,209.19,ok,8,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0,6.8388,24.53,ok,0.0,True,origami,1.609,,,,,
