family,gfx,M,N,K,q_dtype_w,prod_us,prod_tflops,prod_bw,prod_status,origami_kernelId,origami_kernelName,origami_splitK,origami_us,origami_tflops,origami_status,origami_err_ratio,origami_correct,winner,origami_speedup_vs_prod,sweep_best_kernelId,sweep_best_kernelName,sweep_best_us,sweep_best_tflops,sweep_status
a8w8_blockscale_bpreshuffle,gfx950,17,128,1536,,12.5669,0.53,18.07,ok,,,,,,no_pick,,,,,,,,,
a8w8_blockscale_bpreshuffle,gfx950,96,128,6144,,21.6311,6.98,64.76,ok,7,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0,8.7348,17.29,ok,0.00863,True,origami,2.476,,,,,
a8w8_blockscale_bpreshuffle,gfx950,3072,128,6144,,19.7844,244.22,1033.5,ok,,,,,,no_pick,,,,,,,,,
a8w8_blockscale_bpreshuffle,gfx950,1000,256,512,,12.4549,21.05,92.74,ok,7,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0,9.3842,27.93,ok,0.01298,True,origami,1.327,,,,,
a8w8_blockscale_bpreshuffle,gfx950,80,256,1024,,13.1909,3.18,29.19,ok,7,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0,9.1029,4.61,ok,0.00859,True,origami,1.449,,,,,
a8w8_blockscale_bpreshuffle,gfx950,224,256,1024,,13.047,9.0,46.46,ok,7,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0,9.2922,12.64,ok,0.01261,True,origami,1.404,,,,,
a8w8_blockscale_bpreshuffle,gfx950,320,256,1024,,13.0403,12.87,57.8,ok,7,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0,9.1482,18.34,ok,0.01454,True,origami,1.425,,,,,
a8w8_blockscale_bpreshuffle,gfx950,2560,256,1024,,12.9963,103.27,322.73,ok,17,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,0,8.6042,155.99,ok,0.00976,True,origami,1.51,,,,,
a8w8_blockscale_bpreshuffle,gfx950,448,256,1280,,12.6176,23.27,89.6,ok,7,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0,9.6349,30.47,ok,0.01047,True,origami,1.31,,,,,
a8w8_blockscale_bpreshuffle,gfx950,4,512,384,,13.223,0.12,15.29,ok,,,,,,no_pick,,,,,,,,,
a8w8_blockscale_bpreshuffle,gfx950,20,512,2048,,12.8243,3.27,86.56,ok,,,,,,no_pick,,,,,,,,,
a8w8_blockscale_bpreshuffle,gfx950,2,768,16384,,49.209,1.02,256.43,ok,,,,,,no_pick,,,,,,,,,
a8w8_blockscale_bpreshuffle,gfx950,6000,768,16384,,175.8238,858.79,683.09,ok,16,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,0,481.089,313.86,ok,0.01976,True,prod_default,0.365,,,,,
a8w8_blockscale_bpreshuffle,gfx950,640,1024,256,,13.0536,25.71,133.04,ok,,,,,,error:RuntimeError:This GEMM is not supported!,,,,,,,,,
a8w8_blockscale_bpreshuffle,gfx950,5120,1024,256,,12.7509,210.52,945.71,ok,,,,,,error:RuntimeError:This GEMM is not supported!,,,,,,,,,
a8w8_blockscale_bpreshuffle,gfx950,12,1024,1024,,12.5149,2.01,86.73,ok,,,,,,no_pick,,,,,,,,,
