family,M,N,K,q_dtype_w,prod_default_us,prod_default_tflops,origami_kernelId,origami_us,origami_tflops,origami_correct,origami_err_ratio,origami_pred_cycles,winner,origami_speedup_vs_prod,sweep_best_us,origami_frac_of_oracle
a8w8_blockscale_bpreshuffle,17,128,1536,,12.5669,0.53,,,,,,,,,,
a8w8_blockscale_bpreshuffle,96,128,6144,,21.6311,6.98,7,8.7348,17.29,True,0.00863,20519.24,origami,2.476,,
a8w8_blockscale_bpreshuffle,3072,128,6144,,19.7844,244.22,,,,,,,,,,
a8w8_blockscale_bpreshuffle,1000,256,512,,12.4549,21.05,7,9.3842,27.93,True,0.01298,2683.14,origami,1.327,,
a8w8_blockscale_bpreshuffle,80,256,1024,,13.1909,3.18,7,9.1029,4.61,True,0.00859,4845.39,origami,1.449,,
a8w8_blockscale_bpreshuffle,224,256,1024,,13.047,9.0,7,9.2922,12.64,True,0.01261,4878.08,origami,1.404,,
a8w8_blockscale_bpreshuffle,320,256,1024,,13.0403,12.87,7,9.1482,18.34,True,0.01454,4873.02,origami,1.425,,
a8w8_blockscale_bpreshuffle,2560,256,1024,,12.9963,103.27,17,8.6042,155.99,True,0.00976,7965.02,origami,1.51,,
a8w8_blockscale_bpreshuffle,448,256,1280,,12.6176,23.27,7,9.6349,30.47,True,0.01047,6068.47,origami,1.31,,
a8w8_blockscale_bpreshuffle,4,512,384,,13.223,0.12,,,,,,,,,,
a8w8_blockscale_bpreshuffle,20,512,2048,,12.8243,3.27,,,,,,,,,,
a8w8_blockscale_bpreshuffle,2,768,16384,,49.209,1.02,,,,,,,,,,
a8w8_blockscale_bpreshuffle,6000,768,16384,,175.8238,858.79,16,481.089,313.86,True,0.01976,421767.28,prod_default,0.365,,
a8w8_blockscale_bpreshuffle,640,1024,256,,13.0536,25.71,,,,,,3234.38,,,,
a8w8_blockscale_bpreshuffle,5120,1024,256,,12.7509,210.52,,,,,,17170.73,,,,
a8w8_blockscale_bpreshuffle,12,1024,1024,,12.5149,2.01,,,,,,,,,,
a8w8_blockscale_bpreshuffle,2560,1024,2048,,16.435,653.33,0,19.6124,547.48,True,0.01343,31000.15,prod_default,0.838,,
a8w8_blockscale_bpreshuffle,3,1024,2304,,12.5856,1.12,,,,,,,,,,
a8w8_blockscale_bpreshuffle,112,1024,4096,,15.7017,59.84,7,8.8295,106.41,True,0.00606,16814.36,origami,1.778,,
a8w8_blockscale_bpreshuffle,11,1152,3072,,12.7763,6.09,,,,,,,,,,
a8w8_blockscale_bpreshuffle,256,1152,3072,,12.8243,141.29,12,8.6375,209.78,True,0.01244,16427.33,origami,1.485,,
a8w8_blockscale_bpreshuffle,768,1152,3072,,13.0003,418.13,17,10.9642,495.78,True,0.01243,20817.76,origami,1.186,,
a8w8_blockscale_bpreshuffle,1,1152,8192,,26.1872,0.72,,,,,,,,,,
a8w8_blockscale_bpreshuffle,6144,1280,2304,,38.9928,929.37,0,32.6287,1110.64,True,0.01214,70095.48,origami,1.195,,
a8w8_blockscale_bpreshuffle,13,1280,4096,,13.0696,10.43,,,,,,,,,,
a8w8_blockscale_bpreshuffle,5,1536,7168,,12.4829,8.82,,,,,,,,,,
a8w8_blockscale_bpreshuffle,40,2048,256,,12.5029,3.35,5,8.6909,4.83,True,0.0,1871.72,origami,1.439,,
a8w8_blockscale_bpreshuffle,28,2048,384,,12.5963,3.5,,,,,,,,,,
a8w8_blockscale_bpreshuffle,256,2048,384,,12.5709,32.03,10,9.0282,44.6,True,0.0,3266.64,origami,1.392,,
a8w8_blockscale_bpreshuffle,5,2048,512,,12.991,0.81,,,,,,,,,,
a8w8_blockscale_bpreshuffle,80,2048,512,,12.5749,13.34,7,9.2375,18.16,True,0.00974,2585.29,origami,1.361,,
a8w8_blockscale_bpreshuffle,5120,2048,512,,20.8898,514.0,0,22.8005,470.93,True,0.01112,38548.67,prod_default,0.916,,
a8w8_blockscale_bpreshuffle,28,2048,1024,,13.1176,8.95,,,,,,,,,,
a8w8_blockscale_bpreshuffle,40,2048,1024,,12.7763,13.13,7,9.2269,18.18,True,0.0,5548.1,origami,1.385,,
a8w8_blockscale_bpreshuffle,48,2048,1024,,13.1443,15.32,7,9.0282,22.3,True,0.0,4901.59,origami,1.456,,
a8w8_blockscale_bpreshuffle,12,2048,4096,,15.2937,13.16,,,,,,,,,,
a8w8_blockscale_bpreshuffle,1234,2048,7168,,47.645,760.42,0,167.5956,216.18,True,0.01352,98593.1,prod_default,0.284,,
a8w8_blockscale_bpreshuffle,2,2112,4608,,16.4884,2.36,,,,,,,,,,
a8w8_blockscale_bpreshuffle,10000,2112,8192,,306.2959,1129.72,,,,,,668366.59,,,,
a8w8_blockscale_bpreshuffle,2,2176,6144,,20.2871,2.64,,,,,,,,,,
a8w8_blockscale_bpreshuffle,128,2176,6144,,17.2804,198.06,11,14.471,236.51,True,0.01012,28266.73,origami,1.194,,
a8w8_blockscale_bpreshuffle,10,2176,7168,,23.4605,13.3,,,,,,,,,,
a8w8_blockscale_bpreshuffle,777,2176,7168,,37.2555,650.61,16,91.7113,264.29,True,0.01039,66984.19,prod_default,0.406,,
a8w8_blockscale_bpreshuffle,24576,2176,16384,,1668.7784,1050.08,0,1132.0777,1547.9,True,0.01777,2723006.56,origami,1.474,,
a8w8_blockscale_bpreshuffle,1536,2240,16384,,126.104,894.05,,,,,,213241.21,,,,
a8w8_blockscale_bpreshuffle,32,2304,6144,,24.9765,36.27,,,,,,,,,,
a8w8_blockscale_bpreshuffle,256,2304,6144,,20.3484,356.18,17,19.0417,380.62,True,0.00919,39636.47,origami,1.069,,
a8w8_blockscale_bpreshuffle,11,2560,8192,,29.5873,15.59,,,,,,,,,,
a8w8_blockscale_bpreshuffle,32,2560,8192,,29.1899,45.98,,,,,,,,,,
a8w8_blockscale_bpreshuffle,8,2624,2304,,12.7043,7.61,,,,,,,,,,
a8w8_blockscale_bpreshuffle,3072,2624,2304,,39.7582,934.27,,,,,,71067.41,,,,
a8w8_blockscale_bpreshuffle,112,2624,6144,,21.9898,164.23,12,13.1389,274.85,True,0.00578,35165.04,origami,1.674,,
a8w8_blockscale_bpreshuffle,112,3072,1024,,12.9403,54.45,12,8.9642,78.61,True,0.00673,6579.07,origami,1.444,,
a8w8_blockscale_bpreshuffle,777,3072,1024,,13.1549,371.61,0,26.7313,182.87,True,0.00968,20191.56,prod_default,0.492,,
a8w8_blockscale_bpreshuffle,2048,3072,1024,,18.9231,680.91,16,22.3845,575.62,True,0.01218,37091.17,prod_default,0.845,,
a8w8_blockscale_bpreshuffle,11,3072,2048,,13.0749,10.59,,,,,,,,,,
a8w8_blockscale_bpreshuffle,13,3072,2048,,12.6189,12.96,,,,,,,,,,
a8w8_blockscale_bpreshuffle,11,3072,6144,,20.6391,20.12,,,,,,,,,,
a8w8_blockscale_bpreshuffle,2560,3072,6144,,89.1406,1084.09,0,65.9134,1466.12,True,0.01421,165230.56,origami,1.352,,
a8w8_blockscale_bpreshuffle,224,3072,7168,,31.6407,311.78,17,25.3045,389.85,True,0.00736,50688.19,origami,1.25,,
a8w8_blockscale_bpreshuffle,1000,3072,8192,,52.3011,962.34,0,189.168,266.07,True,0.01539,112322.93,prod_default,0.276,,
a8w8_blockscale_bpreshuffle,333,3584,512,,13.0563,93.6,16,8.8349,138.33,True,0.01269,8612.87,origami,1.478,,
a8w8_blockscale_bpreshuffle,10000,3584,512,,57.5546,637.66,0,115.7838,316.97,True,0.01126,120502.09,prod_default,0.497,,
a8w8_blockscale_bpreshuffle,12288,3584,7168,,495.608,1273.91,0,384.9736,1640.01,True,0.01657,1048299.49,origami,1.287,,
a8w8_blockscale_bpreshuffle,4,3584,16384,,62.0293,7.57,,,,,,,,,,
a8w8_blockscale_bpreshuffle,40,4096,512,,12.3883,13.54,7,9.0802,18.48,True,0.0,2955.71,origami,1.364,,
a8w8_blockscale_bpreshuffle,448,4096,1024,,13.0056,288.96,16,10.2095,368.1,True,0.01276,12420.27,origami,1.274,,
a8w8_blockscale_bpreshuffle,11,4096,1280,,12.7923,9.02,,,,,,,,,,
a8w8_blockscale_bpreshuffle,12288,4096,1280,,133.6629,963.99,0,111.5397,1155.18,True,0.01132,268356.77,origami,1.198,,
a8w8_blockscale_bpreshuffle,2560,4096,2048,,37.4955,1145.46,0,42.3422,1014.35,True,0.0,95629.71,prod_default,0.886,,
a8w8_blockscale_bpreshuffle,9,4096,3072,,13.0776,17.32,,,,,,,,,,
a8w8_blockscale_bpreshuffle,160,4096,4096,,14.7563,363.82,17,14.5457,369.09,True,0.0,30819.07,origami,1.014,,
a8w8_blockscale_bpreshuffle,1500,4096,4096,,137.7163,365.47,16,116.6638,431.42,True,0.0,116360.04,origami,1.18,,
a8w8_blockscale_bpreshuffle,2560,4096,4096,,62.3733,1377.18,0,70.8202,1212.92,True,0.0,171737.77,prod_default,0.881,,
a8w8_blockscale_bpreshuffle,8,4096,7168,,23.7152,19.81,,,,,,,,,,
a8w8_blockscale_bpreshuffle,64,4096,7168,,22.2645,168.79,7,11.8416,317.36,True,0.01109,33283.56,origami,1.88,,
a8w8_blockscale_bpreshuffle,192,4096,7168,,24.0005,469.75,17,19.7804,569.97,True,0.00859,46109.05,origami,1.213,,
a8w8_blockscale_bpreshuffle,2048,4096,7168,,103.2329,1164.93,0,75.2683,1597.74,True,0.0144,190599.91,origami,1.372,,
a8w8_blockscale_bpreshuffle,17,4352,2304,,12.7189,26.8,,,,,,,,,,
a8w8_blockscale_bpreshuffle,10,4352,4096,,14.771,24.14,,,,,,,,,,
a8w8_blockscale_bpreshuffle,192,4608,2048,,12.8403,282.23,17,9.1522,395.96,True,0.00994,14475.42,origami,1.403,,
a8w8_blockscale_bpreshuffle,10000,4608,7168,,397.5287,1661.77,0,1786.8018,369.71,True,0.0,1157661.15,prod_default,0.222,,
a8w8_blockscale_bpreshuffle,48,4608,16384,,67.1668,107.91,6,30.594,236.9,True,0.0,65867.95,origami,2.195,,
a8w8_blockscale_bpreshuffle,11,5120,1280,,12.9816,11.11,,,,,,,,,,
