family,gfx,M,N,K,q_dtype_w,available,hardware_source,cu_num,candidates,best_kernelId,best_kernelName,best_BLOCK_M,best_BLOCK_N,best_BLOCK_K,best_waves_per_eu,mi_m,mi_n,mi_k,splitK,pred_latency_cycles,pred_tflops,topk_json,error
a8w8_blockscale_bpreshuffle,gfx950,17,128,1536,,True,device:0,256,aiter,,,,,,,,,,,,,,no config scored
a8w8_blockscale_bpreshuffle,gfx950,96,128,6144,,True,device:0,256,aiter,7,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,16,64,256,2,16,16,128,0,20519.24,16.18913998279915,"[{""kernelId"": 7, ""latency_cycles"": 20519.24, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 12, ""latency_cycles"": 23544.49, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 11, ""latency_cycles"": 23792.75, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 9, ""latency_cycles"": 26904.6, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 6, ""latency_cycles"": 26974.25, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1""}]",
a8w8_blockscale_bpreshuffle,gfx950,3072,128,6144,,True,device:0,256,aiter,,,,,,,,,,,,,,no config scored
a8w8_blockscale_bpreshuffle,gfx950,1000,256,512,,True,device:0,256,aiter,7,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,16,64,256,2,16,16,128,0,2683.14,214.94084704155492,"[{""kernelId"": 7, ""latency_cycles"": 2683.14, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 12, ""latency_cycles"": 3357.82, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 5, ""latency_cycles"": 3477.01, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 10, ""latency_cycles"": 4059.05, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 6, ""latency_cycles"": 4394.72, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1""}]",
a8w8_blockscale_bpreshuffle,gfx950,80,256,1024,,True,device:0,256,aiter,7,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,16,64,256,2,16,16,128,0,4845.39,19.043824208659057,"[{""kernelId"": 7, ""latency_cycles"": 4845.39, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 12, ""latency_cycles"": 6631.0, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 5, ""latency_cycles"": 6640.41, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 6, ""latency_cycles"": 7543.03, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1""}, {""kernelId"": 10, ""latency_cycles"": 8301.78, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1""}]",
a8w8_blockscale_bpreshuffle,gfx950,224,256,1024,,True,device:0,256,aiter,7,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,16,64,256,2,16,16,128,0,4878.08,52.96534384882248,"[{""kernelId"": 7, ""latency_cycles"": 4878.08, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 12, ""latency_cycles"": 5809.27, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 5, ""latency_cycles"": 6673.1, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 10, ""latency_cycles"": 7514.65, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 6, ""latency_cycles"": 7610.66, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1""}]",
a8w8_blockscale_bpreshuffle,gfx950,320,256,1024,,True,device:0,256,aiter,7,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,16,64,256,2,16,16,128,0,4873.02,75.7433112224418,"[{""kernelId"": 7, ""latency_cycles"": 4873.02, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 12, ""latency_cycles"": 5797.1, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 5, ""latency_cycles"": 6668.04, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 10, ""latency_cycles"": 7502.49, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 6, ""latency_cycles"": 7598.49, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1""}]",
a8w8_blockscale_bpreshuffle,gfx950,2560,256,1024,,True,device:0,256,aiter,17,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,64,64,256,2,16,16,128,0,7965.02,370.7198852812335,"[{""kernelId"": 17, ""latency_cycles"": 7965.02, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 2, ""latency_cycles"": 9491.13, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3""}, {""kernelId"": 15, ""latency_cycles"": 9491.13, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 12, ""latency_cycles"": 11978.13, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 7, ""latency_cycles"": 14779.87, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1""}]",
a8w8_blockscale_bpreshuffle,gfx950,448,256,1280,,True,device:0,256,aiter,7,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,16,64,256,2,16,16,128,0,6068.47,106.43917885270237,"[{""kernelId"": 7, ""latency_cycles"": 6068.47, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 12, ""latency_cycles"": 7131.41, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 5, ""latency_cycles"": 8363.49, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 17, ""latency_cycles"": 9237.11, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 10, ""latency_cycles"": 9336.8, ""kernelName"": ""a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1""}]",
a8w8_blockscale_bpreshuffle,gfx950,4,512,384,,True,device:0,256,aiter,,,,,,,,,,,,,,no config scored
