family,M,N,K,q_dtype_w,prod_default_us,prod_default_tflops,origami_kernelId,origami_us,origami_tflops,origami_correct,origami_err_ratio,origami_pred_cycles,winner,origami_speedup_vs_prod,sweep_best_us,origami_frac_of_oracle
a8w8_blockscale,112,64,256,,11.3656,0.32,6,6.9495,0.53,True,0.0,1563.69,origami,1.635,,
a8w8_blockscale,32,64,3200,,19.5417,0.67,6,8.3175,1.58,True,0.0,17596.46,origami,2.349,,
a8w8_blockscale,7,64,7168,,22.0178,0.29,,,,,,,,,,
a8w8_blockscale,48,64,12800,,66.5801,1.18,6,27.1699,2.89,True,0.0,20326.39,origami,2.451,,
a8w8_blockscale,3,128,512,,11.0456,0.04,,,,,,,,,,
a8w8_blockscale,33,128,512,,10.9762,0.39,8,6.9721,0.62,True,0.0,3187.88,origami,1.574,,
a8w8_blockscale,48,128,512,,10.9909,0.57,8,7.0868,0.89,True,0.0,2440.0,origami,1.551,,
a8w8_blockscale,256,128,512,,11.4816,2.92,8,7.1188,4.71,True,0.0,2486.76,origami,1.613,,
a8w8_blockscale,14,128,7168,,22.4285,1.15,,,,,,,,,,
a8w8_blockscale,1280,256,512,,10.8349,30.97,13,6.7922,49.4,True,0.0,3305.56,origami,1.595,,
a8w8_blockscale,17,256,4352,,17.275,2.19,,,,,,,,,,
a8w8_blockscale,384,256,18432,,64.1654,56.48,18,63.8387,56.77,True,0.0,29798.32,origami,1.005,,
a8w8_blockscale,6144,512,5120,,93.5207,344.44,0,36.5128,882.22,True,0.0,68757.55,origami,2.561,,
a8w8_blockscale,3,512,7168,,22.1191,1.0,,,,,,,,,,
a8w8_blockscale,896,512,7168,,27.2659,241.2,18,26.6259,247.0,True,0.0,32110.11,origami,1.024,,
a8w8_blockscale,192,576,1536,,10.8856,31.21,8,7.1588,47.46,True,0.0,7244.79,origami,1.521,,
a8w8_blockscale,10,768,1280,,11.5602,1.7,,,,,,,,,,
a8w8_blockscale,20,768,1280,,10.7696,3.65,,,,,,,,,,
a8w8_blockscale,10,768,7168,,26.5432,4.15,,,,,,,,,,
a8w8_blockscale,3,1024,18432,,64.6934,1.75,,,,,,,,,,
a8w8_blockscale,64,1024,18432,,64.1147,37.68,7,63.888,37.81,True,0.0,29595.35,origami,1.004,,
a8w8_blockscale,3072,1024,18432,,321.2909,360.93,0,105.8823,1095.22,True,0.0,233658.35,origami,3.034,,
a8w8_blockscale,15,1280,4096,,13.455,11.69,,,,,,,,,,
a8w8_blockscale,11,1280,8192,,29.614,7.79,,,,,,,,,,
a8w8_blockscale,320,1280,8192,,29.7326,225.71,18,29.2433,229.48,True,0.0,34877.27,origami,1.017,,
a8w8_blockscale,384,1536,256,,11.0376,27.36,,,,,,3029.98,,,,
a8w8_blockscale,2048,1536,4352,,79.8644,342.84,0,29.3513,932.85,True,0.0,59244.05,origami,2.721,,
a8w8_blockscale,777,1536,7168,,51.0971,334.85,17,159.1074,107.54,True,0.0,66224.6,prod_default,0.321,,
a8w8_blockscale,20,2048,128,,11.1136,0.94,,,,,,,,,,
a8w8_blockscale,17,2048,512,,11.1042,3.21,,,,,,,,,,
a8w8_blockscale,9,2048,1024,,10.8696,3.47,,,,,,,,,,
a8w8_blockscale,40,2048,1024,,11.0042,15.25,8,6.8388,24.53,True,0.0,5548.1,origami,1.609,,
a8w8_blockscale,160,2048,1024,,11.6962,57.38,13,6.9162,97.03,True,0.0,5981.69,origami,1.691,,
a8w8_blockscale,448,2048,1024,,11.2736,166.68,18,6.9975,268.53,True,0.0,7997.4,origami,1.611,,
a8w8_blockscale,896,2048,1024,,14.8283,253.44,17,14.9403,251.54,True,0.0,12091.95,prod_default,0.993,,
