family,gfx,M,N,K,q_dtype_w,available,hardware_source,cu_num,candidates,best_kernelId,best_kernelName,best_BLOCK_M,best_BLOCK_N,best_BLOCK_K,best_waves_per_eu,mi_m,mi_n,mi_k,splitK,pred_latency_cycles,pred_tflops,topk_json,error
a8w8_blockscale,gfx950,112,64,256,,True,device:0,256,aiter,6,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,16,64,128,2,16,16,128,0,1563.69,5.163445165612984,"[{""kernelId"": 6, ""latency_cycles"": 1563.69, ""kernelName"": ""a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 11, ""latency_cycles"": 2259.71, ""kernelName"": ""a8w8_blockscale_1x128x128_256x32x64x128_16x16_16x16_2x1_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 8, ""latency_cycles"": 2447.16, ""kernelName"": ""a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 3, ""latency_cycles"": 3121.01, ""kernelName"": ""a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3""}, {""kernelId"": 16, ""latency_cycles"": 3121.01, ""kernelName"": ""a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1""}]",
a8w8_blockscale,gfx950,32,64,3200,,True,device:0,256,aiter,6,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,16,64,128,2,16,16,128,0,17596.46,1.6387292591186495,"[{""kernelId"": 6, ""latency_cycles"": 17596.46, ""kernelName"": ""a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 11, ""latency_cycles"": 18919.49, ""kernelName"": ""a8w8_blockscale_1x128x128_256x32x64x128_16x16_16x16_2x1_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 8, ""latency_cycles"": 19715.81, ""kernelName"": ""a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 13, ""latency_cycles"": 21800.12, ""kernelName"": ""a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 3, ""latency_cycles"": 25515.14, ""kernelName"": ""a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3""}]",
a8w8_blockscale,gfx950,7,64,7168,,True,device:0,256,aiter,,,,,,,,,,,,,,no config scored
a8w8_blockscale,gfx950,48,64,12800,,True,device:0,256,aiter,6,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,16,64,128,2,16,16,128,0,20326.39,8.511844428625231,"[{""kernelId"": 6, ""latency_cycles"": 20326.39, ""kernelName"": ""a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 11, ""latency_cycles"": 22656.85, ""kernelName"": ""a8w8_blockscale_1x128x128_256x32x64x128_16x16_16x16_2x1_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 3, ""latency_cycles"": 25036.82, ""kernelName"": ""a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3""}, {""kernelId"": 16, ""latency_cycles"": 25036.82, ""kernelName"": ""a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1""}, {""kernelId"": 5, ""latency_cycles"": 28777.91, ""kernelName"": ""a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1""}]",
a8w8_blockscale,gfx950,3,128,512,,True,device:0,256,aiter,,,,,,,,,,,,,,no config scored
a8w8_blockscale,gfx950,33,128,512,,True,device:0,256,aiter,8,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,16,64,256,2,16,16,128,0,3187.88,2.9849995255579294,"[{""kernelId"": 8, ""latency_cycles"": 3187.88, ""kernelName"": ""a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 6, ""latency_cycles"": 3917.37, ""kernelName"": ""a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 13, ""latency_cycles"": 4878.43, ""kernelName"": ""a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 7, ""latency_cycles"": 5329.3, ""kernelName"": ""a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1""}, {""kernelId"": 11, ""latency_cycles"": 5421.28, ""kernelName"": ""a8w8_blockscale_1x128x128_256x32x64x128_16x16_16x16_2x1_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1""}]",
a8w8_blockscale,gfx950,48,128,512,,True,device:0,256,aiter,8,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,16,64,256,2,16,16,128,0,2440.0,5.672622160706845,"[{""kernelId"": 8, ""latency_cycles"": 2440.0, ""kernelName"": ""a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 6, ""latency_cycles"": 3235.02, ""kernelName"": ""a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 13, ""latency_cycles"": 3885.62, ""kernelName"": ""a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 7, ""latency_cycles"": 3983.11, ""kernelName"": ""a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1""}, {""kernelId"": 11, ""latency_cycles"": 4533.34, ""kernelName"": ""a8w8_blockscale_1x128x128_256x32x64x128_16x16_16x16_2x1_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1""}]",
a8w8_blockscale,gfx950,256,128,512,,True,device:0,256,aiter,8,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,16,64,256,2,16,16,128,0,2486.76,29.68510399450109,"[{""kernelId"": 8, ""latency_cycles"": 2486.76, ""kernelName"": ""a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 13, ""latency_cycles"": 3115.55, ""kernelName"": ""a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 6, ""latency_cycles"": 3281.78, ""kernelName"": ""a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1""}, {""kernelId"": 11, ""latency_cycles"": 3820.94, ""kernelName"": ""a8w8_blockscale_1x128x128_256x32x64x128_16x16_16x16_2x1_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 7, ""latency_cycles"": 4102.76, ""kernelName"": ""a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1""}]",
a8w8_blockscale,gfx950,14,128,7168,,True,device:0,256,aiter,,,,,,,,,,,,,,no config scored
a8w8_blockscale,gfx950,1280,256,512,,True,device:0,256,aiter,13,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,32,64,256,2,16,16,128,0,3305.56,223.31999730072883,"[{""kernelId"": 13, ""latency_cycles"": 3305.56, ""kernelName"": ""a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 11, ""latency_cycles"": 4010.94, ""kernelName"": ""a8w8_blockscale_1x128x128_256x32x64x128_16x16_16x16_2x1_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1""}, {""kernelId"": 7, ""latency_cycles"": 4292.76, ""kernelName"": ""a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1""}, {""kernelId"": 18, ""latency_cycles"": 4448.19, ""kernelName"": ""a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1""}, {""kernelId"": 5, ""latency_cycles"": 4911.64, ""kernelName"": ""a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1""}]",
