family,gfx,M,N,K,q_dtype_w,prod_us,prod_tflops,prod_bw,prod_status,origami_kernelId,origami_kernelName,origami_splitK,origami_us,origami_tflops,origami_status,origami_err_ratio,origami_correct,winner,origami_speedup_vs_prod,sweep_best_kernelId,sweep_best_kernelName,sweep_best_us,sweep_best_tflops,sweep_status
a8w8_bpreshuffle,gfx950,64,64,7168,torch.float8_e4m3fn,13.3603,4.4,69.29,ok,8,a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1,0,8.6068,6.82,ok,0.0,True,origami,1.552,,,,,
a8w8_bpreshuffle,gfx950,64,64,16384,torch.float8_e4m3fn,14.0496,9.55,149.85,ok,9,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0,16.6217,8.07,ok,0.0,True,prod_default,0.845,,,,,
a8w8_bpreshuffle,gfx950,320,64,16384,torch.float8_e4m3fn,55.8852,12.01,113.31,ok,76,a8w8_bpreshuffle_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v1,0,21.1418,31.74,ok,0.0,True,origami,2.643,,,,,
a8w8_bpreshuffle,gfx950,2,128,7168,torch.float8_e4m3fn,13.527,0.27,68.93,ok,,,,,,error:RuntimeError:This GEMM is not supported!,,,,,,,,,
a8w8_bpreshuffle,gfx950,2048,128,7168,torch.float8_e4m3fn,14.243,263.86,1131.92,ok,13,a8w8_bpreshuffle_256x64x16x512_16x16_16x16_32x8x1_32x8x1_1x64x1x4_4x4x1_1x1_intrawave_v1,0,10.5096,357.59,ok,0.0,True,origami,1.355,,,,,
a8w8_bpreshuffle,gfx950,7,128,8192,torch.float8_e4m3fn,13.295,1.1,83.32,ok,,,,,,error:RuntimeError:This GEMM is not supported!,,,,,,,,,
a8w8_bpreshuffle,gfx950,15,128,8192,torch.float8_e4m3fn,13.0109,2.42,90.33,ok,,,,,,error:RuntimeError:This GEMM is not supported!,,,,,,,,,
a8w8_bpreshuffle,gfx950,17,128,8192,torch.float8_e4m3fn,13.235,2.69,90.08,ok,,,,,,error:RuntimeError:This GEMM is not supported!,,,,,,,,,
a8w8_bpreshuffle,gfx950,224,128,8192,torch.float8_e4m3fn,13.5389,34.7,217.22,ok,8,a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1,0,8.8162,53.28,ok,0.0,True,origami,1.536,,,,,
a8w8_bpreshuffle,gfx950,224,192,1024,torch.float8_e4m3fn,13.4696,6.54,38.01,ok,,,,,,error:RuntimeError:This GEMM is not supported!,,,,,,,,,
a8w8_bpreshuffle,gfx950,13,384,7168,torch.float8_e4m3fn,13.0656,5.48,218.56,ok,,,,,,error:RuntimeError:This GEMM is not supported!,,,,,,,,,
a8w8_bpreshuffle,gfx950,24,512,4096,torch.float8_e4m3fn,12.9923,7.75,170.87,ok,75,a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1,0,21.6018,4.66,ok,0.0,True,prod_default,0.601,,,,,
