family,M,N,K,q_dtype_w,prod_default_us,prod_default_tflops,origami_kernelId,origami_us,origami_tflops,origami_correct,origami_err_ratio,origami_pred_cycles,winner,origami_speedup_vs_prod,sweep_best_us,origami_frac_of_oracle
a8w8_bpreshuffle,64,64,7168,torch.float8_e4m3fn,13.3603,4.4,8,8.6068,6.82,True,0.0,18453.95,origami,1.552,,
a8w8_bpreshuffle,64,64,16384,torch.float8_e4m3fn,14.0496,9.55,9,16.6217,8.07,True,0.0,18755.79,prod_default,0.845,,
a8w8_bpreshuffle,320,64,16384,torch.float8_e4m3fn,55.8852,12.01,76,21.1418,31.74,True,0.0,21720.68,origami,2.643,,
a8w8_bpreshuffle,2,128,7168,torch.float8_e4m3fn,13.527,0.27,,,,,,202203.26,,,,
a8w8_bpreshuffle,2048,128,7168,torch.float8_e4m3fn,14.243,263.86,13,10.5096,357.59,True,0.0,26693.52,origami,1.355,,
a8w8_bpreshuffle,7,128,8192,torch.float8_e4m3fn,13.295,1.1,,,,,,61894.01,,,,
a8w8_bpreshuffle,15,128,8192,torch.float8_e4m3fn,13.0109,2.42,,,,,,39183.96,,,,
a8w8_bpreshuffle,17,128,8192,torch.float8_e4m3fn,13.235,2.69,,,,,,53978.74,,,,
a8w8_bpreshuffle,224,128,8192,torch.float8_e4m3fn,13.5389,34.7,8,8.8162,53.28,True,0.0,16046.14,origami,1.536,,
a8w8_bpreshuffle,224,192,1024,torch.float8_e4m3fn,13.4696,6.54,,,,,,2731.88,,,,
a8w8_bpreshuffle,13,384,7168,torch.float8_e4m3fn,13.0656,5.48,,,,,,34481.74,,,,
a8w8_bpreshuffle,24,512,4096,torch.float8_e4m3fn,12.9923,7.75,75,21.6018,4.66,True,0.0,30693.12,prod_default,0.601,,
a8w8_bpreshuffle,3333,512,4096,torch.float8_e4m3fn,23.2192,602.07,117,20.7884,672.47,True,0.0,36752.17,origami,1.117,,
a8w8_bpreshuffle,56,512,7168,torch.float8_e4m3fn,13.7003,30.0,10,8.6148,47.71,True,0.0,20201.32,origami,1.59,,
a8w8_bpreshuffle,224,512,7168,torch.float8_e4m3fn,13.0203,126.28,8,8.9575,183.55,True,0.0,18552.97,origami,1.454,,
