family,gfx,M,N,K,q_dtype_w,available,hardware_source,cu_num,candidates,best_kernelId,best_kernelName,best_BLOCK_M,best_BLOCK_N,best_BLOCK_K,best_waves_per_eu,mi_m,mi_n,mi_k,splitK,pred_latency_cycles,pred_tflops,topk_json,error
a8w8_bpreshuffle,gfx950,64,64,7168,torch.float8_e4m3fn,True,device:0,256,aiter,8,a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1,32,16,512,2,16,16,128,0,18453.95,7.000373685777305,"[{""kernelId"": 8, ""latency_cycles"": 18453.95, ""kernelName"": ""a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1""}, {""kernelId"": 10, ""latency_cycles"": 18453.95, ""kernelName"": ""a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1""}, {""kernelId"": 22, ""latency_cycles"": 18453.95, ""kernelName"": ""a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v2""}, {""kernelId"": 24, ""latency_cycles"": 18453.95, ""kernelName"": ""a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2""}, {""kernelId"": 15, ""latency_cycles"": 22191.61, ""kernelName"": ""a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1""}]",
a8w8_bpreshuffle,gfx950,64,64,16384,torch.float8_e4m3fn,True,device:0,256,aiter,9,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,16,32,128,2,16,16,128,0,18755.79,15.743354284279256,"[{""kernelId"": 9, ""latency_cycles"": 18755.79, ""kernelName"": ""a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1""}, {""kernelId"": 23, ""latency_cycles"": 18755.79, ""kernelName"": ""a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v2""}, {""kernelId"": 76, ""latency_cycles"": 20697.0, ""kernelName"": ""a8w8_bpreshuffle_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v1""}, {""kernelId"": 15, ""latency_cycles"": 22173.66, ""kernelName"": ""a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1""}, {""kernelId"": 29, ""latency_cycles"": 22173.66, ""kernelName"": ""a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v2""}]",
a8w8_bpreshuffle,gfx950,320,64,16384,torch.float8_e4m3fn,True,device:0,256,aiter,76,a8w8_bpreshuffle_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v1,32,64,128,2,16,16,128,0,21720.68,67.97185793701595,"[{""kernelId"": 76, ""latency_cycles"": 21720.68, ""kernelName"": ""a8w8_bpreshuffle_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v1""}, {""kernelId"": 15, ""latency_cycles"": 22492.27, ""kernelName"": ""a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1""}, {""kernelId"": 29, ""latency_cycles"": 22492.27, ""kernelName"": ""a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v2""}, {""kernelId"": 108, ""latency_cycles"": 22492.27, ""kernelName"": ""a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1""}, {""kernelId"": 77, ""latency_cycles"": 23611.21, ""kernelName"": ""a8w8_bpreshuffle_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3""}]",
a8w8_bpreshuffle,gfx950,2,128,7168,torch.float8_e4m3fn,True,device:0,256,aiter,75,a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1,16,256,64,2,16,16,128,0,202203.26,0.03993029274225628,"[{""kernelId"": 75, ""latency_cycles"": 202203.26, ""kernelName"": ""a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1""}, {""kernelId"": 73, ""latency_cycles"": 389024.06, ""kernelName"": ""a8w8_bpreshuffle_256x32x256x64_16x16_16x16_4x32x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v1""}, {""kernelId"": 71, ""latency_cycles"": 604052.08, ""kernelName"": ""a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3""}, {""kernelId"": 72, ""latency_cycles"": 764535.77, ""kernelName"": ""a8w8_bpreshuffle_256x64x256x64_16x16_16x16_4x64x1_4x64x1_1x16x1x16_8x8x1_1x2_intrawave_v1""}, {""kernelId"": 74, ""latency_cycles"": 764535.77, ""kernelName"": ""a8w8_bpreshuffle_256x64x256x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v1""}]",
a8w8_bpreshuffle,gfx950,2048,128,7168,torch.float8_e4m3fn,True,device:0,256,aiter,13,a8w8_bpreshuffle_256x64x16x512_16x16_16x16_32x8x1_32x8x1_1x64x1x4_4x4x1_1x1_intrawave_v1,64,16,512,2,16,16,128,0,26693.52,309.7310842073098,"[{""kernelId"": 13, ""latency_cycles"": 26693.52, ""kernelName"": ""a8w8_bpreshuffle_256x64x16x512_16x16_16x16_32x8x1_32x8x1_1x64x1x4_4x4x1_1x1_intrawave_v1""}, {""kernelId"": 14, ""latency_cycles"": 26693.52, ""kernelName"": ""a8w8_bpreshuffle_256x64x16x512_16x16_16x16_32x8x1_32x8x1_1x64x1x4_4x4x1_1x1_intrawave_v1""}, {""kernelId"": 27, ""latency_cycles"": 26693.52, ""kernelName"": ""a8w8_bpreshuffle_256x64x16x512_16x16_16x16_32x8x1_32x8x1_1x64x1x4_4x4x1_1x1_intrawave_v2""}, {""kernelId"": 28, ""latency_cycles"": 26693.52, ""kernelName"": ""a8w8_bpreshuffle_256x64x16x512_16x16_16x16_32x8x1_32x8x1_1x64x1x4_4x4x1_1x1_intrawave_v2""}, {""kernelId"": 8, ""latency_cycles"": 36962.48, ""kernelName"": ""a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1""}]",
a8w8_bpreshuffle,gfx950,7,128,8192,torch.float8_e4m3fn,True,device:0,256,aiter,75,a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1,16,256,64,2,16,16,128,0,61894.01,0.521797482533096,"[{""kernelId"": 75, ""latency_cycles"": 61894.01, ""kernelName"": ""a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1""}, {""kernelId"": 73, ""latency_cycles"": 112224.96, ""kernelName"": ""a8w8_bpreshuffle_256x32x256x64_16x16_16x16_4x32x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v1""}, {""kernelId"": 71, ""latency_cycles"": 186443.48, ""kernelName"": ""a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3""}, {""kernelId"": 72, ""latency_cycles"": 228565.79, ""kernelName"": ""a8w8_bpreshuffle_256x64x256x64_16x16_16x16_4x64x1_4x64x1_1x16x1x16_8x8x1_1x2_intrawave_v1""}, {""kernelId"": 74, ""latency_cycles"": 228565.79, ""kernelName"": ""a8w8_bpreshuffle_256x64x256x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v1""}]",
a8w8_bpreshuffle,gfx950,15,128,8192,torch.float8_e4m3fn,True,device:0,256,aiter,75,a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1,16,256,64,2,16,16,128,0,39183.96,1.7661820783785112,"[{""kernelId"": 75, ""latency_cycles"": 39183.96, ""kernelName"": ""a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1""}, {""kernelId"": 73, ""latency_cycles"": 63034.92, ""kernelName"": ""a8w8_bpreshuffle_256x32x256x64_16x16_16x16_4x32x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v1""}, {""kernelId"": 71, ""latency_cycles"": 97873.95, ""kernelName"": ""a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3""}, {""kernelId"": 72, ""latency_cycles"": 118053.66, ""kernelName"": ""a8w8_bpreshuffle_256x64x256x64_16x16_16x16_4x64x1_4x64x1_1x16x1x16_8x8x1_1x2_intrawave_v1""}, {""kernelId"": 74, ""latency_cycles"": 118053.66, ""kernelName"": ""a8w8_bpreshuffle_256x64x256x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v1""}]",
a8w8_bpreshuffle,gfx950,17,128,8192,torch.float8_e4m3fn,True,device:0,256,aiter,75,a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1,16,256,64,2,16,16,128,0,53978.74,1.4530440032146128,"[{""kernelId"": 75, ""latency_cycles"": 53978.74, ""kernelName"": ""a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1""}, {""kernelId"": 73, ""latency_cycles"": 58138.42, ""kernelName"": ""a8w8_bpreshuffle_256x32x256x64_16x16_16x16_4x32x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v1""}, {""kernelId"": 71, ""latency_cycles"": 88871.28, ""kernelName"": ""a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3""}, {""kernelId"": 72, ""latency_cycles"": 106844.6, ""kernelName"": ""a8w8_bpreshuffle_256x64x256x64_16x16_16x16_4x64x1_4x64x1_1x16x1x16_8x8x1_1x2_intrawave_v1""}, {""kernelId"": 74, ""latency_cycles"": 106844.6, ""kernelName"": ""a8w8_bpreshuffle_256x64x256x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v1""}]",
a8w8_bpreshuffle,gfx950,224,128,8192,torch.float8_e4m3fn,True,device:0,256,aiter,8,a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1,32,16,512,2,16,16,128,0,16046.14,64.40653244898547,"[{""kernelId"": 8, ""latency_cycles"": 16046.14, ""kernelName"": ""a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1""}, {""kernelId"": 10, ""latency_cycles"": 16046.14, ""kernelName"": ""a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1""}, {""kernelId"": 22, ""latency_cycles"": 16046.14, ""kernelName"": ""a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v2""}, {""kernelId"": 24, ""latency_cycles"": 16046.14, ""kernelName"": ""a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2""}, {""kernelId"": 76, ""latency_cycles"": 20531.94, ""kernelName"": ""a8w8_bpreshuffle_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v1""}]",
a8w8_bpreshuffle,gfx950,224,192,1024,torch.float8_e4m3fn,True,device:0,256,aiter,8,a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1,32,16,512,2,16,16,128,0,2731.88,70.9317152948126,"[{""kernelId"": 8, ""latency_cycles"": 2731.88, ""kernelName"": ""a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1""}, {""kernelId"": 10, ""latency_cycles"": 2731.88, ""kernelName"": ""a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1""}, {""kernelId"": 22, ""latency_cycles"": 2731.88, ""kernelName"": ""a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v2""}, {""kernelId"": 24, ""latency_cycles"": 2731.88, ""kernelName"": ""a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2""}, {""kernelId"": 5, ""latency_cycles"": 4278.5, ""kernelName"": ""a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1""}]",
