family,M,N,K,q_dtype_w,prod_default_us,prod_default_tflops,origami_kernelId,origami_us,origami_tflops,origami_correct,origami_err_ratio,origami_pred_cycles,winner,origami_speedup_vs_prod,sweep_best_us,origami_frac_of_oracle
a8w8,12,100,5120,torch.int8,13.7069,0.9,58,11.4389,1.07,True,0.0,19513.34,origami,1.198,,
a8w8,20000,100,5120,torch.int8,,,52,106.0342,193.15,False,,222671.78,,,,
a8w8,80,128,128,torch.int8,13.1016,0.2,,,,,,1103.13,,,,
a8w8,1234,128,3200,torch.int8,69.8814,14.47,56,9.8002,103.15,True,0.0,21386.79,origami,7.131,,
a8w8,3072,128,4096,torch.int8,84.159,38.28,54,16.1523,199.43,True,0.0,36176.2,origami,5.21,,
a8w8,20,128,6400,torch.float8_e4m3fn,14.1376,2.32,58,14.639,2.24,True,0.0,20461.75,prod_default,0.966,,
a8w8,24,128,6400,torch.int8,13.7363,2.86,58,13.8803,2.83,True,0.0,19929.87,prod_default,0.99,,
a8w8,32,128,6400,torch.int8,13.8323,3.79,58,10.3829,5.05,True,0.0,19270.18,origami,1.332,,
a8w8,896,128,6400,torch.float8_e4m3fn,26.7739,54.83,56,12.8696,114.07,True,0.0,28105.01,origami,2.08,,
a8w8,10,128,16384,torch.float8_e4m3fn,25.6232,1.64,58,33.47,1.25,True,0.0,22237.66,prod_default,0.766,,
a8w8,384,192,640,torch.float8_e4m3fn,13.8349,6.82,48,8.9589,10.53,True,0.0,3303.73,origami,1.544,,
a8w8,96,192,28672,torch.int8,112.101,9.43,61,65.1707,16.22,True,0.0,27093.57,origami,1.72,,
a8w8,48,200,5120,torch.int8,13.2749,7.41,49,10.4309,9.42,True,0.0,21045.15,origami,1.273,,
a8w8,1536,200,5120,torch.float8_e4m3fn,13.7123,229.41,30,12.1536,258.83,True,0.0,27348.42,origami,1.128,,
a8w8,20,256,128,torch.float8_e4m3fn,13.5603,0.1,,,,,,1457.06,,,,
a8w8,8,256,256,torch.int8,13.5909,0.08,,,,,,4031.86,,,,
a8w8,15,256,640,torch.int8,12.9723,0.38,58,9.2468,0.53,True,0.0,7698.98,origami,1.403,,
a8w8,768,256,640,torch.int8,13.3523,18.85,56,9.2269,27.27,True,0.0,4278.98,origami,1.447,,
a8w8,10240,256,768,torch.int8,13.5056,298.14,22,10.5242,382.6,True,0.0,19287.7,origami,1.283,,
a8w8,9,384,128,torch.int8,13.1669,0.07,,,,,,1825.15,,,,
a8w8,160,384,128,torch.int8,13.2536,1.19,,,,,,1124.48,,,,
a8w8,1280,384,128,torch.int8,13.2336,9.51,,,,,,2940.85,,,,
a8w8,80,384,2048,torch.int8,14.3763,8.75,34,9.2375,13.62,True,0.0,8225.3,origami,1.556,,
a8w8,2,768,256,torch.int8,13.8603,0.06,,,,,,11920.28,,,,
a8w8,10,768,256,torch.float8_e4m3fn,13.3523,0.29,,,,,,3682.94,,,,
a8w8,8,768,896,torch.int8,13.2909,0.83,58,9.1562,1.2,True,0.0,15030.67,origami,1.452,,
a8w8,5,768,6784,torch.int8,13.6683,3.81,58,14.3296,3.64,True,0.0,48794.97,prod_default,0.954,,
a8w8,24576,768,6784,torch.int8,280.1337,914.16,39,269.1457,951.48,True,0.0,496443.7,origami,1.041,,
a8w8,7,768,19968,torch.int8,32.134,6.68,58,37.7235,5.69,True,0.0,95671.69,prod_default,0.852,,
a8w8,17,768,19968,torch.int8,32.0887,16.25,58,38.0461,13.7,True,0.0,151596.26,prod_default,0.843,,
a8w8,2560,768,19968,torch.int8,361.793,217.02,37,850.6767,92.3,True,0.0,156612.62,prod_default,0.425,,
a8w8,4,800,4096,torch.float8_e4m3fn,13.4149,1.95,58,9.8202,2.67,True,0.0,38061.23,origami,1.366,,
a8w8,10,800,4096,torch.int8,13.3416,4.91,58,9.4749,6.92,True,0.0,26450.52,origami,1.408,,
a8w8,11,800,4096,torch.float8_e4m3fn,13.6523,5.28,58,10.0269,7.19,True,0.0,25754.92,origami,1.362,,
a8w8,17,800,4096,torch.float8_e4m3fn,13.9723,7.97,58,10.2682,10.85,True,0.0,35105.25,origami,1.361,,
a8w8,16384,800,5120,torch.float8_e4m3fn,78.6683,1706.12,2,71.0588,1888.83,True,0.0,133758.3,origami,1.107,,
a8w8,7,800,25600,torch.int8,38.2421,7.5,58,48.1823,5.95,True,0.0,119150.23,prod_default,0.794,,
a8w8,15,1024,768,torch.int8,13.5856,1.74,58,9.2202,2.56,True,0.0,9582.26,origami,1.473,,
a8w8,640,1024,3584,torch.float8_e4m3fn,18.3697,255.73,23,9.5629,491.24,True,0.0,21104.48,origami,1.921,,
