family,gfx,M,N,K,q_dtype_w,available,hardware_source,cu_num,candidates,best_kernelId,best_kernelName,best_BLOCK_M,best_BLOCK_N,best_BLOCK_K,best_waves_per_eu,mi_m,mi_n,mi_k,splitK,pred_latency_cycles,pred_tflops,topk_json,error
a8w8,gfx950,12,100,5120,torch.int8,True,device:0,256,aiter,58,a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_intrawave_v2,16,16,64,2,16,16,32,0,19513.34,1.3853909834423912,"[{""kernelId"": 58, ""latency_cycles"": 19513.34, ""kernelName"": ""a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_intrawave_v2""}, {""kernelId"": 77, ""latency_cycles"": 19513.34, ""kernelName"": ""a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_interwave_v2""}, {""kernelId"": 36, ""latency_cycles"": 438644.74, ""kernelName"": ""a8w8_rowwise_256x128x128x64_32x32_2x2_4x64x1_4x64x1_1x32x1x8_8x8x1_1x1_intrawave_v4""}, {""kernelId"": 38, ""latency_cycles"": 1026915.24, ""kernelName"": ""a8w8_rowwise_256x256x256x64_16x16_8x8_4x64x1_4x64x1_1x32x1x8_8x8x1_1x2_intrawave_v3""}, {""kernelId"": 42, ""latency_cycles"": 1663293.4, ""kernelName"": ""a8w8_rowwise_256x128x256x64_32x32_2x4_4x64x1_4x64x1_1x32x1x8_8x8x1_1x1_interwave_v1""}]",
a8w8,gfx950,20000,100,5120,torch.int8,True,device:0,256,aiter,52,a8w8_rowwise_256x256x16x128_16x16_4x1_8x32x1_8x16x1_1x32x1x8_2x2x1_1x1_intrawave_v2,256,16,128,2,16,16,32,0,222671.78,202.34265989499545,"[{""kernelId"": 52, ""latency_cycles"": 222671.78, ""kernelName"": ""a8w8_rowwise_256x256x16x128_16x16_4x1_8x32x1_8x16x1_1x32x1x8_2x2x1_1x1_intrawave_v2""}, {""kernelId"": 71, ""latency_cycles"": 222671.78, ""kernelName"": ""a8w8_rowwise_256x256x16x128_16x16_4x1_8x32x1_8x16x1_1x32x1x8_2x2x1_1x1_interwave_v2""}, {""kernelId"": 54, ""latency_cycles"": 241181.32, ""kernelName"": ""a8w8_rowwise_128x128x16x128_16x16_4x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_intrawave_v2""}, {""kernelId"": 73, ""latency_cycles"": 241181.32, ""kernelName"": ""a8w8_rowwise_128x128x16x128_16x16_4x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_interwave_v2""}, {""kernelId"": 38, ""latency_cycles"": 286802.55, ""kernelName"": ""a8w8_rowwise_256x256x256x64_16x16_8x8_4x64x1_4x64x1_1x32x1x8_8x8x1_1x2_intrawave_v3""}]",
a8w8,gfx950,80,128,128,torch.int8,True,device:0,256,aiter,58,a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_intrawave_v2,16,16,64,2,16,16,32,0,1103.13,5.22799609856403,"[{""kernelId"": 58, ""latency_cycles"": 1103.13, ""kernelName"": ""a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_intrawave_v2""}, {""kernelId"": 77, ""latency_cycles"": 1103.13, ""kernelName"": ""a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_interwave_v2""}, {""kernelId"": 49, ""latency_cycles"": 1131.68, ""kernelName"": ""a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v1""}, {""kernelId"": 59, ""latency_cycles"": 1131.68, ""kernelName"": ""a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v2""}, {""kernelId"": 68, ""latency_cycles"": 1131.68, ""kernelName"": ""a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_interwave_v1""}]",
a8w8,gfx950,1234,128,3200,torch.int8,True,device:0,256,aiter,56,a8w8_rowwise_128x64x16x128_16x16_2x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_intrawave_v2,64,16,128,2,16,16,32,0,21386.79,103.98776236679495,"[{""kernelId"": 56, ""latency_cycles"": 21386.79, ""kernelName"": ""a8w8_rowwise_128x64x16x128_16x16_2x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_intrawave_v2""}, {""kernelId"": 75, ""latency_cycles"": 21386.79, ""kernelName"": ""a8w8_rowwise_128x64x16x128_16x16_2x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_interwave_v2""}, {""kernelId"": 54, ""latency_cycles"": 26820.03, ""kernelName"": ""a8w8_rowwise_128x128x16x128_16x16_4x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_intrawave_v2""}, {""kernelId"": 73, ""latency_cycles"": 26820.03, ""kernelName"": ""a8w8_rowwise_128x128x16x128_16x16_4x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_interwave_v2""}, {""kernelId"": 52, ""latency_cycles"": 28029.86, ""kernelName"": ""a8w8_rowwise_256x256x16x128_16x16_4x1_8x32x1_8x16x1_1x32x1x8_2x2x1_1x1_intrawave_v2""}]",
a8w8,gfx950,3072,128,4096,torch.int8,True,device:0,256,aiter,54,a8w8_rowwise_128x128x16x128_16x16_4x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_intrawave_v2,128,16,128,2,16,16,32,0,36176.2,195.8938795097154,"[{""kernelId"": 54, ""latency_cycles"": 36176.2, ""kernelName"": ""a8w8_rowwise_128x128x16x128_16x16_4x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_intrawave_v2""}, {""kernelId"": 73, ""latency_cycles"": 36176.2, ""kernelName"": ""a8w8_rowwise_128x128x16x128_16x16_4x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_interwave_v2""}, {""kernelId"": 52, ""latency_cycles"": 36624.55, ""kernelName"": ""a8w8_rowwise_256x256x16x128_16x16_4x1_8x32x1_8x16x1_1x32x1x8_2x2x1_1x1_intrawave_v2""}, {""kernelId"": 71, ""latency_cycles"": 36624.55, ""kernelName"": ""a8w8_rowwise_256x256x16x128_16x16_4x1_8x32x1_8x16x1_1x32x1x8_2x2x1_1x1_interwave_v2""}, {""kernelId"": 55, ""latency_cycles"": 50320.58, ""kernelName"": ""a8w8_rowwise_128x64x32x128_32x32_1x1_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v2""}]",
a8w8,gfx950,20,128,6400,torch.float8_e4m3fn,True,device:0,256,aiter,58,a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_intrawave_v2,16,16,64,2,16,16,128,0,20461.75,3.5231388203210408,"[{""kernelId"": 58, ""latency_cycles"": 20461.75, ""kernelName"": ""a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_intrawave_v2""}, {""kernelId"": 77, ""latency_cycles"": 20461.75, ""kernelName"": ""a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_interwave_v2""}, {""kernelId"": 36, ""latency_cycles"": 84042.54, ""kernelName"": ""a8w8_rowwise_256x128x128x64_32x32_2x2_4x64x1_4x64x1_1x32x1x8_8x8x1_1x1_intrawave_v4""}, {""kernelId"": 43, ""latency_cycles"": 215931.63, ""kernelName"": ""a8w8_rowwise_256x256x128x64_32x32_4x2_4x64x1_4x64x1_1x32x1x8_8x8x1_1x1_interwave_v1""}, {""kernelId"": 42, ""latency_cycles"": 217356.15, ""kernelName"": ""a8w8_rowwise_256x128x256x64_32x32_2x4_4x64x1_4x64x1_1x32x1x8_8x8x1_1x1_interwave_v1""}]",
a8w8,gfx950,24,128,6400,torch.int8,True,device:0,256,aiter,58,a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_intrawave_v2,16,16,64,2,16,16,32,0,19929.87,4.340596834228568,"[{""kernelId"": 58, ""latency_cycles"": 19929.87, ""kernelName"": ""a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_intrawave_v2""}, {""kernelId"": 77, ""latency_cycles"": 19929.87, ""kernelName"": ""a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_interwave_v2""}, {""kernelId"": 49, ""latency_cycles"": 29675.29, ""kernelName"": ""a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v1""}, {""kernelId"": 59, ""latency_cycles"": 29675.29, ""kernelName"": ""a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v2""}, {""kernelId"": 68, ""latency_cycles"": 29675.29, ""kernelName"": ""a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_interwave_v1""}]",
a8w8,gfx950,32,128,6400,torch.int8,True,device:0,256,aiter,58,a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_intrawave_v2,16,16,64,2,16,16,32,0,19270.18,5.985588568312482,"[{""kernelId"": 58, ""latency_cycles"": 19270.18, ""kernelName"": ""a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_intrawave_v2""}, {""kernelId"": 77, ""latency_cycles"": 19270.18, ""kernelName"": ""a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_interwave_v2""}, {""kernelId"": 33, ""latency_cycles"": 27488.7, ""kernelName"": ""a8w8_rowwise_256x16x128x256_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3""}, {""kernelId"": 49, ""latency_cycles"": 28961.76, ""kernelName"": ""a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v1""}, {""kernelId"": 59, ""latency_cycles"": 28961.76, ""kernelName"": ""a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v2""}]",
a8w8,gfx950,896,128,6400,torch.float8_e4m3fn,True,device:0,256,aiter,56,a8w8_rowwise_128x64x16x128_16x16_2x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_intrawave_v2,64,16,128,2,16,16,128,0,28105.01,114.91238716353834,"[{""kernelId"": 56, ""latency_cycles"": 28105.01, ""kernelName"": ""a8w8_rowwise_128x64x16x128_16x16_2x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_intrawave_v2""}, {""kernelId"": 75, ""latency_cycles"": 28105.01, ""kernelName"": ""a8w8_rowwise_128x64x16x128_16x16_2x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_interwave_v2""}, {""kernelId"": 48, ""latency_cycles"": 35139.76, ""kernelName"": ""a8w8_rowwise_128x32x16x128_16x16_1x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_intrawave_v1""}, {""kernelId"": 57, ""latency_cycles"": 35139.76, ""kernelName"": ""a8w8_rowwise_128x32x16x128_16x16_1x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_intrawave_v2""}, {""kernelId"": 67, ""latency_cycles"": 35139.76, ""kernelName"": ""a8w8_rowwise_128x32x16x128_16x16_1x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_interwave_v1""}]",
a8w8,gfx950,10,128,16384,torch.float8_e4m3fn,True,device:0,256,aiter,58,a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_intrawave_v2,16,16,64,2,16,16,128,0,22237.66,4.149477975048093,"[{""kernelId"": 58, ""latency_cycles"": 22237.66, ""kernelName"": ""a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_intrawave_v2""}, {""kernelId"": 77, ""latency_cycles"": 22237.66, ""kernelName"": ""a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_interwave_v2""}, {""kernelId"": 36, ""latency_cycles"": 135595.67, ""kernelName"": ""a8w8_rowwise_256x128x128x64_32x32_2x2_4x64x1_4x64x1_1x32x1x8_8x8x1_1x1_intrawave_v4""}, {""kernelId"": 43, ""latency_cycles"": 370658.7, ""kernelName"": ""a8w8_rowwise_256x256x128x64_32x32_4x2_4x64x1_4x64x1_1x32x1x8_8x8x1_1x1_interwave_v1""}, {""kernelId"": 42, ""latency_cycles"": 372997.73, ""kernelName"": ""a8w8_rowwise_256x128x256x64_32x32_2x4_4x64x1_4x64x1_1x32x1x8_8x8x1_1x1_interwave_v1""}]",
