M,N,K,kernelId,tile_MxNxK,xdl,wave,pipe,splitK,us,tflops,errRatio,status,name
40,2048,1024,0,128x128x128,32x32,2x2,intrawave_v3,1,19.891,8.4,0.00128,ok,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
40,2048,1024,1,128x64x128,32x32,2x1,intrawave_v3,0,16.475,10.2,0.0,ok,a8w8_blockscale_1x128x128_256x128x64x128_16x16_32x32_2x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
40,2048,1024,2,64x128x128,32x32,1x2,intrawave_v3,0,16.547,10.1,0.0,ok,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
40,2048,1024,3,64x64x128,32x32,1x1,intrawave_v3,0,15.47,10.8,0.0,ok,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
40,2048,1024,4,16x256x128,16x16,1x4,intrawave_v1,0,16.171,10.4,0.0,ok,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1
40,2048,1024,5,16x128x128,16x16,1x2,intrawave_v1,0,15.624,10.7,0.0,ok,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1
40,2048,1024,6,16x64x128,16x16,1x1,intrawave_v1,0,15.651,10.7,0.0,ok,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1
40,2048,1024,7,16x128x256,16x16,1x2,intrawave_v1,0,15.547,10.8,0.0,ok,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1
40,2048,1024,8,16x64x256,16x16,1x1,intrawave_v1,0,15.398,10.9,0.0,ok,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1
40,2048,1024,9,32x256x128,32x32,1x2,intrawave_v1,0,20.243,8.3,0.0,ok,a8w8_blockscale_1x128x128_256x32x256x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
40,2048,1024,10,32x128x128,32x32,1x1,intrawave_v1,0,17.907,9.4,0.0,ok,a8w8_blockscale_1x128x128_256x32x128x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
40,2048,1024,11,32x64x128,16x16,2x1,intrawave_v1,0,16.342,10.3,0.0,ok,a8w8_blockscale_1x128x128_256x32x64x128_16x16_16x16_2x1_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1
40,2048,1024,12,32x128x256,32x32,1x1,intrawave_v1,0,16.717,10.0,0.0,ok,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
40,2048,1024,13,32x64x256,16x16,2x1,intrawave_v1,0,15.723,10.7,0.0,ok,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1
40,2048,1024,14,64x256x128,32x32,2x2,intrawave_v1,2,22.819,7.4,0.00169,ok,a8w8_blockscale_1x128x128_256x64x256x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
40,2048,1024,15,64x128x128,32x32,2x1,intrawave_v1,2,20.062,8.4,0.00167,ok,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_2x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
40,2048,1024,16,64x64x128,32x32,1x1,intrawave_v1,0,18.115,9.3,0.0,ok,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
40,2048,1024,17,64x128x256,32x32,2x1,intrawave_v1,2,20.144,8.3,0.00169,ok,a8w8_blockscale_1x128x128_256x64x128x256_16x16_32x32_2x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
40,2048,1024,18,64x64x256,32x32,1x1,intrawave_v1,0,15.509,10.8,0.0,ok,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
160,2048,1024,0,128x128x128,32x32,2x2,intrawave_v3,0,22.022,30.5,0.0,ok,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
160,2048,1024,1,128x64x128,32x32,2x1,intrawave_v3,0,17.75,37.8,0.0,ok,a8w8_blockscale_1x128x128_256x128x64x128_16x16_32x32_2x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
160,2048,1024,2,64x128x128,32x32,1x2,intrawave_v3,0,17.189,39.0,0.0,ok,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
160,2048,1024,3,64x64x128,32x32,1x1,intrawave_v3,0,15.99,42.0,0.0,ok,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
160,2048,1024,4,16x256x128,16x16,1x4,intrawave_v1,0,15.982,42.0,0.0,ok,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1
160,2048,1024,5,16x128x128,16x16,1x2,intrawave_v1,0,15.875,42.3,0.0,ok,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1
160,2048,1024,6,16x64x128,16x16,1x1,intrawave_v1,0,15.614,43.0,0.0,ok,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1
160,2048,1024,7,16x128x256,16x16,1x2,intrawave_v1,0,15.67,42.8,0.0,ok,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1
160,2048,1024,8,16x64x256,16x16,1x1,intrawave_v1,0,15.627,42.9,0.0,ok,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1
160,2048,1024,9,32x256x128,32x32,1x2,intrawave_v1,0,20.336,33.0,0.0,ok,a8w8_blockscale_1x128x128_256x32x256x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
160,2048,1024,10,32x128x128,32x32,1x1,intrawave_v1,0,17.715,37.9,0.0,ok,a8w8_blockscale_1x128x128_256x32x128x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
160,2048,1024,11,32x64x128,16x16,2x1,intrawave_v1,0,16.094,41.7,0.0,ok,a8w8_blockscale_1x128x128_256x32x64x128_16x16_16x16_2x1_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1
160,2048,1024,12,32x128x256,32x32,1x1,intrawave_v1,0,15.824,42.4,0.0,ok,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
160,2048,1024,13,32x64x256,16x16,2x1,intrawave_v1,0,15.782,42.5,0.0,ok,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1
160,2048,1024,14,64x256x128,32x32,2x2,intrawave_v1,0,25.982,25.8,0.0,ok,a8w8_blockscale_1x128x128_256x64x256x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
160,2048,1024,15,64x128x128,32x32,2x1,intrawave_v1,0,21.262,31.6,0.0,ok,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_2x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
160,2048,1024,16,64x64x128,32x32,1x1,intrawave_v1,0,17.768,37.8,0.0,ok,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
160,2048,1024,17,64x128x256,32x32,2x1,intrawave_v1,1,25.75,26.1,0.00128,ok,a8w8_blockscale_1x128x128_256x64x128x256_16x16_32x32_2x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
160,2048,1024,18,64x64x256,32x32,1x1,intrawave_v1,0,16.12,41.6,0.0,ok,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
448,2048,1024,0,128x128x128,32x32,2x2,intrawave_v3,0,21.675,86.7,0.0,ok,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
448,2048,1024,1,128x64x128,32x32,2x1,intrawave_v3,0,18.448,101.9,0.0,ok,a8w8_blockscale_1x128x128_256x128x64x128_16x16_32x32_2x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
448,2048,1024,2,64x128x128,32x32,1x2,intrawave_v3,0,17.07,110.1,0.0,ok,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
448,2048,1024,3,64x64x128,32x32,1x1,intrawave_v3,0,15.987,117.5,0.0,ok,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
448,2048,1024,4,16x256x128,16x16,1x4,intrawave_v1,0,16.928,111.0,0.0,ok,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1
448,2048,1024,5,16x128x128,16x16,1x2,intrawave_v1,0,16.675,112.7,0.0,ok,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1
448,2048,1024,6,16x64x128,16x16,1x1,intrawave_v1,0,18.243,103.0,0.0,ok,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1
448,2048,1024,7,16x128x256,16x16,1x2,intrawave_v1,0,17.184,109.3,0.0,ok,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1
448,2048,1024,8,16x64x256,16x16,1x1,intrawave_v1,0,18.358,102.4,0.0,ok,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1
448,2048,1024,9,32x256x128,32x32,1x2,intrawave_v1,0,20.448,91.9,0.0,ok,a8w8_blockscale_1x128x128_256x32x256x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
448,2048,1024,10,32x128x128,32x32,1x1,intrawave_v1,0,18.443,101.9,0.0,ok,a8w8_blockscale_1x128x128_256x32x128x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
448,2048,1024,11,32x64x128,16x16,2x1,intrawave_v1,0,20.262,92.7,0.0,ok,a8w8_blockscale_1x128x128_256x32x64x128_16x16_16x16_2x1_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1
448,2048,1024,12,32x128x256,32x32,1x1,intrawave_v1,0,15.973,117.6,0.0,ok,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
448,2048,1024,13,32x64x256,16x16,2x1,intrawave_v1,0,16.939,110.9,0.0,ok,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1
