M,N,K,kernelId,tile_MxNxK,xdl,wave,pipe,splitK,us,tflops,errRatio,status,name
64,2048,3072,0,128x128x128,32x32,2x2,intrawave_v3,2,23.547,34.2,0.00159,ok,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
64,2048,3072,1,128x64x128,32x32,2x1,intrawave_v3,2,22.667,35.5,0.00161,ok,a8w8_blockscale_1x128x128_256x128x64x128_16x16_32x32_2x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
64,2048,3072,2,64x128x128,32x32,1x2,intrawave_v3,2,21.416,37.6,0.00161,ok,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
64,2048,3072,3,64x64x128,32x32,1x1,intrawave_v3,1,20.574,39.1,0.00129,ok,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
64,2048,3072,4,16x256x128,16x16,1x4,intrawave_v1,2,21.629,37.2,0.0016,ok,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1
64,2048,3072,5,16x128x128,16x16,1x2,intrawave_v1,2,20.011,40.2,0.00159,ok,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1
64,2048,3072,6,16x64x128,16x16,1x1,intrawave_v1,2,19.099,42.2,0.00158,ok,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1
64,2048,3072,7,16x128x256,16x16,1x2,intrawave_v1,2,20.206,39.9,0.0016,ok,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1
64,2048,3072,8,16x64x256,16x16,1x1,intrawave_v1,2,18.992,42.4,0.00158,ok,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1
64,2048,3072,9,32x256x128,32x32,1x2,intrawave_v1,2,29.048,27.7,0.00162,ok,a8w8_blockscale_1x128x128_256x32x256x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
64,2048,3072,10,32x128x128,32x32,1x1,intrawave_v1,2,27.038,29.8,0.00159,ok,a8w8_blockscale_1x128x128_256x32x128x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
64,2048,3072,11,32x64x128,16x16,2x1,intrawave_v1,2,21.67,37.2,0.00161,ok,a8w8_blockscale_1x128x128_256x32x64x128_16x16_16x16_2x1_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1
64,2048,3072,12,32x128x256,32x32,1x1,intrawave_v1,0,22.867,35.2,0.0,ok,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
64,2048,3072,13,32x64x256,16x16,2x1,intrawave_v1,2,19.758,40.8,0.0016,ok,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1
64,2048,3072,14,64x256x128,32x32,2x2,intrawave_v1,2,29.814,27.0,0.00159,ok,a8w8_blockscale_1x128x128_256x64x256x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
64,2048,3072,15,64x128x128,32x32,2x1,intrawave_v1,2,27.406,29.4,0.0016,ok,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_2x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
64,2048,3072,16,64x64x128,32x32,1x1,intrawave_v1,2,23.496,34.3,0.00158,ok,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
64,2048,3072,17,64x128x256,32x32,2x1,intrawave_v1,2,29.571,27.2,0.00159,ok,a8w8_blockscale_1x128x128_256x64x128x256_16x16_32x32_2x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
64,2048,3072,18,64x64x256,32x32,1x1,intrawave_v1,2,20.622,39.1,0.0016,ok,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
256,2048,3072,0,128x128x128,32x32,2x2,intrawave_v3,1,30.264,106.4,0.00129,ok,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
256,2048,3072,1,128x64x128,32x32,2x1,intrawave_v3,0,27.963,115.2,0.0,ok,a8w8_blockscale_1x128x128_256x128x64x128_16x16_32x32_2x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
