M,N,K,o_kid,hint_mode,o_us,o_rank,o_slow,oracle_kid,oracle_us,csv_kid,csv_us,csv_slow,default_us,default_slow,n_ok
1,2048,3072,6,nt_b,19.18,2,1.0739,8,17.86,8,17.86,1.0,20.328,1.1382,19
1,3072,3072,6,nt_b,19.38,2,1.0667,8,18.168,8,18.168,1.0,20.536,1.1303,19
1,3072,6144,6,nt_b,29.192,2,1.1193,8,26.08,7,31.14,1.194,31.14,1.194,19
1,4096,3072,6,nt_b,19.472,2,1.0794,8,18.04,13,20.144,1.1166,20.108,1.1146,19
1,8192,3072,6,nt_b,20.1,2,1.0839,8,18.544,7,21.008,1.1329,21.008,1.1329,19
2,2048,3072,6,nt_b,19.352,2,1.0763,8,17.98,8,17.98,1.0,20.472,1.1386,19
2,3072,3072,6,nt_b,19.576,2,1.0922,8,17.924,8,17.924,1.0,20.752,1.1578,19
2,3072,6144,8,nt_b,26.068,1,1.0,8,26.068,8,26.068,1.0,30.848,1.1834,19
2,4096,3072,6,nt_b,19.372,2,1.0748,8,18.024,6,19.372,1.0748,20.264,1.1243,19
2,8192,3072,6,nt_b,19.728,2,1.0764,8,18.328,8,18.328,1.0,20.628,1.1255,19
4,2048,3072,6,nt_b,19.28,2,1.0967,8,17.58,8,17.58,1.0,20.484,1.1652,19
4,3072,6144,8,nt_b,26.204,1,1.0,8,26.204,8,26.204,1.0,31.308,1.1948,19
4,4096,3072,6,nt_b,19.484,2,1.0837,8,17.98,6,19.484,1.0837,20.888,1.1617,19
4,8192,3072,6,nt_b,19.884,2,1.0823,8,18.372,13,21.008,1.1435,20.556,1.1189,19
8,3072,3072,6,nt_b,19.604,2,1.0981,8,17.852,8,17.852,1.0,20.524,1.1497,19
8,3072,6144,8,nt_b,26.32,1,1.0,8,26.32,8,26.32,1.0,31.208,1.1857,19
8,4096,3072,6,nt_b,19.948,2,1.1048,8,18.056,8,18.056,1.0,20.436,1.1318,19
8,8192,3072,6,nt_b,20.384,2,1.1151,8,18.28,6,20.384,1.1151,20.616,1.1278,19
16,3072,3072,8,nt_b,17.88,1,1.0,8,17.88,6,21.32,1.1924,20.496,1.1463,19
16,3072,6144,8,nt_b,25.592,1,1.0,8,25.592,8,25.592,1.0,31.436,1.2284,19
16,4096,3072,8,nt_b,17.816,1,1.0,8,17.816,8,17.816,1.0,20.26,1.1372,19
16,8192,3072,8,nt_b,18.032,1,1.0,8,18.032,6,21.852,1.2119,20.48,1.1358,19
24,2048,3072,13,nt_b,20.74,4,1.1393,8,18.204,8,18.204,1.0,20.696,1.1369,19
24,3072,3072,13,nt_b,20.568,3,1.1309,8,18.188,8,18.188,1.0,21.34,1.1733,19
24,3072,6144,13,nt_b,31.9,5,1.1987,8,26.612,8,26.612,1.0,31.228,1.1735,19
24,4096,3072,13,nt_b,21.212,5,1.1619,8,18.256,8,18.256,1.0,21.132,1.1575,19
24,8192,3072,13,nt_b,21.004,4,1.131,8,18.572,8,18.572,1.0,21.38,1.1512,19
32,2048,3072,13,nt_b,20.476,2,1.148,8,17.836,8,17.836,1.0,20.608,1.1554,19
32,3072,3072,13,nt_b,20.332,2,1.1021,8,18.448,8,18.448,1.0,20.556,1.1143,19
32,3072,6144,13,nt_b,30.452,2,1.172,8,25.984,8,25.984,1.0,31.072,1.1958,19
32,4096,3072,13,nt_b,20.292,2,1.1147,8,18.204,8,18.204,1.0,20.62,1.1327,19
32,8192,3072,13,nt_b,20.472,2,1.0887,8,18.804,8,18.804,1.0,20.792,1.1057,19
40,2048,3072,8,base,18.172,1,1.0,8,18.172,8,18.172,1.0,21.096,1.1609,19
40,3072,3072,8,base,18.32,1,1.0,8,18.32,8,18.32,1.0,21.172,1.1557,19
40,3072,6144,8,base,26.952,1,1.0,8,26.952,8,26.952,1.0,31.713,1.1766,19
40,4096,3072,8,base,18.74,1,1.0,8,18.74,8,18.74,1.0,20.876,1.114,19
40,8192,3072,7,base,21.652,3,1.0227,5,21.172,18,23.396,1.105,21.652,1.0227,19
48,2048,3072,8,base,18.136,1,1.0,8,18.136,8,18.136,1.0,20.66,1.1392,19
48,3072,3072,8,base,18.0,1,1.0,8,18.0,8,18.0,1.0,20.556,1.142,19
48,3072,6144,8,base,25.896,1,1.0,8,25.896,8,25.896,1.0,31.384,1.2119,19
48,4096,3072,8,base,18.404,1,1.0,8,18.404,8,18.404,1.0,20.868,1.1339,19
48,8192,3072,7,base,21.056,1,1.0,7,21.056,7,21.056,1.0,21.056,1.0,19
56,2048,3072,8,base,18.352,1,1.0,8,18.352,8,18.352,1.0,20.784,1.1325,19
56,3072,3072,8,base,18.42,1,1.0,8,18.42,8,18.42,1.0,21.048,1.1427,19
56,3072,6144,8,base,27.268,1,1.0,8,27.268,8,27.268,1.0,31.908,1.1702,19
56,4096,3072,8,base,19.024,1,1.0,8,19.024,8,19.024,1.0,21.272,1.1182,19
56,8192,3072,7,base,21.576,2,1.0151,5,21.256,7,21.576,1.0151,21.576,1.0151,19
64,2048,3072,8,base,18.476,1,1.0,8,18.476,8,18.476,1.0,20.896,1.131,19
64,3072,3072,8,base,18.7,1,1.0,8,18.7,8,18.7,1.0,20.72,1.108,19
64,3072,6144,8,base,26.252,1,1.0,8,26.252,8,26.252,1.0,31.484,1.1993,19
64,4096,3072,8,base,18.516,1,1.0,8,18.516,8,18.516,1.0,20.948,1.1313,19
64,8192,3072,7,base,21.584,3,1.0268,13,21.02,18,21.336,1.015,21.584,1.0268,19
72,2048,3072,8,base,18.376,1,1.0,8,18.376,8,18.376,1.0,21.0,1.1428,19
72,3072,3072,8,base,19.136,1,1.0,8,19.136,8,19.136,1.0,21.24,1.11,19
72,3072,6144,8,base,27.208,1,1.0,8,27.208,8,27.208,1.0,31.721,1.1658,19
72,4096,3072,13,base,21.452,3,1.0123,7,21.192,7,21.192,1.0,21.192,1.0,19
72,8192,3072,12,base,24.556,3,1.0487,3,23.416,18,23.876,1.0196,30.48,1.3017,19
80,2048,3072,8,base,18.344,1,1.0,8,18.344,8,18.344,1.0,20.756,1.1315,19
80,3072,3072,8,base,19.092,1,1.0,8,19.092,8,19.092,1.0,21.128,1.1066,19
80,3072,6144,8,base,26.592,1,1.0,8,26.592,8,26.592,1.0,31.581,1.1876,19
80,8192,3072,12,base,24.832,3,1.0437,3,23.792,18,23.932,1.0059,30.084,1.2645,19
88,3072,6144,12,base,37.616,7,1.1717,7,32.105,8,39.448,1.2287,32.105,1.0,19
88,8192,3072,12,base,25.616,3,1.0819,3,23.676,18,24.06,1.0162,29.733,1.2558,19
96,2048,3072,8,base,18.392,1,1.0,8,18.392,8,18.392,1.0,21.052,1.1446,19
96,3072,3072,13,base,20.728,1,1.0,13,20.728,8,24.072,1.1613,20.832,1.005,19
96,3072,6144,12,base,34.18,4,1.099,7,31.1,8,38.621,1.2418,31.1,1.0,19
96,8192,3072,12,base,24.132,3,1.0231,3,23.588,18,23.988,1.017,29.792,1.263,19
104,2048,3072,8,base,18.532,1,1.0,8,18.532,8,18.532,1.0,21.04,1.1353,19
104,3072,3072,13,base,21.608,3,1.0295,7,20.988,7,20.988,1.0,20.988,1.0,19
104,3072,6144,12,base,37.888,8,1.1797,7,32.116,18,35.492,1.1051,32.116,1.0,19
104,4096,3072,13,base,21.66,3,1.0104,7,21.436,7,21.436,1.0,21.436,1.0,19
112,2048,3072,8,base,18.676,1,1.0,8,18.676,8,18.676,1.0,20.548,1.1002,19
112,3072,3072,13,base,21.46,3,1.0329,7,20.776,8,24.416,1.1752,20.776,1.0,19
112,3072,6144,13,base,32.644,3,1.0424,7,31.316,18,35.904,1.1465,31.316,1.0,19
112,8192,3072,12,base,25.448,3,1.0768,3,23.632,18,24.02,1.0164,29.968,1.2681,19
120,3072,3072,13,base,21.792,3,1.021,5,21.344,7,21.496,1.0071,21.496,1.0071,19
120,3072,6144,12,base,37.788,9,1.2078,5,31.288,7,32.0,1.0228,32.0,1.0228,19
120,4096,3072,13,base,21.808,3,1.0134,7,21.52,7,21.52,1.0,21.52,1.0,19
120,8192,3072,12,base,25.46,3,1.0665,3,23.872,18,24.068,1.0082,30.861,1.2927,19
128,2048,3072,8,base,19.056,1,1.0,8,19.056,8,19.056,1.0,21.068,1.1056,19
128,3072,3072,13,base,20.936,1,1.0,13,20.936,7,21.424,1.0233,21.424,1.0233,19
128,3072,6144,12,base,34.672,6,1.102,13,31.464,7,32.112,1.0206,32.112,1.0206,19
128,4096,3072,13,base,20.712,1,1.0,13,20.712,18,21.468,1.0365,21.328,1.0297,19
128,8192,3072,12,base,24.008,3,1.0907,18,22.012,18,22.012,1.0,30.105,1.3676,19
136,3072,6144,12,base,37.849,8,1.181,7,32.048,18,36.716,1.1457,32.048,1.0,19
136,4096,3072,18,base,23.592,2,1.0263,3,22.988,18,23.592,1.0263,29.901,1.3007,19
136,8192,3072,17,base,73.281,19,2.7817,2,26.344,18,32.221,1.223,39.701,1.507,19
144,2048,3072,13,base,21.46,3,1.0244,7,20.948,8,24.468,1.168,20.948,1.0,19
144,3072,3072,13,base,22.14,3,1.0557,7,20.972,7,20.972,1.0,20.972,1.0,19
144,3072,6144,13,base,32.864,2,1.034,7,31.784,7,31.784,1.0,31.784,1.0,19
144,4096,3072,18,base,23.5,2,1.0027,3,23.436,18,23.5,1.0027,30.3,1.2929,19
144,8192,3072,17,base,74.837,19,2.7987,2,26.74,18,32.272,1.2069,39.781,1.4877,19
152,2048,3072,13,base,21.54,3,1.0183,7,21.152,7,21.152,1.0,21.152,1.0,19
152,3072,3072,13,base,21.708,2,1.0123,7,21.444,18,23.552,1.0983,21.444,1.0,19
152,3072,6144,13,base,33.34,3,1.0136,7,32.892,18,36.544,1.111,32.892,1.0,19
152,4096,3072,18,base,23.788,2,1.0088,3,23.58,18,23.788,1.0088,30.368,1.2879,19
152,8192,3072,17,base,74.493,19,2.7984,2,26.62,18,32.536,1.2222,38.972,1.464,19
160,2048,3072,13,base,20.892,1,1.0,13,20.892,18,23.66,1.1325,21.176,1.0136,19
160,3072,3072,13,base,21.108,1,1.0,13,21.108,18,23.944,1.1344,21.464,1.0169,19
160,4096,3072,18,base,23.476,2,1.0063,12,23.328,18,23.476,1.0063,29.812,1.2779,19
160,8192,3072,17,base,75.049,19,2.8462,2,26.368,18,32.368,1.2276,37.94,1.4389,19
168,2048,3072,13,base,21.716,3,1.031,7,21.064,7,21.064,1.0,21.064,1.0,19
168,3072,3072,18,base,23.452,2,1.023,3,22.924,18,23.452,1.023,29.705,1.2958,19
168,4096,3072,18,base,23.82,2,1.0239,3,23.264,18,23.82,1.0239,29.929,1.2865,19
168,8192,3072,17,base,75.105,19,2.8688,2,26.18,18,33.028,1.2616,38.504,1.4707,19
176,3072,3072,18,base,23.132,2,1.0165,3,22.756,18,23.132,1.0165,29.46,1.2946,19
176,3072,6144,17,base,132.194,19,3.8246,3,34.564,18,36.692,1.0616,47.66,1.3789,19
176,4096,3072,18,base,23.656,2,1.0078,3,23.472,18,23.656,1.0078,29.216,1.2447,19
184,2048,3072,13,base,21.664,2,1.003,5,21.6,8,24.864,1.1511,21.808,1.0096,19
184,3072,3072,18,base,23.772,2,1.0408,3,22.84,18,23.772,1.0408,29.861,1.3074,19
184,4096,3072,18,base,24.1,2,1.0447,3,23.068,18,24.1,1.0447,30.104,1.305,19
184,8192,3072,17,base,75.497,19,2.868,2,26.324,18,32.384,1.2302,38.284,1.4543,19
192,2048,3072,13,base,20.944,2,1.0021,3,20.9,7,21.22,1.0153,21.22,1.0153,19
192,3072,3072,18,base,21.556,1,1.0,18,21.556,18,21.556,1.0,29.325,1.3604,19
192,3072,6144,18,base,33.272,2,1.0353,3,32.136,18,33.272,1.0353,48.065,1.4956,19
192,4096,3072,18,base,21.636,1,1.0,18,21.636,18,21.636,1.0,29.377,1.3577,19
192,8192,3072,17,base,51.589,19,2.0082,2,25.688,18,30.304,1.1797,38.124,1.4841,19
200,2048,3072,13,base,21.684,3,1.0114,7,21.44,8,24.836,1.1584,21.44,1.0,19
200,3072,3072,18,base,23.496,2,1.0203,3,23.028,18,23.496,1.0203,30.1,1.3071,19
200,3072,6144,18,base,36.388,2,1.0494,3,34.676,18,36.388,1.0494,48.613,1.4019,19
200,4096,3072,18,base,23.7,2,1.0058,3,23.564,18,23.7,1.0058,30.172,1.2804,19
200,8192,3072,17,base,74.745,19,2.7431,2,27.248,18,32.821,1.2045,47.033,1.7261,19
208,2048,3072,13,base,21.208,1,1.0,13,21.208,18,23.6,1.1128,21.432,1.0106,19
208,3072,3072,18,base,23.596,2,1.0176,3,23.188,18,23.596,1.0176,29.64,1.2783,19
208,3072,6144,18,base,36.929,2,1.0629,3,34.744,18,36.929,1.0629,48.725,1.4024,19
208,4096,3072,18,base,24.008,2,1.0113,3,23.74,18,24.008,1.0113,30.013,1.2642,19
208,8192,3072,17,base,75.613,19,2.7794,2,27.204,18,32.872,1.2083,47.357,1.7408,19
216,3072,3072,18,base,23.776,2,1.0254,3,23.188,18,23.776,1.0254,30.197,1.3022,19
216,3072,6144,18,base,37.34,2,1.0664,3,35.016,18,37.34,1.0664,48.364,1.3812,19
216,8192,3072,17,base,75.617,19,2.7989,2,27.016,18,33.044,1.2231,46.785,1.7317,19
224,2048,3072,13,base,21.14,2,1.0061,7,21.012,18,22.976,1.0935,21.012,1.0,19
224,3072,3072,18,base,24.232,3,1.0559,3,22.948,18,24.232,1.0559,29.337,1.2784,19
224,3072,6144,18,base,36.752,3,1.0509,12,34.973,18,36.752,1.0509,47.857,1.3684,19
224,4096,3072,18,base,23.804,2,1.0183,3,23.376,18,23.804,1.0183,29.877,1.2781,19
224,8192,3072,17,base,75.873,19,2.8176,2,26.928,18,32.508,1.2072,46.521,1.7276,19
232,2048,3072,13,base,22.048,4,1.0408,7,21.184,18,23.604,1.1142,21.184,1.0,19
232,3072,3072,18,base,24.124,2,1.0357,3,23.292,18,24.124,1.0357,30.057,1.2904,19
232,4096,3072,18,base,23.776,1,1.0,18,23.776,18,23.776,1.0,30.38,1.2778,19
232,8192,3072,17,base,75.709,19,2.8028,2,27.012,18,32.712,1.211,46.609,1.7255,19
240,2048,3072,13,base,21.632,3,1.0156,7,21.3,7,21.3,1.0,21.3,1.0,19
240,3072,3072,18,base,24.068,2,1.0376,3,23.196,18,24.068,1.0376,29.681,1.2795,19
240,3072,6144,18,base,37.06,2,1.0748,3,34.48,18,37.06,1.0748,48.409,1.4039,19
240,4096,3072,18,base,24.056,2,1.0164,3,23.668,18,24.056,1.0164,30.308,1.2805,19
240,8192,3072,17,base,76.053,19,2.8031,2,27.132,18,33.288,1.2269,46.041,1.6969,19
248,3072,6144,18,base,37.152,2,1.0656,3,34.864,18,37.152,1.0656,48.432,1.3892,19
248,4096,3072,18,base,23.612,1,1.0,18,23.612,18,23.612,1.0,30.884,1.308,19
248,8192,3072,17,base,76.213,19,2.7778,2,27.436,18,33.06,1.205,47.024,1.714,19
