M,N,K,o_kid,hint_mode,o_us,o_rank,o_slow,oracle_kid,oracle_us,csv_kid,csv_us,csv_slow,default_us,default_slow,n_ok
1,2048,3072,6,nt_b,19.552,2,1.0829,8,18.056,8,18.056,1.0,20.612,1.1416,19
2,3072,3072,6,nt_b,19.856,2,1.0855,8,18.292,8,18.292,1.0,21.384,1.169,19
4,2048,3072,6,nt_b,19.308,2,1.0835,8,17.82,8,17.82,1.0,20.76,1.165,19
16,3072,3072,8,nt_b,18.332,1,1.0,8,18.332,6,21.476,1.1715,20.548,1.1209,19
16,4096,3072,8,nt_b,17.732,1,1.0,8,17.732,8,17.732,1.0,21.18,1.1945,19
40,3072,6144,8,base,26.896,1,1.0,8,26.896,8,26.896,1.0,31.624,1.1758,19
48,4096,3072,8,base,19.008,1,1.0,8,19.008,8,19.008,1.0,21.144,1.1124,19
64,2048,3072,8,base,18.276,1,1.0,8,18.276,8,18.276,1.0,20.912,1.1442,19
64,3072,3072,8,base,18.596,1,1.0,8,18.596,8,18.596,1.0,20.984,1.1284,19
64,8192,3072,7,base,21.512,2,1.0246,13,20.996,18,21.656,1.0314,21.512,1.0246,19
152,3072,3072,13,base,21.928,2,1.0096,7,21.72,18,23.872,1.0991,21.72,1.0,19
184,8192,3072,17,base,75.708,19,2.7949,2,27.088,18,32.809,1.2112,39.184,1.4465,19
208,8192,3072,17,base,75.485,19,2.8003,2,26.956,18,33.153,1.2299,47.22,1.7517,19
224,3072,3072,18,base,23.676,3,1.0344,3,22.888,18,23.676,1.0344,29.4,1.2845,19
248,4096,3072,18,base,24.136,2,1.0052,3,24.012,18,24.136,1.0052,30.885,1.2862,19
336,4096,3072,17,base,75.889,19,2.8868,2,26.288,18,32.869,1.2503,37.356,1.421,19
352,8192,3072,0,base,36.312,3,1.0252,3,35.42,18,44.18,1.2473,63.013,1.779,19
448,8192,3072,0,base,36.488,2,1.0048,2,36.312,0,36.488,1.0048,71.581,1.9712,19
1013,2048,3072,17,base,76.069,19,2.8065,2,27.104,18,33.168,1.2237,45.965,1.6958,19
1024,2048,3072,17,base,53.057,16,2.0134,2,26.352,18,31.048,1.1782,46.281,1.7562,19
1108,8192,3072,0,base,71.593,2,1.0461,2,68.441,0,71.593,1.0461,160.69,2.3479,19
1113,8192,3072,0,base,71.857,2,1.0451,2,68.757,0,71.857,1.0451,160.793,2.3386,19
1738,3072,3072,17,base,155.77,19,3.31,2,47.06,0,51.049,1.0847,103.849,2.2067,19
2450,4096,3072,0,base,70.697,2,1.0169,2,69.525,0,70.697,1.0169,176.39,2.5371,19
3846,3072,3072,0,base,73.793,1,1.0,0,73.793,0,73.793,1.0,206.034,2.7921,19
10037,8192,3072,0,base,454.753,1,1.0,0,454.753,0,454.753,1.0,1296.299,2.8506,19
16384,3072,6144,0,base,490.502,1,1.0,0,490.502,0,490.502,1.0,1604.39,3.2709,19
18304,4096,3072,0,base,375.532,1,1.0,0,375.532,0,375.532,1.0,1186.366,3.1592,19
18560,2048,3072,0,base,209.002,1,1.0,0,209.002,0,209.002,1.0,610.851,2.9227,19
31998,2048,3072,0,base,370.312,1,1.0,0,370.312,0,370.312,1.0,1035.228,2.7956,19
