M,N,K,o_kid,hint_mode,o_us,o_slow,oracle_kid,oracle_us,prod_kid,prod_lib,prod_is_default,prod_us,prod_slow,default_us,default_slow,o_vs_default,o_vs_prod,n_ok
129,64,128,6,base,17.232,1.1643,17,14.8,7,default,1,15.336,1.0362,15.336,1.0362,1.1236,1.1236,15
232,64,128,6,base,15.56,1.0536,16,14.768,7,default,1,15.664,1.0607,15.664,1.0607,0.9934,0.9934,15
334,64,128,6,base,16.128,1.0824,15,14.9,7,default,1,15.484,1.0392,15.484,1.0392,1.0416,1.0416,15
337,64,128,6,base,15.908,1.0474,12,15.188,7,default,1,16.068,1.0579,16.068,1.0579,0.99,0.99,15
951,64,128,6,nt_a,15.636,1.0254,13,15.248,7,default,1,15.648,1.0262,15.648,1.0262,0.9992,0.9992,15
1314,64,128,6,nt_a,15.988,1.0431,17,15.328,7,default,1,15.644,1.0206,15.644,1.0206,1.022,1.022,15
1608,64,128,6,nt_a,15.22,1.0096,18,15.076,7,default,1,15.356,1.0186,15.356,1.0186,0.9911,0.9911,15
2532,64,128,6,nt_a,15.652,1.041,9,15.036,7,default,1,15.592,1.037,15.592,1.037,1.0038,1.0038,15
2731,64,128,6,nt_a,15.18,1.0117,12,15.004,7,default,1,15.424,1.028,15.424,1.028,0.9842,0.9842,15
2858,64,128,6,nt_a,15.56,1.021,17,15.24,7,default,1,15.7,1.0302,15.7,1.0302,0.9911,0.9911,15
3109,64,128,6,nt_a,15.736,1.0438,8,15.076,7,default,1,15.572,1.0329,15.572,1.0329,1.0105,1.0105,15
3350,64,128,6,nt_a,15.932,1.0707,9,14.88,7,default,1,15.116,1.0159,15.116,1.0159,1.054,1.054,15
3417,64,128,6,nt_a,15.7,1.0334,10,15.192,7,default,1,16.048,1.0563,16.048,1.0563,0.9783,0.9783,15
3615,64,128,6,nt_a,15.72,1.0427,12,15.076,7,default,1,15.624,1.0363,15.624,1.0363,1.0061,1.0061,15
3814,64,128,6,nt_a,15.58,1.0258,7,15.188,7,default,1,15.188,1.0,15.188,1.0,1.0258,1.0258,15
3940,64,128,6,nt_a,15.896,1.0663,12,14.908,7,default,1,15.384,1.0319,15.384,1.0319,1.0333,1.0333,15
5147,64,128,11,nt_a,15.196,1.0056,10,15.112,7,default,1,15.384,1.018,15.384,1.018,0.9878,0.9878,15
5249,64,128,11,nt_a,14.476,1.0,11,14.476,7,default,1,15.4,1.0638,15.4,1.0638,0.94,0.94,15
5914,64,128,11,nt_a,16.04,1.055,10,15.204,7,default,1,15.464,1.0171,15.464,1.0171,1.0372,1.0372,15
6475,64,128,11,nt_a,15.456,1.0348,10,14.936,7,default,1,15.6,1.0445,15.6,1.0445,0.9908,0.9908,15
6491,64,128,11,nt_a,15.272,1.0486,12,14.564,7,default,1,15.248,1.047,15.248,1.047,1.0016,1.0016,15
6698,64,128,11,nt_a,15.56,1.0248,12,15.184,7,default,1,16.344,1.0764,16.344,1.0764,0.952,0.952,15
6786,64,128,11,nt_a,15.464,1.0222,12,15.128,7,default,1,15.156,1.0019,15.156,1.0019,1.0203,1.0203,15
7536,64,128,11,nt_a,15.936,1.0498,5,15.18,7,default,1,15.38,1.0132,15.38,1.0132,1.0362,1.0362,15
8073,64,128,11,nt_a,15.428,1.0324,17,14.944,7,default,1,15.272,1.0219,15.272,1.0219,1.0102,1.0102,15
8215,64,128,3,nt_a,inf,,15,15.064,7,default,1,15.208,1.0096,15.208,1.0096,,,15
8590,64,128,3,nt_a,inf,,13,15.088,7,default,1,15.548,1.0305,15.548,1.0305,,,15
8881,64,128,3,nt_a,inf,,12,15.056,7,default,1,15.604,1.0364,15.604,1.0364,,,15
8993,64,128,3,nt_a,inf,,17,15.004,7,default,1,15.324,1.0213,15.324,1.0213,,,15
9343,64,128,3,nt_a,inf,,15,14.996,7,default,1,15.404,1.0272,15.404,1.0272,,,15
9376,64,128,3,nt_a,inf,,10,15.092,7,default,1,15.272,1.0119,15.272,1.0119,,,15
9389,64,128,3,nt_a,inf,,13,15.052,7,default,1,15.536,1.0322,15.536,1.0322,,,15
9686,64,128,3,nt_a,inf,,15,14.696,7,default,1,15.284,1.04,15.284,1.04,,,15
9967,64,128,3,nt_a,inf,,11,15.216,7,default,1,15.248,1.0021,15.248,1.0021,,,15
10017,64,128,3,nt_a,inf,,17,14.728,7,default,1,15.012,1.0193,15.012,1.0193,,,15
10040,64,128,3,nt_a,inf,,7,15.056,7,default,1,15.056,1.0,15.056,1.0,,,15
10064,64,128,3,nt_a,inf,,11,15.056,7,default,1,15.172,1.0077,15.172,1.0077,,,15
10345,64,128,3,nt_a,inf,,6,14.992,7,default,1,15.808,1.0544,15.808,1.0544,,,15
10555,64,128,3,nt_a,inf,,11,15.096,7,default,1,15.592,1.0329,15.592,1.0329,,,15
10791,64,128,3,nt_a,inf,,17,15.284,7,default,1,15.424,1.0092,15.424,1.0092,,,15
11308,64,128,3,nt_a,inf,,11,15.22,7,default,1,15.756,1.0352,15.756,1.0352,,,15
11427,64,128,3,nt_a,inf,,16,14.92,7,default,1,15.556,1.0426,15.556,1.0426,,,15
11473,64,128,3,nt_a,inf,,6,14.876,7,default,1,15.576,1.0471,15.576,1.0471,,,15
11476,64,128,3,nt_a,inf,,12,15.184,7,default,1,15.404,1.0145,15.404,1.0145,,,15
11632,64,128,3,nt_a,inf,,12,15.208,7,default,1,15.7,1.0324,15.7,1.0324,,,15
11949,64,128,3,nt_a,inf,,16,15.252,7,default,1,16.248,1.0653,16.248,1.0653,,,15
12033,64,128,3,nt_a,inf,,18,15.284,7,default,1,15.688,1.0264,15.688,1.0264,,,15
12070,64,128,3,nt_a,inf,,18,15.296,7,default,1,16.272,1.0638,16.272,1.0638,,,15
12346,64,128,3,nt_a,inf,,12,15.052,7,default,1,15.816,1.0508,15.816,1.0508,,,15
12422,64,128,3,nt_a,inf,,17,15.0,7,default,1,15.716,1.0477,15.716,1.0477,,,15
12443,64,128,3,nt_a,inf,,12,15.148,7,default,1,15.536,1.0256,15.536,1.0256,,,15
12661,64,128,3,nt_a,inf,,12,15.024,7,default,1,16.056,1.0687,16.056,1.0687,,,15
12684,64,128,3,nt_a,inf,,10,14.808,7,default,1,15.84,1.0697,15.84,1.0697,,,15
12952,64,128,3,nt_a,inf,,10,15.284,7,default,1,15.404,1.0079,15.404,1.0079,,,15
13349,64,128,3,nt_a,inf,,5,15.2,7,default,1,15.628,1.0282,15.628,1.0282,,,15
13778,64,128,3,nt_a,inf,,13,15.32,7,default,1,15.504,1.012,15.504,1.012,,,15
14584,64,128,3,nt_a,inf,,17,15.052,7,default,1,15.572,1.0345,15.572,1.0345,,,15
15292,64,128,3,nt_a,inf,,11,15.208,7,default,1,15.764,1.0366,15.764,1.0366,,,15
15325,64,128,3,nt_a,inf,,18,15.176,7,default,1,15.58,1.0266,15.58,1.0266,,,15
16044,64,128,3,nt_a,inf,,11,15.12,7,default,1,15.352,1.0153,15.352,1.0153,,,15
16763,64,128,1,nt_a,inf,,11,15.068,7,default,1,15.632,1.0374,15.632,1.0374,,,15
17179,64,128,1,nt_a,inf,,18,15.208,7,default,1,15.62,1.0271,15.62,1.0271,,,15
17299,64,128,1,nt_a,inf,,13,15.14,7,default,1,15.484,1.0227,15.484,1.0227,,,15
17516,64,128,1,nt_a,inf,,18,15.3,7,default,1,15.608,1.0201,15.608,1.0201,,,15
18756,64,128,1,nt_a,inf,,16,14.792,7,default,1,15.504,1.0481,15.504,1.0481,,,15
19034,64,128,1,nt_a,inf,,5,15.304,7,default,1,15.732,1.028,15.732,1.028,,,15
19201,64,128,1,nt_a,inf,,10,15.436,7,default,1,16.284,1.0549,16.284,1.0549,,,15
20055,64,128,1,nt_a,inf,,11,15.104,7,default,1,15.532,1.0283,15.532,1.0283,,,15
20703,64,128,1,nt_a,inf,,16,15.212,7,default,1,15.912,1.046,15.912,1.046,,,15
21284,64,128,1,nt_a,inf,,11,15.456,7,default,1,15.96,1.0326,15.96,1.0326,,,15
21476,64,128,1,nt_a,inf,,18,15.096,7,default,1,16.012,1.0607,16.012,1.0607,,,15
23133,64,128,1,nt_a,inf,,8,15.216,7,default,1,15.664,1.0294,15.664,1.0294,,,15
24191,64,128,11,nt_a,15.536,1.0115,18,15.36,7,default,1,16.496,1.074,16.496,1.074,0.9418,0.9418,15
25000,64,128,1,nt_a,inf,,13,15.172,7,default,1,16.38,1.0796,16.38,1.0796,,,15
25953,64,128,1,nt_a,inf,,18,15.352,7,default,1,16.0,1.0422,16.0,1.0422,,,15
27009,64,128,1,nt_a,inf,,13,15.392,7,default,1,16.42,1.0668,16.42,1.0668,,,15
27947,64,128,1,nt_a,inf,,11,15.292,7,default,1,16.544,1.0819,16.544,1.0819,,,15
28700,64,128,1,nt_a,inf,,16,15.504,7,default,1,16.912,1.0908,16.912,1.0908,,,15
29058,64,128,1,nt_a,inf,,13,15.432,7,default,1,17.288,1.1203,17.288,1.1203,,,15
29267,64,128,1,nt_a,inf,,11,15.236,7,default,1,17.232,1.131,17.232,1.131,,,15
29465,64,128,1,nt_a,inf,,18,15.424,7,default,1,17.42,1.1294,17.42,1.1294,,,15
29500,64,128,1,nt_a,inf,,11,15.192,7,default,1,17.292,1.1382,17.292,1.1382,,,15
29973,64,128,1,nt_a,inf,,18,15.432,7,default,1,17.164,1.1122,17.164,1.1122,,,15
30663,64,128,1,nt_a,inf,,18,15.136,7,default,1,17.352,1.1464,17.352,1.1464,,,15
31357,64,128,1,nt_a,inf,,18,14.98,7,default,1,17.276,1.1533,17.276,1.1533,,,15
