M,N,K,o_kid,hint_mode,o_us,o_slow,oracle_kid,oracle_us,prod_kid,prod_lib,prod_is_default,prod_us,prod_slow,default_us,default_slow,o_vs_default,o_vs_prod,n_ok
1,5120,8192,8,nt_b,31.5,1.0,8,31.5,7,default,1,38.224,1.2135,38.224,1.2135,0.8241,0.8241,19
2,5120,8192,8,nt_b,32.176,1.0,8,32.176,7,default,1,37.64,1.1698,37.64,1.1698,0.8548,0.8548,19
4,5120,8192,8,nt_b,31.101,1.0,8,31.101,7,default,1,37.592,1.2087,37.592,1.2087,0.8273,0.8273,19
5,5120,8192,8,nt_b,31.832,1.0,8,31.832,7,default,1,37.624,1.1819,37.624,1.1819,0.8461,0.8461,19
6,5120,8192,8,nt_b,31.496,1.0,8,31.496,7,default,1,37.88,1.2027,37.88,1.2027,0.8315,0.8315,19
8,5120,8192,8,nt_b,31.589,1.0,8,31.589,7,default,1,37.332,1.1818,37.332,1.1818,0.8461,0.8461,19
9,5120,8192,8,nt_b,31.288,1.0,8,31.288,7,default,1,37.745,1.2063,37.745,1.2063,0.829,0.829,19
11,5120,8192,8,nt_b,31.352,1.0,8,31.352,7,default,1,37.881,1.2082,37.881,1.2082,0.8277,0.8277,19
12,5120,8192,8,nt_b,31.484,1.0,8,31.484,7,default,1,37.948,1.2053,37.948,1.2053,0.8297,0.8297,19
13,5120,8192,8,nt_b,31.336,1.0,8,31.336,7,default,1,37.872,1.2086,37.872,1.2086,0.8274,0.8274,19
15,5120,8192,8,nt_b,31.308,1.0,8,31.308,7,default,1,37.936,1.2117,37.936,1.2117,0.8253,0.8253,19
16,5120,8192,8,nt_b,30.9,1.0,8,30.9,7,default,1,37.08,1.2,37.08,1.2,0.8333,0.8333,19
17,5120,8192,13,nt_b,39.052,1.1944,8,32.696,7,default,1,38.116,1.1658,38.116,1.1658,1.0246,1.0246,19
39,5120,8192,8,base,32.42,1.0,8,32.42,7,default,1,38.184,1.1778,38.184,1.1778,0.849,0.849,19
60,5120,8192,4,base,44.625,1.1975,5,37.264,7,default,1,38.424,1.0311,38.424,1.0311,1.1614,1.1614,19
82,5120,8192,12,base,46.457,1.1908,7,39.012,7,default,1,39.012,1.0,39.012,1.0,1.1908,1.1908,19
104,5120,8192,9,base,72.828,1.723,3,42.269,7,default,1,60.157,1.4232,60.157,1.4232,1.2106,1.2106,19
126,5120,8192,9,base,73.184,1.7372,3,42.129,7,default,1,60.045,1.4253,60.045,1.4253,1.2188,1.2188,19
147,5120,8192,14,base,94.973,2.2327,3,42.537,7,default,1,60.577,1.4241,60.577,1.4241,1.5678,1.5678,19
169,5120,8192,17,base,172.446,4.0309,3,42.781,7,default,1,60.965,1.4251,60.965,1.4251,2.8286,2.8286,19
191,5120,8192,18,base,45.133,1.0403,3,43.384,7,default,1,60.573,1.3962,60.573,1.3962,0.7451,0.7451,19
213,5120,8192,17,base,172.818,3.6309,2,47.597,7,default,1,81.225,1.7065,81.225,1.7065,2.1276,2.1276,19
234,5120,8192,17,base,172.626,3.5954,2,48.013,7,default,1,81.801,1.7037,81.801,1.7037,2.1103,2.1103,19
256,5120,8192,17,base,119.169,2.5712,2,46.348,7,default,1,81.101,1.7498,81.101,1.7498,1.4694,1.4694,19
257,5120,8192,17,base,174.53,3.6254,2,48.14,7,default,1,80.949,1.6815,80.949,1.6815,2.1561,2.1561,19
656,5120,8192,0,base,69.981,1.0068,2,69.509,7,default,1,169.858,2.4437,169.858,2.4437,0.412,0.412,19
1019,5120,8192,17,base,376.204,3.9845,2,94.417,7,default,1,249.027,2.6375,249.027,2.6375,1.5107,1.5107,19
1362,5120,8192,0,base,104.817,1.0,0,104.817,7,default,1,332.2,3.1693,332.2,3.1693,0.3155,0.3155,19
1704,5120,8192,0,base,147.762,1.0,0,147.762,7,default,1,395.249,2.6749,395.249,2.6749,0.3738,0.3738,19
2046,5120,8192,0,base,153.67,1.0,0,153.67,7,default,1,471.293,3.0669,471.293,3.0669,0.3261,0.3261,19
2387,5120,8192,0,base,160.282,1.0,0,160.282,7,default,1,549.546,3.4286,549.546,3.4286,0.2917,0.2917,19
2729,5120,8192,0,base,198.862,1.0,0,198.862,7,default,1,617.659,3.106,617.659,3.106,0.322,0.322,19
3071,5120,8192,0,base,203.679,1.0,0,203.679,7,default,1,682.408,3.3504,682.408,3.3504,0.2985,0.2985,19
3413,5120,8192,0,base,247.183,1.0,0,247.183,7,default,1,770.945,3.1189,770.945,3.1189,0.3206,0.3206,19
3754,5120,8192,0,base,264.727,1.0,0,264.727,7,default,1,839.682,3.1719,839.682,3.1719,0.3153,0.3153,19
4096,5120,8192,0,base,266.639,1.0,0,266.639,7,default,1,903.123,3.3871,903.123,3.3871,0.2952,0.2952,19
4097,5120,8192,0,base,300.443,1.0,0,300.443,7,default,1,926.29,3.0831,926.29,3.0831,0.3244,0.3244,19
6668,5120,8192,0,base,486.99,1.0,0,486.99,7,default,1,1491.197,3.0621,1491.197,3.0621,0.3266,0.3266,19
9250,5120,8192,0,base,658.595,1.0,0,658.595,7,default,1,2052.268,3.1161,2052.268,3.1161,0.3209,0.3209,19
11819,5120,8192,0,base,827.201,1.0,0,827.201,7,default,1,2603.486,3.1473,2603.486,3.1473,0.3177,0.3177,19
14408,5120,8192,0,base,1011.436,1.0,0,1011.436,7,default,1,3170.157,3.1343,3170.157,3.1343,0.319,0.319,19
17029,5120,8192,0,base,1183.718,1.0,0,1183.718,7,default,1,3755.664,3.1728,3755.664,3.1728,0.3152,0.3152,19
19614,5120,8192,0,base,1339.076,1.0,0,1339.076,7,default,1,4302.91,3.2133,4302.91,3.2133,0.3112,0.3112,19
22222,5120,8192,0,base,1474.069,1.0,0,1474.069,7,default,1,4866.988,3.3017,4866.988,3.3017,0.3029,0.3029,19
24890,5120,8192,0,base,1641.519,1.0,0,1641.519,7,default,1,5434.911,3.3109,5434.911,3.3109,0.302,0.302,19
27553,5120,8192,0,base,1794.241,1.0,0,1794.241,7,default,1,6016.338,3.3531,6016.338,3.3531,0.2982,0.2982,19
30200,5120,8192,0,base,2003.839,1.0,0,2003.839,7,default,1,6573.617,3.2805,6573.617,3.2805,0.3048,0.3048,19
33024,5120,8192,0,base,2166.029,1.0,0,2166.029,7,default,1,7154.803,3.3032,7154.803,3.3032,0.3027,0.3027,19
1,5120,25600,7,nt_b,97.425,1.2428,8,78.393,7,default,1,97.425,1.2428,97.425,1.2428,1.0,1.0,19
2,5120,25600,7,nt_b,96.869,1.2367,8,78.329,7,default,1,96.869,1.2367,96.869,1.2367,1.0,1.0,19
4,5120,25600,7,nt_b,96.845,1.2394,8,78.141,7,default,1,96.845,1.2394,96.845,1.2394,1.0,1.0,19
5,5120,25600,7,nt_b,96.953,1.2366,8,78.401,7,default,1,96.953,1.2366,96.953,1.2366,1.0,1.0,19
6,5120,25600,7,nt_b,96.365,1.226,8,78.601,7,default,1,96.365,1.226,96.365,1.226,1.0,1.0,19
8,5120,25600,7,nt_b,97.373,1.237,8,78.717,7,default,1,97.373,1.237,97.373,1.237,1.0,1.0,19
9,5120,25600,7,nt_b,97.089,1.2378,8,78.437,7,default,1,97.089,1.2378,97.089,1.2378,1.0,1.0,19
11,5120,25600,7,nt_b,97.957,1.2488,8,78.441,7,default,1,97.957,1.2488,97.957,1.2488,1.0,1.0,19
12,5120,25600,7,nt_b,96.765,1.2292,8,78.725,7,default,1,96.765,1.2292,96.765,1.2292,1.0,1.0,19
13,5120,25600,7,nt_b,96.365,1.2292,8,78.397,7,default,1,96.365,1.2292,96.365,1.2292,1.0,1.0,19
15,5120,25600,7,nt_b,97.273,1.2409,8,78.389,7,default,1,97.273,1.2409,97.273,1.2409,1.0,1.0,19
16,5120,25600,7,nt_b,94.753,1.2513,8,75.721,7,default,1,94.753,1.2513,94.753,1.2513,1.0,1.0,19
17,5120,25600,12,nt_b,118.529,1.4977,8,79.141,7,default,1,97.209,1.2283,97.209,1.2283,1.2193,1.2193,19
39,5120,25600,7,base,97.349,1.2158,8,80.073,7,default,1,97.349,1.2158,97.349,1.2158,1.0,1.0,19
60,5120,25600,4,base,120.029,1.2716,5,94.393,7,default,1,96.905,1.0266,96.905,1.0266,1.2386,1.2386,19
82,5120,25600,12,base,120.821,1.2314,7,98.121,7,default,1,98.121,1.0,98.121,1.0,1.2314,1.2314,19
104,5120,25600,9,base,201.798,1.8933,3,106.585,7,default,1,165.122,1.5492,165.122,1.5492,1.2221,1.2221,19
126,5120,25600,9,base,201.627,1.8727,3,107.665,7,default,1,163.926,1.5226,163.926,1.5226,1.23,1.23,19
147,5120,25600,14,base,263.619,2.4703,3,106.717,7,default,1,164.022,1.537,164.022,1.537,1.6072,1.6072,19
169,5120,25600,14,base,263.691,2.4331,3,108.377,7,default,1,165.094,1.5233,165.094,1.5233,1.5972,1.5972,19
191,5120,25600,14,base,263.547,2.3941,3,110.081,7,default,1,164.922,1.4982,164.922,1.4982,1.598,1.598,19
213,5120,25600,14,base,263.939,2.1723,2,121.501,7,default,1,231.263,1.9034,231.263,1.9034,1.1413,1.1413,19
234,5120,25600,14,base,263.719,2.1754,2,121.23,7,default,1,230.811,1.9039,230.811,1.9039,1.1426,1.1426,19
256,5120,25600,14,base,238.818,2.0259,2,117.885,7,default,1,228.903,1.9417,228.903,1.9417,1.0433,1.0433,19
257,5120,25600,0,base,167.946,1.3701,2,122.581,7,default,1,231.371,1.8875,231.371,1.8875,0.7259,0.7259,19
656,5120,25600,0,base,193.07,1.0,0,193.07,7,default,1,509.166,2.6372,509.166,2.6372,0.3792,0.3792,19
1019,5120,25600,0,base,284.575,1.0,0,284.575,7,default,1,719.572,2.5286,719.572,2.5286,0.3955,0.3955,19
1362,5120,25600,0,base,330.08,1.0,0,330.08,7,default,1,998.152,3.024,998.152,3.024,0.3307,0.3307,19
1704,5120,25600,0,base,461.521,1.0,0,461.521,7,default,1,1208.226,2.6179,1208.226,2.6179,0.382,0.382,19
2046,5120,25600,0,base,481.83,1.0,0,481.83,7,default,1,1420.873,2.9489,1420.873,2.9489,0.3391,0.3391,19
2387,5120,25600,0,base,517.034,1.0,0,517.034,7,default,1,1704.184,3.2961,1704.184,3.2961,0.3034,0.3034,19
2729,5120,25600,0,base,636.435,1.0,0,636.435,7,default,1,1915.438,3.0096,1915.438,3.0096,0.3323,0.3323,19
3071,5120,25600,0,base,663.648,1.0,0,663.648,7,default,1,2114.897,3.1868,2114.897,3.1868,0.3138,0.3138,19
3413,5120,25600,0,base,782.965,1.0,0,782.965,7,default,1,2400.704,3.0662,2400.704,3.0662,0.3261,0.3261,19
3754,5120,25600,0,base,839.538,1.0,0,839.538,7,default,1,2607.146,3.1055,2607.146,3.1055,0.322,0.322,19
4096,5120,25600,0,base,870.31,1.0,0,870.31,7,default,1,2801.821,3.2193,2801.821,3.2193,0.3106,0.3106,19
4097,5120,25600,0,base,964.847,1.0,0,964.847,7,default,1,2891.558,2.9969,2891.558,2.9969,0.3337,0.3337,19
6668,5120,25600,0,base,1516.77,1.0,0,1516.77,7,default,1,4641.954,3.0604,4641.954,3.0604,0.3268,0.3268,19
9250,5120,25600,0,base,2076.776,1.0,0,2076.776,7,default,1,6368.058,3.0663,6368.058,3.0663,0.3261,0.3261,19
11819,5120,25600,0,base,2609.038,1.0,0,2609.038,7,default,1,8110.671,3.1087,8110.671,3.1087,0.3217,0.3217,19
14408,5120,25600,0,base,3149.905,1.0,0,3149.905,7,default,1,9887.712,3.1391,9887.712,3.1391,0.3186,0.3186,19
17029,5120,25600,0,base,3725.059,1.0,0,3725.059,7,default,1,11664.837,3.1314,11664.837,3.1314,0.3193,0.3193,19
19614,5120,25600,0,base,4497.629,1.0,0,4497.629,7,default,1,13425.194,2.9849,13425.194,2.9849,0.335,0.335,19
22222,5120,25600,0,base,4969.094,1.0,0,4969.094,7,default,1,15224.703,3.0639,15224.703,3.0639,0.3264,0.3264,19
24890,5120,25600,0,base,5575.15,1.0,0,5575.15,7,default,1,17015.4,3.052,17015.4,3.052,0.3277,0.3277,19
27553,5120,25600,0,base,6083.527,1.0,0,6083.527,7,default,1,18851.073,3.0987,18851.073,3.0987,0.3227,0.3227,19
30200,5120,25600,0,base,6733.495,1.0,0,6733.495,7,default,1,20584.006,3.057,20584.006,3.057,0.3271,0.3271,19
33024,5120,25600,0,base,7072.279,1.0,0,7072.279,7,default,1,22393.295,3.1663,22393.295,3.1663,0.3158,0.3158,19
1,10240,5120,5,nt_b,27.653,1.1917,8,23.204,7,default,1,27.488,1.1846,27.488,1.1846,1.006,1.006,19
2,10240,5120,5,nt_b,27.476,1.1502,8,23.888,7,default,1,27.372,1.1458,27.372,1.1458,1.0038,1.0038,19
4,10240,5120,5,nt_b,27.492,1.1571,8,23.76,7,default,1,27.436,1.1547,27.436,1.1547,1.002,1.002,19
5,10240,5120,7,nt_b,27.84,1.1656,8,23.884,7,default,1,27.84,1.1656,27.84,1.1656,1.0,1.0,19
6,10240,5120,7,nt_b,27.448,1.1264,8,24.368,7,default,1,27.448,1.1264,27.448,1.1264,1.0,1.0,19
8,10240,5120,7,nt_b,27.732,1.159,8,23.928,7,default,1,27.732,1.159,27.732,1.159,1.0,1.0,19
9,10240,5120,7,nt_b,27.92,1.1318,8,24.668,7,default,1,27.92,1.1318,27.92,1.1318,1.0,1.0,19
11,10240,5120,8,nt_b,23.94,1.0,8,23.94,7,default,1,27.769,1.1599,27.769,1.1599,0.8621,0.8621,19
12,10240,5120,8,nt_b,23.988,1.0,8,23.988,7,default,1,27.984,1.1666,27.984,1.1666,0.8572,0.8572,19
13,10240,5120,8,nt_b,23.948,1.0,8,23.948,7,default,1,27.072,1.1304,27.072,1.1304,0.8846,0.8846,19
15,10240,5120,8,nt_b,24.136,1.0,8,24.136,7,default,1,27.653,1.1457,27.653,1.1457,0.8728,0.8728,19
16,10240,5120,8,nt_b,23.06,1.0,8,23.06,7,default,1,27.492,1.1922,27.492,1.1922,0.8388,0.8388,19
17,10240,5120,12,nt_b,32.492,1.1631,5,27.936,7,default,1,28.432,1.0177,28.432,1.0177,1.1428,1.1428,19
39,10240,5120,7,base,28.848,1.0149,5,28.424,7,default,1,28.848,1.0149,28.848,1.0149,1.0,1.0,19
60,10240,5120,4,base,33.94,1.0944,3,31.012,7,default,1,42.141,1.3588,42.141,1.3588,0.8054,0.8054,19
82,10240,5120,12,base,33.988,1.0,12,33.988,7,default,1,43.108,1.2683,43.108,1.2683,0.7884,0.7884,19
104,10240,5120,9,base,50.785,1.4734,2,34.468,7,default,1,54.961,1.5945,54.961,1.5945,0.924,0.924,19
126,10240,5120,9,base,51.393,1.4734,2,34.88,7,default,1,55.737,1.5979,55.737,1.5979,0.9221,0.9221,19
147,10240,5120,17,base,118.641,3.3575,2,35.336,7,default,1,70.005,1.9811,70.005,1.9811,1.6948,1.6948,19
169,10240,5120,17,base,118.605,3.3618,2,35.28,7,default,1,69.617,1.9732,69.617,1.9732,1.7037,1.7037,19
191,10240,5120,17,base,119.506,3.3671,2,35.492,7,default,1,69.789,1.9663,69.789,1.9663,1.7124,1.7124,19
213,10240,5120,14,base,65.913,1.4055,3,46.897,7,default,1,82.833,1.7663,82.833,1.7663,0.7957,0.7957,19
234,10240,5120,14,base,65.989,1.4184,0,46.525,7,default,1,82.457,1.7723,82.457,1.7723,0.8003,0.8003,19
256,10240,5120,14,base,61.265,1.3657,0,44.86,7,default,1,82.393,1.8367,82.393,1.8367,0.7436,0.7436,19
257,10240,5120,0,base,48.817,1.0002,2,48.805,7,default,1,98.773,2.0239,98.773,2.0239,0.4942,0.4942,19
656,10240,5120,0,base,74.485,1.0,0,74.485,7,default,1,200.082,2.6862,200.082,2.6862,0.3723,0.3723,19
1019,10240,5120,0,base,104.449,1.0,0,104.449,7,default,1,298.563,2.8585,298.563,2.8585,0.3498,0.3498,19
1362,10240,5120,0,base,132.453,1.0,0,132.453,7,default,1,391.065,2.9525,391.065,2.9525,0.3387,0.3387,19
1704,10240,5120,0,base,165.29,1.0,0,165.29,7,default,1,485.126,2.935,485.126,2.935,0.3407,0.3407,19
2046,10240,5120,0,base,167.842,1.0,0,167.842,7,default,1,567.307,3.38,567.307,3.38,0.2959,0.2959,19
2387,10240,5120,0,base,206.246,1.0,0,206.246,7,default,1,666.752,3.2328,666.752,3.2328,0.3093,0.3093,19
2729,10240,5120,0,base,245.439,1.0,0,245.439,7,default,1,763.037,3.1089,763.037,3.1089,0.3217,0.3217,19
3071,10240,5120,0,base,281.415,1.0,0,281.415,7,default,1,844.706,3.0016,844.706,3.0016,0.3332,0.3332,19
3413,10240,5120,0,base,318.144,1.0,0,318.144,7,default,1,942.843,2.9636,942.843,2.9636,0.3374,0.3374,19
3754,10240,5120,0,base,343.336,1.0,0,343.336,7,default,1,1037.804,3.0227,1037.804,3.0227,0.3308,0.3308,19
4096,10240,5120,0,base,341.708,1.0,0,341.708,7,default,1,1126.089,3.2955,1126.089,3.2955,0.3034,0.3034,19
4097,10240,5120,0,base,395.884,1.0,0,395.884,7,default,1,1139.601,2.8786,1139.601,2.8786,0.3474,0.3474,19
6668,10240,5120,0,base,606.751,1.0,0,606.751,7,default,1,1839.394,3.0315,1839.394,3.0315,0.3299,0.3299,19
9250,10240,5120,0,base,836.058,1.0,0,836.058,7,default,1,2543.118,3.0418,2543.118,3.0418,0.3288,0.3288,19
11819,10240,5120,0,base,1077.173,1.0,0,1077.173,7,default,1,3234.31,3.0026,3234.31,3.0026,0.333,0.333,19
14408,10240,5120,0,base,1295.859,1.0,0,1295.859,7,default,1,3942.486,3.0424,3942.486,3.0424,0.3287,0.3287,19
17029,10240,5120,0,base,1468.362,1.0,0,1468.362,7,default,1,4660.663,3.1741,4660.663,3.1741,0.3151,0.3151,19
19614,10240,5120,0,base,1661.996,1.0,0,1661.996,7,default,1,5348.355,3.218,5348.355,3.218,0.3107,0.3107,19
22222,10240,5120,0,base,1886.834,1.0,0,1886.834,7,default,1,6048.731,3.2058,6048.731,3.2058,0.3119,0.3119,19
24890,10240,5120,0,base,2132.197,1.0,0,2132.197,7,default,1,6770.788,3.1755,6770.788,3.1755,0.3149,0.3149,19
27553,10240,5120,0,base,2355.12,1.0,0,2355.12,7,default,1,7492.145,3.1812,7492.145,3.1812,0.3143,0.3143,19
30200,10240,5120,0,base,2542.158,1.0,0,2542.158,7,default,1,8206.793,3.2283,8206.793,3.2283,0.3098,0.3098,19
33024,10240,5120,0,base,2734.744,1.0,0,2734.744,7,default,1,8932.466,3.2663,8932.466,3.2663,0.3062,0.3062,19
1,51200,5120,4,nt_b,46.761,1.0251,5,45.617,7,default,1,50.205,1.1006,50.205,1.1006,0.9314,0.9314,19
2,51200,5120,4,nt_b,46.793,1.0097,5,46.345,7,default,1,50.224,1.0837,50.224,1.0837,0.9317,0.9317,19
4,51200,5120,4,nt_b,48.676,1.0183,5,47.801,7,default,1,52.044,1.0888,52.044,1.0888,0.9353,0.9353,19
5,51200,5120,4,nt_b,48.189,1.0,4,48.189,7,default,1,50.769,1.0535,50.769,1.0535,0.9492,0.9492,19
6,51200,5120,4,nt_b,46.521,1.0,4,46.521,7,default,1,50.965,1.0955,50.965,1.0955,0.9128,0.9128,19
8,51200,5120,4,nt_b,46.844,1.0095,5,46.405,7,default,1,50.305,1.084,50.305,1.084,0.9312,0.9312,19
9,51200,5120,4,nt_b,47.56,1.0245,5,46.425,7,default,1,50.681,1.0917,50.681,1.0917,0.9384,0.9384,19
11,51200,5120,4,nt_b,47.328,1.0,4,47.328,7,default,1,51.033,1.0783,51.033,1.0783,0.9274,0.9274,19
12,51200,5120,4,nt_b,47.413,1.0,4,47.413,7,default,1,50.637,1.068,50.637,1.068,0.9363,0.9363,19
13,51200,5120,4,nt_b,46.973,1.0068,5,46.657,7,default,1,50.909,1.0911,50.909,1.0911,0.9227,0.9227,19
15,51200,5120,4,nt_b,47.337,1.0,4,47.337,7,default,1,50.929,1.0759,50.929,1.0759,0.9295,0.9295,19
16,51200,5120,4,nt_b,46.768,1.0,4,46.768,7,default,1,50.417,1.078,50.417,1.078,0.9276,0.9276,19
17,51200,5120,9,nt_b,53.577,1.0441,2,51.313,7,default,1,70.293,1.3699,70.293,1.3699,0.7622,0.7622,19
39,51200,5120,7,base,84.237,1.5067,2,55.909,7,default,1,84.237,1.5067,84.237,1.5067,1.0,1.0,19
60,51200,5120,7,base,110.809,1.8538,2,59.773,7,default,1,110.809,1.8538,110.809,1.8538,1.0,1.0,19
82,51200,5120,12,base,107.313,1.3565,0,79.113,7,default,1,153.461,1.9398,153.461,1.9398,0.6993,0.6993,19
104,51200,5120,12,base,142.538,1.592,2,89.533,7,default,1,170.046,1.8993,170.046,1.8993,0.8382,0.8382,19
126,51200,5120,12,base,143.614,1.4807,0,96.993,7,default,1,198.986,2.0515,198.986,2.0515,0.7217,0.7217,19
147,51200,5120,17,base,447.194,3.9396,2,113.513,7,default,1,241.279,2.1256,241.279,2.1256,1.8534,1.8534,19
169,51200,5120,17,base,448.193,3.8231,2,117.233,7,default,1,271.143,2.3129,271.143,2.3129,1.653,1.653,19
191,51200,5120,17,base,453.737,3.6787,2,123.341,7,default,1,284.243,2.3045,284.243,2.3045,1.5963,1.5963,19
213,51200,5120,14,base,196.026,1.3304,0,147.342,7,default,1,331.08,2.247,331.08,2.247,0.5921,0.5921,19
234,51200,5120,14,base,197.242,1.3373,0,147.49,7,default,1,358.836,2.433,358.836,2.433,0.5497,0.5497,19
