M,N,K,o_kid,hint_mode,o_us,o_rank,o_slow,oracle_kid,oracle_us,csv_kid,csv_us,csv_slow,default_us,default_slow,n_ok
1,2048,3072,6,nt_b,19.38,2,1.091,8,17.764,8,17.764,1.0,20.208,1.1376,19
1,3072,3072,6,nt_b,19.504,2,1.0702,8,18.224,8,18.224,1.0,20.42,1.1205,19
1,3072,6144,6,nt_b,28.784,2,1.0918,8,26.364,7,30.944,1.1737,30.944,1.1737,19
1,4096,3072,6,nt_b,19.704,2,1.0942,8,18.008,13,20.964,1.1641,20.62,1.145,19
1,8192,3072,6,nt_b,20.536,4,1.1359,8,18.08,7,20.372,1.1268,20.372,1.1268,19
2,2048,3072,6,nt_b,19.2,2,1.0734,8,17.888,8,17.888,1.0,20.3,1.1349,19
2,3072,3072,6,nt_b,19.504,2,1.0809,8,18.044,8,18.044,1.0,21.044,1.1663,19
2,3072,6144,8,nt_b,26.464,1,1.0,8,26.464,8,26.464,1.0,30.7,1.1601,19
2,4096,3072,6,nt_b,19.428,2,1.061,8,18.312,6,19.428,1.061,20.148,1.1003,19
2,8192,3072,6,nt_b,19.832,2,1.0945,8,18.12,8,18.12,1.0,20.196,1.1146,19
4,2048,3072,6,nt_b,19.528,2,1.0878,8,17.952,8,17.952,1.0,20.268,1.129,19
4,3072,6144,8,nt_b,26.22,1,1.0,8,26.22,8,26.22,1.0,30.584,1.1664,19
4,4096,3072,6,nt_b,19.436,2,1.0726,8,18.12,6,19.436,1.0726,20.648,1.1395,19
4,8192,3072,6,nt_b,20.012,2,1.0948,8,18.28,13,21.324,1.1665,20.512,1.1221,19
8,3072,3072,6,nt_b,20.192,3,1.124,8,17.964,8,17.964,1.0,20.672,1.1508,19
8,3072,6144,8,nt_b,25.976,1,1.0,8,25.976,8,25.976,1.0,31.113,1.1977,19
8,4096,3072,6,nt_b,20.14,2,1.1171,8,18.028,8,18.028,1.0,20.644,1.1451,19
8,8192,3072,6,nt_b,20.48,3,1.1174,8,18.328,6,20.48,1.1174,20.312,1.1082,19
16,3072,3072,8,nt_b,18.276,1,1.0,8,18.276,6,20.936,1.1455,20.332,1.1125,19
