M,N,K,o_kid,hint_mode,o_us,o_slow,oracle_kid,oracle_us,prod_kid,prod_lib,prod_is_default,prod_us,prod_slow,default_us,default_slow,o_vs_default,o_vs_prod,n_ok
43,512,7168,8,base,29.06,1.0,8,29.06,6,ck,0,29.768,1.0244,35.716,1.229,0.8136,0.9762,19
121,512,7168,8,base,29.404,1.0,8,29.404,8,ck,0,29.404,1.0,34.52,1.174,0.8518,1.0,19
136,512,7168,8,base,29.52,1.0,8,29.52,8,ck,0,29.52,1.0,34.744,1.177,0.8496,1.0,19
152,512,7168,8,base,29.372,1.0,8,29.372,8,ck,0,29.372,1.0,34.996,1.1915,0.8393,1.0,19
1109,512,7168,17,base,165.622,4.2598,3,38.88,18,ck,0,40.649,1.0455,54.22,1.3945,3.0546,4.0745,19
1374,512,7168,18,base,41.372,1.057,3,39.14,18,ck,0,41.372,1.057,54.124,1.3828,0.7644,1.0,19
1381,512,7168,18,base,41.309,1.0537,3,39.204,18,ck,0,41.309,1.0537,54.281,1.3845,0.761,1.0,19
1460,512,7168,18,base,41.34,1.0574,3,39.097,18,ck,0,41.34,1.0574,53.92,1.3792,0.7667,1.0,19
1529,512,7168,18,base,41.28,1.0483,3,39.377,18,ck,0,41.28,1.0483,55.036,1.3977,0.75,1.0,19
1628,512,7168,18,base,41.452,1.0441,3,39.7,18,ck,0,41.452,1.0441,54.776,1.3798,0.7568,1.0,19
1646,512,7168,18,base,41.14,1.0416,3,39.496,18,ck,0,41.14,1.0416,54.268,1.374,0.7581,1.0,19
1703,512,7168,18,base,42.168,1.0612,3,39.737,18,ck,0,42.168,1.0612,54.769,1.3783,0.7699,1.0,19
1957,512,7168,18,base,41.977,1.043,3,40.244,18,ck,0,41.977,1.043,54.461,1.3532,0.7708,1.0,19
2063,512,7168,17,base,165.937,3.7675,2,44.044,18,ck,0,59.336,1.3472,72.369,1.6431,2.2929,2.7966,19
2065,512,7168,17,base,165.389,3.8224,2,43.268,18,ck,0,60.02,1.3872,72.585,1.6775,2.2786,2.7556,19
2169,512,7168,17,base,164.197,3.7816,2,43.42,18,ck,0,59.612,1.3729,72.341,1.666,2.2698,2.7544,19
2318,512,7168,17,base,164.502,3.7366,2,44.024,18,ck,0,59.836,1.3592,73.453,1.6685,2.2396,2.7492,19
2325,512,7168,17,base,165.258,3.7806,2,43.712,18,ck,0,60.329,1.3801,73.073,1.6717,2.2615,2.7393,19
2335,512,7168,17,base,164.434,3.8,2,43.272,18,ck,0,59.629,1.378,73.041,1.6879,2.2513,2.7576,19
3108,512,7168,17,base,164.81,3.722,2,44.28,18,ck,0,60.025,1.3556,92.032,2.0784,1.7908,2.7457,19
3168,512,7168,17,base,164.286,3.7041,2,44.353,18,ck,0,60.137,1.3559,91.797,2.0697,1.7897,2.7319,19
3174,512,7168,17,base,164.442,3.738,2,43.992,18,ck,0,60.605,1.3776,92.201,2.0958,1.7835,2.7134,19
3254,512,7168,17,base,164.882,3.6475,2,45.204,18,ck,0,59.945,1.3261,91.797,2.0307,1.7962,2.7506,19
3310,512,7168,17,base,165.15,3.7196,2,44.4,18,ck,0,60.593,1.3647,92.385,2.0807,1.7876,2.7256,19
3332,512,7168,17,base,164.909,3.6774,2,44.844,18,ck,0,60.401,1.3469,92.085,2.0534,1.7908,2.7303,19
3349,512,7168,17,base,165.485,3.7187,2,44.5,18,ck,0,60.441,1.3582,91.761,2.062,1.8034,2.738,19
3366,512,7168,17,base,164.806,3.6975,2,44.572,18,ck,0,60.021,1.3466,92.448,2.0741,1.7827,2.7458,19
3419,512,7168,17,base,164.034,3.7253,2,44.032,18,ck,0,60.677,1.378,92.465,2.0999,1.774,2.7034,19
3717,512,7168,17,base,164.746,3.5662,2,46.197,18,ck,0,60.669,1.3133,92.929,2.0116,1.7728,2.7155,19
4107,512,7168,0,base,59.905,1.0,0,59.905,0,ck,0,59.905,1.0,110.873,1.8508,0.5403,1.0,19
4244,512,7168,0,base,59.897,1.0,0,59.897,0,ck,0,59.897,1.0,110.893,1.8514,0.5401,1.0,19
4315,512,7168,0,base,60.845,1.0,0,60.845,0,ck,0,60.845,1.0,110.733,1.8199,0.5495,1.0,19
5106,512,7168,0,base,60.397,1.0,0,60.397,0,ck,0,60.397,1.0,111.061,1.8389,0.5438,1.0,19
6138,512,7168,0,base,62.233,1.001,2,62.169,0,ck,0,62.233,1.001,130.781,2.1037,0.4759,1.0,19
6290,512,7168,0,base,61.985,1.0,0,61.985,0,ck,0,61.985,1.0,149.785,2.4165,0.4138,1.0,19
